dest_ip,metadata_comment
203.175.12.0/24,AS152320 IPv4
45.254.26.0/24,AS152320 IPv4
103.223.123.0/24,AS152320 IPv4
103.223.122.0/24,AS152320 IPv4
103.85.73.0/24,AS152320 IPv4
103.219.85.0/24,AS152320 IPv4
103.85.72.0/24,AS152320 IPv4
2001:df0:a640::/48,AS152320 IPv6
45.254.26.0/23,AS152320 IPv4
103.223.121.0/24,AS152320 IPv4
203.175.12.0/22,AS152320 IPv4
103.223.120.0/22,AS152320 IPv4
203.175.13.0/24,AS152320 IPv4
103.223.120.0/24,AS152320 IPv4
103.85.72.0/22,AS152320 IPv4
103.85.74.0/24,AS152320 IPv4
45.254.24.0/24,AS152320 IPv4
203.175.14.0/24,AS152320 IPv4
45.254.25.0/24,AS152320 IPv4
45.254.27.0/24,AS152320 IPv4
203.175.15.0/24,AS152320 IPv4
103.85.75.0/24,AS152320 IPv4
165.101.122.0/23,AS152320 IPv4
