geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
11797,de,AS,Asien,IR,Iran,02,Mazandaran,,,,,Asia/Tehran,0
18918,de,EU,Europa,CY,Zypern,04,"Bezirk Famagusta",,,Protaras,,Asia/Famagusta,1
49518,de,AF,Afrika,RW,Ruanda,,,,,,,Africa/Kigali,0
51537,de,AF,Afrika,SO,Somalia,,,,,,,Africa/Mogadishu,0
53654,de,AF,Afrika,SO,Somalia,BN,Banaadir,,,Mogadischu,,Africa/Mogadishu,0
54225,de,AF,Afrika,SO,Somalia,SH,"Unteres Shabelle",,,Marka,,Africa/Mogadishu,0
57289,de,AF,Afrika,SO,Somalia,WO,"Woqooyi Galbeed",,,Hargeisa,,Africa/Mogadishu,0
58933,de,AF,Afrika,SO,Somalia,NU,Nugaal,,,Garowe,,Africa/Mogadishu,0
62691,de,AF,Afrika,SO,Somalia,SA,Sanaag,,,Ceerigaabo,,Africa/Mogadishu,0
63795,de,AF,Afrika,SO,Somalia,TO,Togdheer,,,Burao,,Africa/Mogadishu,0
64013,de,AF,Afrika,SO,Somalia,BR,Bari,,,Bosaso,,Africa/Mogadishu,0
64460,de,AF,Afrika,SO,Somalia,HI,Hiiraan,,,Beledweyne,,Africa/Mogadishu,0
64536,de,AF,Afrika,SO,Somalia,BY,Bay,,,Baidoa,,Africa/Mogadishu,0
69543,de,AS,Asien,YE,Jemen,,,,,,,Asia/Aden,0
70222,de,AS,Asien,YE,Jemen,TA,"Gouvernement Taʿizz",,,,,Asia/Aden,0
70223,de,AS,Asien,YE,Jemen,DH,"Gouvernement Dhamār",,,,,Asia/Aden,0
70225,de,AS,Asien,YE,Jemen,TA,"Gouvernement Taʿizz",,,Taiz,,Asia/Aden,0
71135,de,AS,Asien,YE,Jemen,HD,"Gouvernement Hadramaut",,,,,Asia/Aden,0
71137,de,AS,Asien,YE,Jemen,SA,"Amanat Alasimah",,,Sanaa,,Asia/Aden,0
71490,de,AS,Asien,YE,Jemen,BA,"Gouvernement al-Baidā'",,,,,Asia/Aden,0
75427,de,AS,Asien,YE,Jemen,SU,"Gouvernement Sokotra",,,,,Asia/Aden,0
76184,de,AS,Asien,YE,Jemen,DH,"Gouvernement Dhamār",,,Dhamar,,Asia/Aden,0
77843,de,AS,Asien,YE,Jemen,HU,"Gouvernement al-Hudaida",,,,,Asia/Aden,0
78428,de,AS,Asien,YE,Jemen,AM,"Gouvernement ʿAmrān",,,'Amran,,Asia/Aden,0
79415,de,AS,Asien,YE,Jemen,HU,"Gouvernement al-Hudaida",,,"Al Hudaydah",,Asia/Aden,0
79836,de,AS,Asien,YE,Jemen,BA,"Gouvernement al-Baidā'",,,"Al Bayda",,Asia/Aden,0
80425,de,AS,Asien,YE,Jemen,AB,"Gouvernement Abyan",,,,,Asia/Aden,0
81302,de,AF,Afrika,LY,Libyen,BU,"Al Butnan",,,Tobruk,,Africa/Tripoli,0
85026,de,AF,Afrika,LY,Libyen,JA,"Al Jabal al Akhdar",,,,,Africa/Tripoli,0
87205,de,AF,Afrika,LY,Libyen,DR,Darnah,,,Darna,,Africa/Tripoli,0
88319,de,AF,Afrika,LY,Libyen,BA,Bengasi,,,Banghazi,,Africa/Tripoli,0
88903,de,AF,Afrika,LY,Libyen,MJ,"Al Marj",,,"Al Marj",,Africa/Tripoli,0
88962,de,AF,Afrika,LY,Libyen,KF,"Munizip al-Kufra",,,,,Africa/Tripoli,0
89055,de,AF,Afrika,LY,Libyen,JA,"Al Jabal al Akhdar",,,"Al Bayda",,Africa/Tripoli,0
89113,de,AF,Afrika,LY,Libyen,WA,"Al Wahat",,,Adschdabiya,,Africa/Tripoli,0
89341,de,AS,Asien,IQ,Irak,BA,"Gouvernement Basra",,,,,Asia/Baghdad,0
89570,de,AS,Asien,IQ,Irak,DA,"Gouvernement Dahuk",,,Zaxo,,Asia/Baghdad,0
89693,de,AS,Asien,IQ,Irak,WA,"Gouvernement Wasit",,,,,Asia/Baghdad,0
