geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
11797,ja,AS,アジア,IR,イラン・イスラム共和国,02,マーザンダラーン州,,,,,Asia/Tehran,0
18918,ja,EU,ヨーロッパ,CY,キプロス共和国,04,ファマグスタ地区,,,プロタラス,,Asia/Famagusta,1
49518,ja,AF,アフリカ,RW,ルワンダ共和国,,,,,,,Africa/Kigali,0
51537,ja,AF,アフリカ,SO,ソマリア,,,,,,,Africa/Mogadishu,0
53654,ja,AF,アフリカ,SO,ソマリア,BN,バナーディル,,,モガディシュ,,Africa/Mogadishu,0
54225,ja,AF,アフリカ,SO,ソマリア,SH,シャベレ下流域,,,マルカ,,Africa/Mogadishu,0
57289,ja,AF,アフリカ,SO,ソマリア,WO,ウォクーイ・ガルベード,,,ハルゲイサ,,Africa/Mogadishu,0
58933,ja,AF,アフリカ,SO,ソマリア,NU,ヌガール,,,ガローウェ,,Africa/Mogadishu,0
62691,ja,AF,アフリカ,SO,ソマリア,SA,サナーグ,,,セリガボ,,Africa/Mogadishu,0
64013,ja,AF,アフリカ,SO,ソマリア,BR,バリ,,,ボサソ,,Africa/Mogadishu,0
64460,ja,AF,アフリカ,SO,ソマリア,HI,ヒーラーン,,,ベレトウェイン,,Africa/Mogadishu,0
64536,ja,AF,アフリカ,SO,ソマリア,BY,ベイ,,,日本語,,Africa/Mogadishu,0
69543,ja,AS,アジア,YE,イエメン共和国,,,,,,,Asia/Aden,0
70222,ja,AS,アジア,YE,イエメン共和国,TA,タイズ県,,,,,Asia/Aden,0
70223,ja,AS,アジア,YE,イエメン共和国,DH,ザマール県,,,,,Asia/Aden,0
71132,ja,AS,アジア,YE,イエメン共和国,SN,サナア県,,,,,Asia/Aden,0
71135,ja,AS,アジア,YE,イエメン共和国,HD,ハドラマウト県,,,,,Asia/Aden,0
71137,ja,AS,アジア,YE,イエメン共和国,SA,アマナト・アルアスィマ,,,サヌア,,Asia/Aden,0
71490,ja,AS,アジア,YE,イエメン共和国,BA,バイダー県,,,,,Asia/Aden,0
75427,ja,AS,アジア,YE,イエメン共和国,SU,ソコトラ県,,,,,Asia/Aden,0
76184,ja,AS,アジア,YE,イエメン共和国,DH,ザマール県,,,ダマール,,Asia/Aden,0
77843,ja,AS,アジア,YE,イエメン共和国,HU,フダイダ県,,,,,Asia/Aden,0
78428,ja,AS,アジア,YE,イエメン共和国,AM,アムラーン県,,,アムラン,,Asia/Aden,0
79415,ja,AS,アジア,YE,イエメン共和国,HU,フダイダ県,,,アルフダイダ,,Asia/Aden,0
79836,ja,AS,アジア,YE,イエメン共和国,BA,バイダー県,,,アルバイダ,,Asia/Aden,0
80425,ja,AS,アジア,YE,イエメン共和国,AB,アビヤン県,,,,,Asia/Aden,0
81302,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,BU,アル・ブトナン,,,トブルク,,Africa/Tripoli,0
85026,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,JA,アル・ジャバル・アル・アフダル,,,,,Africa/Tripoli,0
87205,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,DR,ダルナ,,,ダルナ,,Africa/Tripoli,0
88319,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,BA,ベンガジ,,,ベンガジ,,Africa/Tripoli,0
88903,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,MJ,アル・マルジ,,,アル・マルジ,,Africa/Tripoli,0
88962,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,KF,クフラ県,,,ジャウフ,,Africa/Tripoli,0
89055,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,JA,アル・ジャバル・アル・アフダル,,,アル・バイダ,,Africa/Tripoli,0
89113,ja,AF,アフリカ,LY,社会主義人民リビア・アラブ国,WA,アル・ワハット,,,アジュダービヤー,,Africa/Tripoli,0
89341,ja,AS,アジア,IQ,イラク共和国,BA,バスラ,,,,,Asia/Baghdad,0
89570,ja,AS,アジア,IQ,イラク共和国,DA,ドホーク県,,,,,Asia/Baghdad,0
89693,ja,AS,アジア,IQ,イラク共和国,WA,ワースィト,,,,,Asia/Baghdad,0
90150,ja,AS,アジア,IQ,イラク共和国,SD,サラーフッディーン県,,,ティクリート,,Asia/Baghdad,0
90831,ja,AS,アジア,IQ,イラク共和国,KA,カルバラー,,,,,Asia/Baghdad,0
