rank,hosting_provider,as_number,routed_ipv4_addresses,phishing_attacks,phishing_attack_score
1,"Cloudflare, Inc.",13335,1601536,596692,"3,725.8"
2,"Cloudflare London, LLC",209242,128512,10022,779.9
3,NetLab Global,979,69120,3993,577.7
4,Dreamscape Networks PTY LTD,38719,81408,4382,538.3
5,Google LLC,15169,2496256,86469,346.4
6,"Namecheap, Inc.",22612,120256,2836,235.8
7,Tcloudnet,399077,146816,2700,183.9
8,"Fastly, Inc.",54113,1275744,20382,159.8
9,"""Domain names registrar REG.RU"", Ltd",197695,102400,1362,133.0
10,PEG TECH INC,398823,307456,4037,131.3
11,Hostinger International Limited,47583,608256,7524,123.7
12,STARK INDUSTRIES SOLUTIONS LTD,44477,264224,1900,71.9
13,Sharktech,46844,118272,821,69.4
14,Unified Layer,46606,824064,5389,65.4
15,"Network Solutions, LLC",19871,275456,1795,65.2
16,"Hong Kong Communications International Co., Limited",140227,64000,400,62.5
17,SonderCloud Limited,133199,74752,461,61.7
18,Tier.Net Technologies LLC,397423,93184,572,61.4
19,CTG Server Limited,152194,1039872,6166,59.3
20,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,135377,165117,936,56.7
