fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,tickets.paris2024.org,23.47.72.11,2600:1407:3c00:cb::172d:2ee7,mxa-0072c901.gslb.pphosted.com,a1-222.akam.net
addition,tickets.paris20240.org,,,,
addition,tickets.paris20241.org,,,,
addition,tickets.paris20242.org,,,,
addition,tickets.paris20243.org,,,,
addition,tickets.paris20244.org,,,,
addition,tickets.paris20245.org,,,,
addition,tickets.paris20246.org,,,,
addition,tickets.paris20247.org,,,,
addition,tickets.paris20248.org,,,,
addition,tickets.paris20249.org,,,,
addition,tickets.paris2024a.org,,,,
addition,tickets.paris2024b.org,,,,
addition,tickets.paris2024c.org,,,,
addition,tickets.paris2024d.org,,,,
addition,tickets.paris2024e.org,,,,
addition,tickets.paris2024f.org,,,,
addition,tickets.paris2024g.org,,,,
addition,tickets.paris2024h.org,,,,
addition,tickets.paris2024i.org,,,,
addition,tickets.paris2024j.org,,,,
addition,tickets.paris2024k.org,,,,
addition,tickets.paris2024l.org,,,,
addition,tickets.paris2024m.org,,,,
addition,tickets.paris2024n.org,127.0.0.1,,,
addition,tickets.paris2024o.org,,,,
addition,tickets.paris2024p.org,,,,
addition,tickets.paris2024q.org,127.0.0.1,,,
addition,tickets.paris2024r.org,127.0.0.1,,,
addition,tickets.paris2024s.org,127.0.0.1,,,
addition,tickets.paris2024t.org,127.0.0.1,,,
addition,tickets.paris2024u.org,127.0.0.1,,,
addition,tickets.paris2024v.org,127.0.0.1,,,
addition,tickets.paris2024w.org,127.0.0.1,,,
addition,tickets.paris2024x.org,127.0.0.1,,,
addition,tickets.paris2024y.org,127.0.0.1,,,
addition,tickets.paris2024z.org,127.0.0.1,,,
bitsquatting,tickets.0aris2024.org,,,,
bitsquatting,tickets.pa2is2024.org,,,,
bitsquatting,tickets.pabis2024.org,127.0.0.1,,,
bitsquatting,tickets.papis2024.org,127.0.0.1,,,
bitsquatting,tickets.paras2024.org,127.0.0.1,,,
bitsquatting,tickets.parhs2024.org,127.0.0.1,,,
bitsquatting,tickets.pari32024.org,,,,
bitsquatting,tickets.paric2024.org,127.0.0.1,,,
bitsquatting,tickets.pariq2024.org,127.0.0.1,,,
bitsquatting,tickets.parir2024.org,127.0.0.1,,,
bitsquatting,tickets.paris0024.org,127.0.0.1,,,
bitsquatting,tickets.paris2004.org,127.0.0.1,,,
bitsquatting,tickets.paris2020.org,127.0.0.1,,,
bitsquatting,tickets.paris2025.org,127.0.0.1,,,
bitsquatting,tickets.paris2026.org,,,,
bitsquatting,tickets.paris202t.org,127.0.0.1,,,
bitsquatting,tickets.paris2034.org,127.0.0.1,,,
bitsquatting,tickets.paris2064.org,127.0.0.1,,,
bitsquatting,tickets.paris20r4.org,,,,
bitsquatting,tickets.paris2124.org,127.0.0.1,,,
bitsquatting,tickets.paris2224.org,127.0.0.1,,,
bitsquatting,tickets.paris2424.org,127.0.0.1,,,
bitsquatting,tickets.paris2824.org,127.0.0.1,,,
bitsquatting,tickets.paris2p24.org,,,,
bitsquatting,tickets.paris3024.org,127.0.0.1,,,
bitsquatting,tickets.paris6024.org,127.0.0.1,,,
bitsquatting,tickets.parisr024.org,,,,
bitsquatting,tickets.pariw2024.org,127.0.0.1,,,
bitsquatting,tickets.parks2024.org,127.0.0.1,,,
bitsquatting,tickets.parms2024.org,127.0.0.1,,,
bitsquatting,tickets.parys2024.org,127.0.0.1,,,
bitsquatting,tickets.pasis2024.org,127.0.0.1,,,
bitsquatting,tickets.pavis2024.org,127.0.0.1,,,
bitsquatting,tickets.pazis2024.org,127.0.0.1,,,
bitsquatting,tickets.pcris2024.org,127.0.0.1,,,
bitsquatting,tickets.peris2024.org,127.0.0.1,,,
bitsquatting,tickets.piris2024.org,127.0.0.1,,,
bitsquatting,tickets.pqris2024.org,,,,
bitsquatting,tickets.qaris2024.org,127.0.0.1,,,
bitsquatting,tickets.raris2024.org,127.0.0.1,,,
bitsquatting,tickets.taris2024.org,127.0.0.1,,,
bitsquatting,tickets.xaris2024.org,127.0.0.1,,,
homoglyph,tickets.par1s2024.org,,,,
homoglyph,tickets.par1s2o24.org,,,,
homoglyph,tickets.paris2o24.org,127.0.0.1,,,
homoglyph,tickets.parls2024.org,,,,
homoglyph,tickets.parls2o24.org,127.0.0.1,,,
homoglyph,tickets.xn--ais2024-6cc1307d.org,,,,
homoglyph,tickets.xn--ais2024-6cc17e.org,,,,
homoglyph,tickets.xn--ais2024-6cc25o.org,,,,
homoglyph,tickets.xn--ais2024-6cc3107d.org,,,,
homoglyph,tickets.xn--ais2024-6cc35e.org,,,,
homoglyph,tickets.xn--ais2024-6cc39j.org,,,,
homoglyph,tickets.xn--ais2024-6cc43o.org,,,,
homoglyph,tickets.xn--ais2024-6cc52o.org,,,,
homoglyph,tickets.xn--ais2024-6cc61o.org,,,,
homoglyph,tickets.xn--ais2024-6cc7607d.org,,,,
homoglyph,tickets.xn--ais2024-85b05q.org,,,,
homoglyph,tickets.xn--ais2024-85b1037d.org,,,,
homoglyph,tickets.xn--ais2024-85b50h.org,,,,
homoglyph,tickets.xn--ais2024-85b5627d.org,,,,
homoglyph,tickets.xn--ais2024-85b68q.org,,,,
homoglyph,tickets.xn--ais2024-85b72m.org,,,,
homoglyph,tickets.xn--ais2024-85b7427d.org,,,,
homoglyph,tickets.xn--ais2024-85b78g.org,,,,
homoglyph,tickets.xn--ais2024-85b86q.org,,,,
homoglyph,tickets.xn--ais2024-85b95q.org,,,,
homoglyph,tickets.xn--ais2024-c53cmb.org,,,,
homoglyph,tickets.xn--ais2024-c53cta.org,,,,
homoglyph,tickets.xn--ais2024-c53cxc.org,,,,
homoglyph,tickets.xn--ais2024-cmd5525d.org,,,,
homoglyph,tickets.xn--ais2024-cmd7325d.org,,,,
homoglyph,tickets.xn--ais2024-fld1925d.org,,,,
homoglyph,tickets.xn--ais2024-fld3725d.org,,,,
homoglyph,tickets.xn--ais2024-fwc6326d.org,,,,
homoglyph,tickets.xn--ais2024-fwc8126d.org,,,,
homoglyph,tickets.xn--ais2024-gob0197d.org,,,,
homoglyph,tickets.xn--ais2024-gob41e.org,,,,
homoglyph,tickets.xn--ais2024-gob8297d.org,,,,
homoglyph,tickets.xn--ais2024-gob84g.org,,,,
homoglyph,tickets.xn--ais2024-nld2825d.org,,,,
homoglyph,tickets.xn--ais2024-nld4625d.org,,,,
homoglyph,tickets.xn--ais2024-o9c4175d.org,,,,
homoglyph,tickets.xn--ais2024-o9c6965d.org,,,,
homoglyph,tickets.xn--ais2024-v43c4b.org,,,,
homoglyph,tickets.xn--ais2024-v43cmb.org,,,,
homoglyph,tickets.xn--ais2024-v43cqd.org,,,,
homoglyph,tickets.xn--ais2024-vld3725d.org,,,,
homoglyph,tickets.xn--ais2024-vld5525d.org,,,,
homoglyph,tickets.xn--ais2024-wob0197d.org,,,,
homoglyph,tickets.xn--ais2024-wob03g.org,,,,
homoglyph,tickets.xn--ais2024-wob2987d.org,,,,
homoglyph,tickets.xn--ais2024-wob69d.org,,,,
homoglyph,tickets.xn--ais2024-yvc4526d.org,,,,
homoglyph,tickets.xn--ais2024-yvc6326d.org,,,,
homoglyph,tickets.xn--ais2024-znb23e.org,,,,
homoglyph,tickets.xn--ais2024-znb6497d.org,,,,
homoglyph,tickets.xn--ais2024-znb66g.org,,,,
homoglyph,tickets.xn--ais2024-znb8297d.org,,,,
homoglyph,tickets.xn--ar1s2024-2d0d.org,,,,
homoglyph,tickets.xn--ar1s2024-bmc.org,,,,
homoglyph,tickets.xn--ar1s2024-le0d.org,,,,
homoglyph,tickets.xn--ar1s2024-mfc.org,,,,
homoglyph,tickets.xn--ari2024-6cc27o.org,,,,
homoglyph,tickets.xn--ari2024-6cc30329a.org,,,,
homoglyph,tickets.xn--ari2024-6cc5017d.org,,,,
homoglyph,tickets.xn--ari2024-6cc72f.org,,,,
homoglyph,tickets.xn--ari2024-6cc7807d.org,,,,
homoglyph,tickets.xn--ari2024-85b1237d.org,,,,
homoglyph,tickets.xn--ari2024-85b16h.org,,,,
homoglyph,tickets.xn--ari2024-85b60r.org,,,,
homoglyph,tickets.xn--ari2024-85b73529a.org,,,,
homoglyph,tickets.xn--ari2024-85b9337d.org,,,,
homoglyph,tickets.xn--ari2024-c53c8527j.org,,,,
homoglyph,tickets.xn--ari2024-c53cle.org,,,,
homoglyph,tickets.xn--ari2024-c53csd.org,,,,
homoglyph,tickets.xn--ari2024-cqb04d.org,,,,
homoglyph,tickets.xn--ari2024-cqb4587d.org,,,,
homoglyph,tickets.xn--ari2024-cqb47f.org,,,,
homoglyph,tickets.xn--ari2024-cqb6387d.org,,,,
homoglyph,tickets.xn--ari2024-fpb01g.org,,,,
homoglyph,tickets.xn--ari2024-fpb0987d.org,,,,
homoglyph,tickets.xn--ari2024-fpb2787d.org,,,,
homoglyph,tickets.xn--ari2024-fpb67d.org,,,,
homoglyph,tickets.xn--ari2024-sqb22d.org,,,,
homoglyph,tickets.xn--ari2024-sqb6387d.org,,,,
homoglyph,tickets.xn--ari2024-sqb65f.org,,,,
homoglyph,tickets.xn--ari2024-sqb8187d.org,,,,
homoglyph,tickets.xn--ari2024-umd5325d.org,,,,
homoglyph,tickets.xn--ari2024-umd7125d.org,,,,
homoglyph,tickets.xn--ari2024-uxc0816d.org,,,,
homoglyph,tickets.xn--ari2024-uxc2616d.org,,,,
