ip,port,metadata_comment
1.92.101.103,8006,Possible Cobaltstrike C2 IP
1.92.101.103,8088,Possible Cobaltstrike C2 IP
1.92.101.103,8099,Possible Cobaltstrike C2 IP
1.94.187.246,8080,Possible Cobaltstrike C2 IP
100.110.56.1,8000,Possible Cobaltstrike C2 IP
101.126.10.34,443,Possible Cobaltstrike C2 IP
101.33.225.32,8011,Possible Cobaltstrike C2 IP
101.43.103.154,443,Possible Cobaltstrike C2 IP
103.146.231.107,80,Possible Cobaltstrike C2 IP
103.210.236.87,53,Possible Cobaltstrike C2 IP
103.47.83.115,80,Possible Cobaltstrike C2 IP
103.73.161.60,9005,Possible Cobaltstrike C2 IP
106.13.189.138,56000,Possible Cobaltstrike C2 IP
106.52.207.50,443,Possible Cobaltstrike C2 IP
107.172.217.220,12096,Possible Cobaltstrike C2 IP
107.173.122.193,80,Possible Cobaltstrike C2 IP
107.174.115.43,53,Possible Cobaltstrike C2 IP
109.244.130.113,443,Possible Cobaltstrike C2 IP
111.228.4.54,4455,Possible Cobaltstrike C2 IP
111.228.55.96,443,Possible Cobaltstrike C2 IP
111.229.4.108,2096,Possible Cobaltstrike C2 IP
111.230.217.36,443,Possible Cobaltstrike C2 IP
111.231.173.74,4444,Possible Cobaltstrike C2 IP
112.124.71.123,53,Possible Cobaltstrike C2 IP
113.45.253.80,443,Possible Cobaltstrike C2 IP
114.132.199.129,4443,Possible Cobaltstrike C2 IP
114.134.187.38,8080,Possible Cobaltstrike C2 IP
114.134.187.38,9999,Possible Cobaltstrike C2 IP
115.190.138.41,443,Possible Cobaltstrike C2 IP
115.190.140.220,1443,Possible Cobaltstrike C2 IP
115.190.147.66,63512,Possible Cobaltstrike C2 IP
115.190.149.214,58848,Possible Cobaltstrike C2 IP
115.190.161.178,1234,Possible Cobaltstrike C2 IP
115.190.237.175,35555,Possible Cobaltstrike C2 IP
115.190.250.28,5521,Possible Cobaltstrike C2 IP
116.198.233.179,6666,Possible Cobaltstrike C2 IP
116.203.31.207,9999,Possible Cobaltstrike C2 IP
116.204.36.177,443,Possible Cobaltstrike C2 IP
116.205.143.204,53,Possible Cobaltstrike C2 IP
116.213.42.110,5005,Possible Cobaltstrike C2 IP
116.213.42.110,5006,Possible Cobaltstrike C2 IP
117.50.184.221,10080,Possible Cobaltstrike C2 IP
117.72.159.215,443,Possible Cobaltstrike C2 IP
117.72.159.215,8080,Possible Cobaltstrike C2 IP
117.72.159.96,8777,Possible Cobaltstrike C2 IP
117.72.168.103,16337,Possible Cobaltstrike C2 IP
117.72.168.103,50011,Possible Cobaltstrike C2 IP
117.72.175.125,8087,Possible Cobaltstrike C2 IP
117.72.178.246,443,Possible Cobaltstrike C2 IP
117.72.178.246,4848,Possible Cobaltstrike C2 IP
117.72.181.104,443,Possible Cobaltstrike C2 IP
117.72.191.140,8028,Possible Cobaltstrike C2 IP
117.72.242.9,9999,Possible Cobaltstrike C2 IP
117.72.39.83,30005,Possible Cobaltstrike C2 IP
117.72.39.83,33333,Possible Cobaltstrike C2 IP
117.72.39.83,43872,Possible Cobaltstrike C2 IP
117.72.39.83,443,Possible Cobaltstrike C2 IP
117.72.39.83,4433,Possible Cobaltstrike C2 IP
118.89.203.103,80,Possible Cobaltstrike C2 IP
118.89.203.103,9999,Possible Cobaltstrike C2 IP
118.89.79.131,6528,Possible Cobaltstrike C2 IP
118.89.88.183,56781,Possible Cobaltstrike C2 IP
119.29.112.239,8005,Possible Cobaltstrike C2 IP
119.29.198.193,8555,Possible Cobaltstrike C2 IP
119.91.26.245,6666,Possible Cobaltstrike C2 IP
120.26.208.96,80,Possible Cobaltstrike C2 IP
120.48.66.205,443,Possible Cobaltstrike C2 IP
121.4.76.54,8091,Possible Cobaltstrike C2 IP
121.4.92.72,1111,Possible Cobaltstrike C2 IP
121.4.92.72,5000,Possible Cobaltstrike C2 IP
122.10.25.26,808,Possible Cobaltstrike C2 IP
122.10.49.137,808,Possible Cobaltstrike C2 IP
122.51.221.207,80,Possible Cobaltstrike C2 IP
122.51.50.44,2222,Possible Cobaltstrike C2 IP
122.51.50.44,80,Possible Cobaltstrike C2 IP
123.58.64.57,34567,Possible Cobaltstrike C2 IP
124.220.235.4,80,Possible Cobaltstrike C2 IP
124.220.41.22,443,Possible Cobaltstrike C2 IP
124.220.6.158,443,Possible Cobaltstrike C2 IP
124.220.6.158,80,Possible Cobaltstrike C2 IP
124.222.218.12,4848,Possible Cobaltstrike C2 IP
129.204.14.131,44444,Possible Cobaltstrike C2 IP
129.204.14.131,57000,Possible Cobaltstrike C2 IP
130.94.59.160,80,Possible Cobaltstrike C2 IP
134.122.135.120,18443,Possible Cobaltstrike C2 IP
134.122.135.53,18443,Possible Cobaltstrike C2 IP
134.175.78.181,80,Possible Cobaltstrike C2 IP
139.180.189.95,53,Possible Cobaltstrike C2 IP
139.196.111.118,8088,Possible Cobaltstrike C2 IP
139.196.50.117,9930,Possible Cobaltstrike C2 IP
139.224.23.63,8866,Possible Cobaltstrike C2 IP
149.88.66.234,8080,Possible Cobaltstrike C2 IP
150.187.25.242,9999,Possible Cobaltstrike C2 IP
151.239.24.122,9090,Possible Cobaltstrike C2 IP
151.239.24.160,9090,Possible Cobaltstrike C2 IP
151.245.90.45,443,Possible Cobaltstrike C2 IP
152.32.202.240,8443,Possible Cobaltstrike C2 IP
154.12.86.154,44444,Possible Cobaltstrike C2 IP
154.12.86.154,55555,Possible Cobaltstrike C2 IP
154.12.86.154,8889,Possible Cobaltstrike C2 IP
154.12.86.154,9004,Possible Cobaltstrike C2 IP
154.201.68.191,14125,Possible Cobaltstrike C2 IP
154.219.115.123,61443,Possible Cobaltstrike C2 IP
154.221.17.44,2888,Possible Cobaltstrike C2 IP
154.38.114.115,53,Possible Cobaltstrike C2 IP
154.83.12.132,53,Possible Cobaltstrike C2 IP
156.239.252.191,448,Possible Cobaltstrike C2 IP
156.245.144.203,443,Possible Cobaltstrike C2 IP
156.245.144.203,4443,Possible Cobaltstrike C2 IP
156.245.144.203,8880,Possible Cobaltstrike C2 IP
159.75.176.139,443,Possible Cobaltstrike C2 IP
159.75.211.248,53,Possible Cobaltstrike C2 IP
159.75.75.5,443,Possible Cobaltstrike C2 IP
165.154.225.239,8443,Possible Cobaltstrike C2 IP
165.22.225.218,5443,Possible Cobaltstrike C2 IP
167.179.76.179,53,Possible Cobaltstrike C2 IP
169.239.128.43,443,Possible Cobaltstrike C2 IP
172.245.156.179,18443,Possible Cobaltstrike C2 IP
172.245.196.240,443,Possible Cobaltstrike C2 IP
172.245.57.227,443,Possible Cobaltstrike C2 IP
179.43.186.214,7889,Possible Cobaltstrike C2 IP
179.43.186.214,80,Possible Cobaltstrike C2 IP
180.76.141.175,443,Possible Cobaltstrike C2 IP
182.255.44.96,443,Possible Cobaltstrike C2 IP
185.92.190.213,5896,Possible Cobaltstrike C2 IP
185.92.190.213,8896,Possible Cobaltstrike C2 IP
185.92.190.214,5896,Possible Cobaltstrike C2 IP
185.92.190.214,8896,Possible Cobaltstrike C2 IP
185.92.190.215,5896,Possible Cobaltstrike C2 IP
185.92.190.215,8896,Possible Cobaltstrike C2 IP
185.92.190.216,5896,Possible Cobaltstrike C2 IP
185.92.190.216,8896,Possible Cobaltstrike C2 IP
185.92.190.217,5896,Possible Cobaltstrike C2 IP
185.92.190.217,8896,Possible Cobaltstrike C2 IP
