domain,metadata_comment
120vip.top,Possible Cobalt Strike C2 Fronting Domain
1258922563-2333n6dmlx.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain
1318289497-6hwi9hel8e.ap-beijing.tencentscf.com,Possible Cobalt Strike C2 Domain
1325813086-kvn4jlpgeu.ap-shanghai.tencentscf.com,Possible Cobalt Strike C2 Domain
1364170351-5ezc7c8ssf.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain
1364170351-9enmkvd46p.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain
1364170351-ivarm6apjz.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain
1364170351-kld29tgkc1.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain
1401675222-3ywn7qjp3t.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Fronted Domain
2458ccd60cc54149bb05537717d831f0--8000.ap-shanghai2.cloudstudio.club,Possible Cobalt Strike C2 Domain
39nasm720z98q.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain
4176rbz8vepn6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
4yyzsm3c107cp.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
5b0rgq8mxzxgv.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
5ndg65b68274v.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
61coding.cn,Possible Cobalt Strike C2 Fronting Domain
6bbwz4471hjbx.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
7p1e0901tm70n.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
8ve3qsgxk7rs6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
95mfmnebv9a1r.cfc-execute.gz.baidubce.com,Possible Cobalt Strike C2 Domain
a3tf75e7k596x.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
abyssestrinity.com,Possible Cobalt Strike C2 Fronted Domain
accesserdsc.com,Possible Cobalt Strike C2 Domain
agentkernel.top,Possible Cobalt Strike C2 Domain
aliyun.commandandcontrol.top,Possible Cobalt Strike C2 Domain
antams.com,Possible Cobalt Strike C2 Domain
ap.johamp.com,Possible Cobalt Strike C2 Domain
api-bot.telegram.com,Possible Cobalt Strike C2 Fronting Domain
api-docs.telegram.com,Possible Cobalt Strike C2 Fronting Domain
api.apifox.top,Possible Cobalt Strike C2 Domain
api.cryptoprot.info,Possible Cobalt Strike C2 Fronting Domain
api.shenzhenschool.fun,Possible Cobalt Strike C2 Domain
api.telegram.com,Possible Cobalt Strike C2 Fronting Domain
api.zhimawithyou.top,Possible Cobalt Strike C2 Fronting Domain
api1.haedalcompany.com,Possible Cobalt Strike C2 Domain
apis.telegram.com,Possible Cobalt Strike C2 Fronting Domain
ardaplumeit.top,Possible Cobalt Strike C2 Domain
asusupdateserver.asuscomm.com,Possible Cobalt Strike C2 Domain
at1.227api.com,Possible Cobalt Strike C2 Domain
at2.227api.com,Possible Cobalt Strike C2 Domain
at3.227api.com,Possible Cobalt Strike C2 Domain
audioweb.cnr.cn,Possible Cobalt Strike C2 Fronted Domain
auth.inmediavault.com,Possible Cobalt Strike C2 Domain
avsdfe.win.com.cn,Possible Cobalt Strike C2 Fronting Domain
batchgit.cc,Possible Cobalt Strike C2 Domain
bbb.flash-china.com,Possible Cobalt Strike C2 Domain
bgfi-groupe.com,Possible Cobalt Strike C2 Fronted Domain
boldtop.click,Possible Cobalt Strike C2 Domain
bxmv1taxbxr8p.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
bxx2rghe05kng.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
c1.msft-config-service.com,Possible Cobalt Strike C2 Domain
c2.120vip.top,Possible Cobalt Strike C2 Fronting Domain
c2.woshishabi.cc,Possible Cobalt Strike C2 Domain
cc.twnic.top,Possible Cobalt Strike C2 Domain
cdn.sys-update.online,Possible Cobalt Strike C2 Domain
cdn1.wakecoin.xyz,Possible Cobalt Strike C2 Domain
cdn2.raqeeb.dev,Possible Cobalt Strike C2 Domain
ceshioa.us.kg,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
cloud-sync-bcjxmnarpb.cn-shanghai.fcapp.run,Possible Cobalt Strike C2 Domain
cloudcdn.gleeze.com,Possible Cobalt Strike C2 Fronted Domain
connect.huaweicloud.com,Possible Cobalt Strike C2 Fronted Domain
cruel.boats,Possible Cobalt Strike C2 Domain
