domain,metadata_comment,uri_path,ip
61coding.cn,Possible Cobalt Strike C2 Fronting Domain,/api/v2/telemetry/config.js,47.92.208.27
8ve3qsgxk7rs6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/push,115.190.138.41
agentkernel.top,Possible Cobalt Strike C2 Domain,/iot/telemetry/ping,47.82.234.12
ap.johamp.com,Possible Cobalt Strike C2 Domain,/pixel.gif,151.245.90.45
api-bot.telegram.com,Possible Cobalt Strike C2 Fronting Domain,/api/v1/get,154.12.86.154
api-docs.telegram.com,Possible Cobalt Strike C2 Fronting Domain,/api/v1/get,154.12.86.154
api.telegram.com,Possible Cobalt Strike C2 Fronting Domain,/api/v1/get,154.12.86.154
api.zhimawithyou.top,Possible Cobalt Strike C2 Fronting Domain,/api/v1/node/check,165.154.225.239
apis.telegram.com,Possible Cobalt Strike C2 Fronting Domain,/api/v1/get,154.12.86.154
bxx2rghe05kng.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,117.72.39.83
cdn.soft-update.click,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,107.173.42.123
cdn.sys-update.online,Possible Cobalt Strike C2 Domain,/dpixel,51.222.87.16
cs.tpedu2metricstw.dpdns.org,Possible Cobalt Strike C2 Domain,/api/v1/get,45.87.53.6
dutxz8790a6ya.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/admin/logout.aspx,47.236.91.172
future.dingtalk.com,Possible Cobalt Strike C2 Fronted Domain,/api/v2/telemetry/config.js,47.92.208.27
jkzprb4y.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
jnceabyk.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
job.itechno.cc,Possible Cobalt Strike C2 Domain,/api/v1/get,107.172.217.220
missmovie.lol,Possible Cobalt Strike C2 Domain,/api/3,8.159.146.72
p7xcq2yw.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
pull.portal.10086.cn,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,101.133.225.51
r0.erloro.com,Possible Cobalt Strike C2 Domain,/visit.js,137.220.194.15
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronting Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
sys.systemworld.info,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,23.254.129.251
updatesrv.net,Possible Cobalt Strike C2 Domain,/___utm.gif,169.239.128.43
ux85qfba.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
web-analyzer-serv32.com,Possible Cobalt Strike C2 Domain,/___utm.gif,169.239.128.43
webcloudplt2.oss-cn-shanghai.aliyuncs.com,Possible Cobalt Strike C2 Fronted Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
www.dyshop.online,Possible Cobalt Strike C2 Domain,/login.js,111.229.4.108
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain,/api/v1/node/check,165.154.225.239
