domain,metadata_comment,ip
01fpz9cc00e53r1zvahzssnnrd.0yz92ba0kbmw4wtz4xnjvho12s8iw7.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
0xy76p6a5y1k87pv9s649lyqzh58tzho.oastify.com,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
103.116.52.203.sslip.io,Possible AdaptixC2 Domain (Unverified),103.116.52.203
109.120.135.69.sslip.io,Possible RedAmon Domain (Unverified),109.120.135.69
11777-outbound-webtest.nsd.li,Possible BurpSuite Collaborator Domain (Unverified),81.95.8.185
11792-webtest.nsd.li,Possible BurpSuite Collaborator Domain (Unverified),80.255.6.3
139-162-113-221.ip.linodeusercontent.com,Possible AdaptixC2 Domain (Unverified),139.162.113.221
144-124-234-128.sslip.io,Possible AdaptixC2 Domain (Unverified),144.124.234.128
144.172.112.126.sslip.io,Possible PureRAT Domain (Unverified),144.172.112.126
144.ip-51-91-79.eu,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.144
146-190-111-53.sslip.io,Possible Mythic Domain (Unverified),146.190.111.53
154.36.161.221.sslip.io,Possible CyberStrikeAI Domain (Unverified),154.36.161.221
172.86.119.225.sslip.io,Possible Evilginx/EvilGoPhish Domain (Unverified),172.86.119.225
178-18-254-244.sslip.io,Possible PentAGI Domain (Unverified),178.18.254.244
185-135-80-216.cprapid.com,Possible CyberStrikeAI Domain (Unverified),185.135.80.216
185-242-3-250.sslip.io,Possible AsyncRAT Domain (Unverified),185.242.3.250
188.166.244.201.sslip.io,Possible AdaptixC2 Domain (Unverified),188.166.244.201
188.212.158.203.nip.io,Possible AsyncRAT Domain (Unverified),188.212.158.203
193.134.211.175.nip.io,Possible CyberStrikeAI Domain (Unverified),193.134.211.175
1997x.app,Possible CyberStrikeAI Domain (Unverified),45.207.196.67
1panel.sakanapi.cn,Possible CyberStrikeAI Domain (Unverified),38.244.44.222
2-27-160-141.sslip.io,Possible AdaptixC2 Domain (Unverified),2.27.160.141
212-43-153-205.cprapid.com,Possible AsyncRAT Domain (Unverified),212.43.153.205
217-60-195-110.cprapid.com,Possible PureRAT Domain (Unverified),217.60.195.110
217.216.73.36.sslip.io,Possible Ligolo-ng Domain (Unverified),217.216.73.36
2ol.pw,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
2wpbhd2.257.cz,Possible CyberStrikeAI Domain (Unverified),185.242.233.6
2yrcq-l.257.cz,Possible Havoc Domain (Unverified),194.113.73.246
2yrcq-l.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.73.246
2yrcqwt.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.73.106
2yrcr58.257.cz,Possible Ligolo-ng Domain (Unverified),194.113.74.199
3.121.234.29.sslip.io,Possible Mythic Domain (Unverified),3.121.234.29
31.56.197.231.sslip.io,Possible Ligolo-ng Domain (Unverified),31.56.197.231
35-205-254-152.nip.io,Possible PentAGI Domain (Unverified),35.205.254.152
4.javashell.com,Possible CyberStrikeAI Domain (Unverified),185.186.245.131
43-167-179-153.sslip.io,Possible CyberStrikeAI Domain (Unverified),43.167.179.153
43-250-53-42.nip.io,Possible CyberStrike Domain (Unverified),43.250.53.42
43210cloudfront.net.protect-eu.mimecast.com.hamtn.org,Possible Evilginx/EvilGoPhish Domain (Unverified),157.173.195.214
45-221-118-188.sslip.io,Possible CyberStrikeAI Domain (Unverified),45.221.118.188
49m.us,Possible CyberStrikeAI Domain (Unverified),156.239.40.175
4vv.me,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
518.fun,Possible PentAGI Domain (Unverified),202.61.160.144
52.128.241.51.sslip.io,Possible CyberStrikeAI Domain (Unverified),52.128.241.51
5rf.me,Possible BurpSuite Collaborator Domain (Unverified),141.94.206.192
63673623562.com,Possible PureRAT Domain (Unverified),194.59.30.123
64.112.41.65.sslip.io,Possible BurpSuite Collaborator Domain (Unverified),64.112.41.65
68.221.168.156.nip.io,Possible Havoc Domain (Unverified),68.221.168.156
6zy.org,Possible wstunnel Domain (Unverified),128.204.223.98
7.swellcss.com,Possible BurpSuite Collaborator Domain (Unverified),20.204.67.121
77.110.114.36.sslip.io,Possible CyberStrike Domain (Unverified),77.110.114.36
77.111.101.103.sslip.io,Possible Reverse_SSH Domain (Unverified),77.111.101.103
78-157-221-227.nip.io,Possible CyberStrikeAI Domain (Unverified),78.157.221.227
7h91.com,Possible CyberStrikeAI Domain (Unverified),23.95.190.126
85-137-53-26.cprapid.com,Possible CyberStrikeAI Domain (Unverified),85.137.53.26
8bpkxv.easypanel.host,Possible CyberStrikeAI Domain (Unverified),156.239.41.9
8m7h93.easypanel.host,Possible BurpSuite Collaborator Domain (Unverified),146.190.129.110
96.si,Possible BurpSuite Collaborator Domain (Unverified),23.88.62.86
