domain,metadata_comment,ip
01fpzw67p1y3yxg6w2trvpn73c.2mp8q4u89y94nzagkr4ewhosajg94y.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
020859.xyz,Possible Interactsh Domain (Unverified),45.32.92.170
0a.x00b.com,Possible Interactsh Domain (Unverified),206.81.14.30
0b.vc,Possible Interactsh Domain (Unverified),65.0.222.46
0dk.cc,Possible Interactsh Domain (Unverified),142.93.167.68
0pq.co,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.152
0ri44114ji0s4k068k554c27807f7de6e.oast.me,Possible Interactsh Domain (Unverified),178.128.209.14
1-api-asi.ns2.ish-asi.securitytrails.com,Possible Interactsh Domain (Unverified),216.25.124.1
103210l.facebook.com.proofpoint.com.lngjewelry.com,Possible Evilginx/EvilGoPhish Domain (Unverified),157.173.195.214
109-123-239-6.nip.io,Possible Pywssocks Domain (Unverified),109.123.239.6
143-110-151-209.cprapid.com,Possible Sliver Domain (Unverified),143.110.151.209
185.203.116.120.sslip.io,Possible Ligolo-ng Domain (Unverified),185.203.116.120
1n3.in,Possible Interactsh Domain (Unverified),5.75.173.91
1z2x.top,Possible Supershell Domain (Unverified),156.239.47.139
217.216.73.36.sslip.io,Possible Ligolo-ng Domain (Unverified),217.216.73.36
2259.safetyhub.paypal.com.waaix4ag62boz0tmwtgmfrtpyg47sw.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
22uom5jq7fca.resolvertest.pingback.me,Possible Interactsh Domain (Unverified),159.223.99.113
2610i7v965tn4p7b9l885fe049qs9zhdi.oast.me,Possible Interactsh Domain (Unverified),178.128.209.14
2ol.pw,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
2xax.dev,Possible Interactsh Domain (Unverified),52.58.123.61
3.121.234.29.sslip.io,Possible Mythic Domain (Unverified),3.121.234.29
30145.dq76kpgg0jzis2j44i2zhw4wzn5e52u.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
3122.d9nhx0406p9duww2ge79vhqdp4v0jp.burpcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
3djv0lc-collab.in-pentesting.com,Possible BurpSuite Collaborator Domain (Unverified),63.32.237.183
3m4.eu,Possible Interactsh Domain (Unverified),95.217.241.30
3xe.nl,Possible Interactsh Domain (Unverified),188.166.80.201
45-138-16-162.cprapid.com,Possible AdaptixC2 Domain (Unverified),45.138.16.162
4vv.me,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
50-116-40-144.ip.linodeusercontent.com,Possible BurpSuite Collaborator Domain (Unverified),50.116.40.144
52ywp.com,Possible NetSupportRAT Domain (Unverified),120.25.239.36
58.nu,Possible Interactsh Domain (Unverified),46.101.126.57
5b35e9f0033ab5f0.ish.stg.shinobi.security,Possible Interactsh Domain (Unverified),54.229.228.123
5d81a9cb31aa8eba46396b7cbb95fb22.life,Possible AsyncRAT Domain (Unverified),168.222.97.120
5ec8e4b6-6691-4924-a6e5-02d408792cde.926.cam,Possible Supershell Domain (Unverified),102.220.91.93
5rf.me,Possible BurpSuite Collaborator Domain (Unverified),141.94.206.192
76.pt,Possible Interactsh Domain (Unverified),35.195.232.132
7dlxk.avp-18432.iad.176221588272.proxy.springtide.aws.dev,Possible BurpSuite Collaborator Domain (Unverified),44.254.210.57
83r3877f492l49k89k8241t62h513108m.oast.me,Possible Interactsh Domain (Unverified),178.128.209.14
88-218-60-191.sslip.io,Possible Ligolo-ng Domain (Unverified),88.218.60.191
8ktaar9c4exfh5dvhkpv527takgb7g6c10q.elcrooks.com,Possible Interactsh Domain (Unverified),138.197.164.232
96.si,Possible BurpSuite Collaborator Domain (Unverified),23.88.62.86
97-74-92-237.nip.io,Possible AdaptixC2 Domain (Unverified),97.74.92.237
9kf.me,Possible Interactsh Domain (Unverified),141.148.155.230
9p.mom,Possible Interactsh Domain (Unverified),146.190.160.109
9uhxrbz5xbz1uq.r87.me,Possible Interactsh Domain (Unverified),100.50.149.117
_dmarc.cmfcnikscv2q5ib722d0ijpaqikttehs6.oast.online,Possible Interactsh Domain (Unverified),178.128.87.9
_dmarc.co9p2kmbfeicf81u9l10kjqsb8yem9w5u.oast.pro,Possible Interactsh Domain (Unverified),178.128.212.209
_dmarc.con1g4ntf3rs02qvq86g3atjjuyfxbody.oast.site,Possible Interactsh Domain (Unverified),178.128.16.97
