domain,port,metadata_comment,ip
020859.xyz,443,Possible Interactsh Domain (Unverified),45.32.92.170
020859.xyz,587,Possible Interactsh Domain (Unverified),45.32.92.170
020859.xyz,80,Possible Interactsh Domain (Unverified),45.32.92.170
0b.vc,80,Possible Interactsh Domain (Unverified),65.0.222.46
0dk.cc,25,Possible Interactsh Domain (Unverified),142.93.167.68
0dk.cc,443,Possible Interactsh Domain (Unverified),142.93.167.68
0dk.cc,465,Possible Interactsh Domain (Unverified),142.93.167.68
0dk.cc,587,Possible Interactsh Domain (Unverified),142.93.167.68
0dk.cc,80,Possible Interactsh Domain (Unverified),142.93.167.68
0l.facebook.com.proofpoint.com.www.lngjewelry.com,443,Possible Evilginx/EvilGoPhish Domain (Unverified),157.173.195.214
0xy.us,9999,Possible Interactsh Domain (Unverified),164.92.154.101
1-asi.ns.ish-asi.securitytrails.com,443,Possible Interactsh Domain (Unverified),216.25.124.1
1031c2df-cb9a-4077-93c0-f027665d8d3b.magmar.be,443,Possible Interactsh Domain (Unverified),192.34.62.111
1031c2df-cb9a-4077-93c0-f027665d8d3b.magmar.be,465,Possible Interactsh Domain (Unverified),192.34.62.111
1031c2df-cb9a-4077-93c0-f027665d8d3b.magmar.be,587,Possible Interactsh Domain (Unverified),192.34.62.111
1031c2df-cb9a-4077-93c0-f027665d8d3b.magmar.be,80,Possible Interactsh Domain (Unverified),192.34.62.111
139-162-113-221.ip.linodeusercontent.com,64321,Possible AdaptixC2 Domain (Unverified),139.162.113.221
144-24-122-254.cprapid.com,25,Possible Interactsh Domain (Unverified),144.24.122.254
144-24-122-254.cprapid.com,443,Possible Interactsh Domain (Unverified),144.24.122.254
144-24-122-254.cprapid.com,587,Possible Interactsh Domain (Unverified),144.24.122.254
144-24-122-254.cprapid.com,80,Possible Interactsh Domain (Unverified),144.24.122.254
159.223.224.196.nip.io,443,Possible BurpSuite Collaborator Domain (Unverified),159.223.224.196
159.223.224.196.nip.io,80,Possible BurpSuite Collaborator Domain (Unverified),159.223.224.196
195.242.118.106.sslip.io,4321,Possible AdaptixC2 Domain (Unverified),195.242.118.106
1n3.in,25,Possible Interactsh Domain (Unverified),5.75.173.91
1n3.in,587,Possible Interactsh Domain (Unverified),5.75.173.91
1rb.it,25,Possible Interactsh Domain (Unverified),54.38.78.189
1rb.it,465,Possible Interactsh Domain (Unverified),54.38.78.189
217.216.73.36.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),217.216.73.36
29258.dq76kpgg0jzis2j44i2zhw4wzn5e52u.burpcollaborator.net,443,Possible BurpSuite Collaborator Domain (Unverified),3.248.33.252
29258.dq76kpgg0jzis2j44i2zhw4wzn5e52u.burpcollaborator.net,80,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
2ol.pw,443,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
2ol.pw,80,Possible BurpSuite Collaborator Domain (Unverified),51.38.113.4
3.121.234.29.sslip.io,443,Possible Mythic Domain (Unverified),3.121.234.29
32www.house.steven-jansen.nlproperty.ebpqx.mas21.com,9000,Possible DevilGinx Domain (Unverified),185.212.128.232
32www.house.steven-jansen.nlproperty.ebpqx.mas21.com,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.232
37000.pochengjean.xyz,18993,Possible wstunnel Domain (Unverified),128.204.223.98
3c64d4f91a247791.ish.stg.shinobi.security,80,Possible Interactsh Domain (Unverified),34.244.239.97
3f21906dbd2fdcbd.ish.stg.shinobi.security,80,Possible Interactsh Domain (Unverified),34.241.101.45
3m4.eu,443,Possible Interactsh Domain (Unverified),95.217.241.30
3m4.eu,465,Possible Interactsh Domain (Unverified),95.217.241.30
3m4.eu,587,Possible Interactsh Domain (Unverified),95.217.241.30
3m4.eu,80,Possible Interactsh Domain (Unverified),95.217.241.30
3ta.me,443,Possible BurpSuite Collaborator Domain (Unverified),57.129.14.48
3ta.me,80,Possible BurpSuite Collaborator Domain (Unverified),57.129.14.48
3xe.nl,25,Possible Interactsh Domain (Unverified),188.166.80.201
3xe.nl,465,Possible Interactsh Domain (Unverified),188.166.80.201
3xe.nl,587,Possible Interactsh Domain (Unverified),188.166.80.201
455656.xyz,25,Possible Interactsh Domain (Unverified),102.129.185.27
4vv.me,443,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
4vv.me,80,Possible BurpSuite Collaborator Domain (Unverified),51.195.218.230
5.developers.braintreepayments.com.s92d03b1vlnmj94fxk7kbwd9208vwk.burpcollaborator.net,443,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
5.developers.braintreepayments.com.s92d03b1vlnmj94fxk7kbwd9208vwk.burpcollaborator.net,80,Possible BurpSuite Collaborator Domain (Unverified),54.77.139.23
50-116-40-144.ip.linodeusercontent.com,443,Possible BurpSuite Collaborator Domain (Unverified),50.116.40.144
52ywp.com,443,Possible NetSupportRAT Domain (Unverified),120.25.239.36
58.nu,25,Possible Interactsh Domain (Unverified),46.101.126.57
58.nu,443,Possible Interactsh Domain (Unverified),46.101.126.57
58.nu,465,Possible Interactsh Domain (Unverified),46.101.126.57
58.nu,587,Possible Interactsh Domain (Unverified),46.101.126.57
58.nu,80,Possible Interactsh Domain (Unverified),46.101.126.57
5rf.me,443,Possible BurpSuite Collaborator Domain (Unverified),141.94.206.192
5rf.me,80,Possible BurpSuite Collaborator Domain (Unverified),141.94.206.192
5yunus2efendi.serv00.net,24443,Possible wstunnel Domain (Unverified),128.204.223.70
6o81u1fs15334q258479728h09d8371ob.oast.me,80,Possible Interactsh Domain (Unverified),178.128.209.14
7.swellcss.com,443,Possible BurpSuite Collaborator Domain (Unverified),20.204.67.121
7.swellcss.com,80,Possible BurpSuite Collaborator Domain (Unverified),20.204.67.121
72-56-115-109.sslip.io,8099,Possible Interactsh Domain (Unverified),72.56.115.109
76.pt,25,Possible Interactsh Domain (Unverified),35.195.232.132
76.pt,443,Possible Interactsh Domain (Unverified),35.195.232.132
76.pt,465,Possible Interactsh Domain (Unverified),35.195.232.132
76.pt,587,Possible Interactsh Domain (Unverified),35.195.232.132
76.pt,80,Possible Interactsh Domain (Unverified),35.195.232.132
7dlxk.avp-18432.iad.176221588272.proxy.springtide.aws.dev,80,Possible BurpSuite Collaborator Domain (Unverified),44.254.210.57
8704sk1q74334k0791mo72c1x7c27838a.oast.me,25,Possible Interactsh Domain (Unverified),178.128.209.14
88-218-60-191.sslip.io,11601,Possible Ligolo-ng Domain (Unverified),88.218.60.191
88-218-60-191.sslip.io,11606,Possible Ligolo-ng Domain (Unverified),88.218.60.191
88-218-60-191.sslip.io,3232,Possible Ligolo-ng Domain (Unverified),88.218.60.191
8ktaar9c4exfh5dvhkpv527takgb7g6c10q.elcrooks.com,443,Possible Interactsh Domain (Unverified),138.197.164.232
8ktaar9c4exfh5dvhkpv527takgb7g6c10q.elcrooks.com,80,Possible Interactsh Domain (Unverified),138.197.164.232
92-119-158-20.cprapid.com,7443,Possible Mythic Domain (Unverified),92.119.158.20
96.si,443,Possible BurpSuite Collaborator Domain (Unverified),23.88.62.86
96.si,80,Possible BurpSuite Collaborator Domain (Unverified),23.88.62.86
987.mroow.tk,24443,Possible wstunnel Domain (Unverified),128.204.223.71
9988620.com,4321,Possible AdaptixC2 Domain (Unverified),202.95.8.92
9kf.me,25,Possible Interactsh Domain (Unverified),141.148.155.230
9kf.me,443,Possible Interactsh Domain (Unverified),141.148.155.230
9kf.me,465,Possible Interactsh Domain (Unverified),141.148.155.230
9kf.me,587,Possible Interactsh Domain (Unverified),141.148.155.230
9kf.me,80,Possible Interactsh Domain (Unverified),141.148.155.230
_dmarc.2js3hf5oi1804687ep75l8509m332u7en.oast.me,443,Possible Interactsh Domain (Unverified),178.128.209.14
_dmarc.2js3hf5oi1804687ep75l8509m332u7en.oast.me,465,Possible Interactsh Domain (Unverified),178.128.209.14
_dmarc.2js3hf5oi1804687ep75l8509m332u7en.oast.me,587,Possible Interactsh Domain (Unverified),178.128.209.14
_dmarc.cjj65a9afh31s25jua00z8fjomh6z83zk.oast.site,25,Possible Interactsh Domain (Unverified),178.128.16.97
_dmarc.cjj65a9afh31s25jua00z8fjomh6z83zk.oast.site,80,Possible Interactsh Domain (Unverified),178.128.16.97
_dmarc.i.h3x.it,80,Possible Interactsh Domain (Unverified),20.151.252.42
_dmarc.interactsh.fortidevice.forticloud.com,443,Possible Interactsh Domain (Unverified),52.9.0.227
_dmarc.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mgmsp-lab.com,80,Possible BurpSuite Collaborator Domain (Unverified),81.169.176.36
_dmarc.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mgmsp-lab.com,443,Possible BurpSuite Collaborator Domain (Unverified),81.169.176.36
_dmarc.mail.ns1.snpoc.com,443,Possible BurpSuite Collaborator Domain (Unverified),185.19.184.142
_dmarc.mail.ns1.snpoc.com,80,Possible BurpSuite Collaborator Domain (Unverified),185.19.184.142
_dmarc.main.interacth3.eu,80,Possible Interactsh Domain (Unverified),159.65.119.3
_dmarc.main.interacth3.io,443,Possible Interactsh Domain (Unverified),138.197.126.44
_dmarc.main.interacth3.io,80,Possible Interactsh Domain (Unverified),138.197.126.44
a.0-a.cc,25,Possible Interactsh Domain (Unverified),143.198.125.88
a.0-a.cc,443,Possible Interactsh Domain (Unverified),143.198.125.88
a.0-a.cc,465,Possible Interactsh Domain (Unverified),143.198.125.88
a.0-a.cc,587,Possible Interactsh Domain (Unverified),143.198.125.88
a.0-a.cc,80,Possible Interactsh Domain (Unverified),143.198.125.88
a.bdsecns.top,18080,Possible Interactsh Domain (Unverified),182.61.21.112
a.pentestdemo.com,443,Possible BurpSuite Collaborator Domain (Unverified),161.35.71.171
a.pentestdemo.com,80,Possible BurpSuite Collaborator Domain (Unverified),161.35.71.171
a3tio.com,25,Possible Interactsh Domain (Unverified),139.144.173.67
a3tio.com,465,Possible Interactsh Domain (Unverified),139.144.173.67
a3tio.com,587,Possible Interactsh Domain (Unverified),139.144.173.67
a3tio.com,80,Possible Interactsh Domain (Unverified),139.144.173.67
aa2acba4.is.randori.io,25,Possible Interactsh Domain (Unverified),35.224.165.87
aa2acba4.is.randori.io,443,Possible Interactsh Domain (Unverified),35.224.165.87
aa2acba4.is.randori.io,465,Possible Interactsh Domain (Unverified),35.224.165.87
aa2acba4.is.randori.io,587,Possible Interactsh Domain (Unverified),35.224.165.87
aa2acba4.is.randori.io,80,Possible Interactsh Domain (Unverified),35.224.165.87
aao.ohn.sb.agroperm.cyou,9000,Possible DevilGinx Domain (Unverified),185.212.131.113
aao.ohn.sb.agroperm.cyou,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.131.113
abc.offsec.ca,443,Possible BurpSuite Collaborator Domain (Unverified),3.96.96.201
abc.offsec.ca,80,Possible BurpSuite Collaborator Domain (Unverified),3.96.96.201
abitsec.me,25,Possible Interactsh Domain (Unverified),172.232.132.204
abitsec.me,443,Possible Interactsh Domain (Unverified),172.232.132.204
abitsec.me,465,Possible Interactsh Domain (Unverified),172.232.132.204
abitsec.me,587,Possible Interactsh Domain (Unverified),172.232.132.204
abitsec.me,80,Possible Interactsh Domain (Unverified),172.232.132.204
aboutsls.com,443,Possible PureRAT Domain (Unverified),31.57.38.232
acc.microsoftonline.gexoa.zip,8234,Possible AdaptixC2 Domain (Unverified),203.161.57.75
accesmobile.com,443,Possible PureRAT Domain (Unverified),80.96.109.107
accounts.securitynotification.net,3333,Possible Evilginx/EvilGoPhish Domain (Unverified),64.199.252.59
acme-test-1783691399.burp.juzi995.com,80,Possible BurpSuite Collaborator Domain (Unverified),117.72.73.84
adb-direct.com,7707,Possible AsyncRAT Domain (Unverified),89.42.134.220
adfs.hbmcngg.com,2030,Possible Evilginx/EvilGoPhish Domain (Unverified),104.207.90.93
adgov.online,80,Possible BurpSuite Collaborator Domain (Unverified),3.29.113.247
admin.swdbo.com,25,Possible Interactsh Domain (Unverified),64.23.165.36
admin.swdbo.com,465,Possible Interactsh Domain (Unverified),64.23.165.36
admin.swdbo.com,587,Possible Interactsh Domain (Unverified),64.23.165.36
admin.swdbo.com,8081,Possible Interactsh Domain (Unverified),64.23.165.36
admin.swdbo.com,8443,Possible Interactsh Domain (Unverified),64.23.165.36
admin.xssx.cc,25,Possible Interactsh Domain (Unverified),34.82.86.93
admin.xssx.cc,465,Possible Interactsh Domain (Unverified),34.82.86.93
admin.xssx.cc,587,Possible Interactsh Domain (Unverified),34.82.86.93
adobe.compare,8025,Possible Interactsh Domain (Unverified),146.190.25.209
adobe.compare,8055,Possible Interactsh Domain (Unverified),146.190.25.209
adobe.compare,8587,Possible Interactsh Domain (Unverified),146.190.25.209
ads.tgmaxtraffic.com,25,Possible Interactsh Domain (Unverified),185.185.40.4
ads.tgmaxtraffic.com,80,Possible Interactsh Domain (Unverified),185.185.40.4
advisense.beinaravicius.lt,443,Possible BurpSuite Collaborator Domain (Unverified),138.68.134.169
ahmet41.com,25,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,443,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,465,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,587,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,80,Possible Interactsh Domain (Unverified),178.62.206.95
ai.acadox.site,3232,Possible Reverse_SSH Domain (Unverified),207.246.108.64
ai.osgc.com.cn,9254,Possible Interactsh Domain (Unverified),222.128.47.103
aikitchtech.com,80,Possible DinDoor Domain (Unverified),31.76.96.193
alienx.work,25,Possible Interactsh Domain (Unverified),167.233.144.101
alienx.work,465,Possible Interactsh Domain (Unverified),167.233.144.101
alienx.work,587,Possible Interactsh Domain (Unverified),167.233.144.101
alist.shenyi001.serv00.net,55678,Possible wstunnel Domain (Unverified),128.204.223.98
ally.crwc.sh,443,Possible BurpSuite Collaborator Domain (Unverified),3.93.217.11
ally.crwc.sh,80,Possible BurpSuite Collaborator Domain (Unverified),3.93.217.11
alpha.davincialgo.io,8443,Possible wstunnel Domain (Unverified),166.0.19.249
alteala.com,6606,Possible AsyncRAT Domain (Unverified),204.44.69.230
alteala.com,7707,Possible AsyncRAT Domain (Unverified),204.44.69.230
alteala.com,8808,Possible AsyncRAT Domain (Unverified),204.44.69.230
