domain,port,metadata_comment,ip
096807104.box.freepro.com,443,Possible PiKVM Domain (Unverified),82.96.166.128
096807104.box.freepro.com,80,Possible PiKVM Domain (Unverified),82.96.166.128
11223344.online,8082,Possible NanoKVM Domain (Unverified),78.29.12.0
123825663.box.freepro.com,443,Possible PiKVM Domain (Unverified),149.232.200.68
123825663.box.freepro.com,80,Possible PiKVM Domain (Unverified),149.232.200.68
13391285575.top,63919,Possible PiKVM Domain (Unverified),116.235.254.15
1c.s49.izex.org,8005,Possible NanoKVM Domain (Unverified),85.234.8.225
2008.ink,8443,Possible PiKVM Domain (Unverified),113.66.160.197
21cnpr.com,6001,Possible GLKVM Domain (Unverified),123.180.179.218
21cnpr.com,6002,Possible GLKVM Domain (Unverified),123.180.179.218
235128847.box.freepro.com,4443,Possible PiKVM Domain (Unverified),212.114.31.56
345156389.xyz,8800,Possible PiKVM Domain (Unverified),111.192.81.123
369.wiki,8444,Possible GLKVM Domain (Unverified),119.179.12.49
3keycloud.com,3972,Possible PiKVM Domain (Unverified),68.33.53.133
4aa92507bbf1e9d6.dyndns.dappnode.io,2223,Possible NanoKVM Domain (Unverified),92.104.28.94
67979bb109e7.u.channelsdvr.net,10001,Possible GLKVM Domain (Unverified),148.74.144.237
8.152229.xyz,1443,Possible PiKVM Domain (Unverified),139.226.117.70
845.ddns.net,1443,Possible PiKVM Domain (Unverified),68.129.100.100
913754280.box.freepro.com,20443,Possible PiKVM Domain (Unverified),130.180.221.66
91msp.com,9443,Possible PiKVM Domain (Unverified),39.101.180.111
a.nmpepo.top,8443,Possible GLKVM Domain (Unverified),114.222.69.33
aaaaaa.tech,1443,Possible PiKVM Domain (Unverified),8.138.94.106
aaronvoxel.direct.quickconnect.to,5500,Possible PiKVM Domain (Unverified),98.123.166.42
admin.hoppscotch.tenshigoan.ru,16533,Possible NanoKVM Domain (Unverified),95.161.90.242
admin.re-star.ru,8090,Possible NanoKVM Domain (Unverified),217.13.218.239
adminpetrodgiga.netcraze.pro,8989,Possible NanoKVM Domain (Unverified),178.252.115.39
adnanahmad.net,9988,Possible PiKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9989,Possible GLKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9990,Possible GLKVM Domain (Unverified),107.132.134.154
adnanahmad.net,9991,Possible GLKVM Domain (Unverified),107.132.134.154
