domain,port,metadata_comment,ip
0-1.li,443,Possible Tactical RMM Domain (Unverified),130.162.219.49
00-vic-ss-fwl-zpdpvmwwvc.dynamic-m.com,443,Possible MeshCentral RMM Domain (Unverified),66.187.114.44
057728188.box.freepro.com,6783,Possible Splashtop RMM Domain (Unverified),45.80.10.85
097whm.whm.alex-mattermost.duckdns.org,85,Possible MeshCentral RMM Domain (Unverified),76.143.39.146
0rcrabzpgpmfnea5.myfritz.net,443,Possible MeshCentral RMM Domain (Unverified),91.67.64.146
0xamodule.com,6783,Possible Splashtop RMM Domain (Unverified),154.7.254.55
0xasyncapp.com,6783,Possible Splashtop RMM Domain (Unverified),8.39.235.243
0xavector.com,6783,Possible Splashtop RMM Domain (Unverified),45.43.11.133
0xjustice.space,443,Possible MeshCentral RMM Domain (Unverified),216.203.20.39
0xjustice.space,80,Possible MeshCentral RMM Domain (Unverified),216.203.20.39
103-225-220-98.cprapid.com,1024,Possible Tactical RMM Domain (Unverified),103.225.220.98
103-225-220-98.cprapid.com,443,Possible Tactical RMM Domain (Unverified),103.225.220.98
103.214.108.8.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),103.214.108.8
104.234.251.156.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),104.234.251.156
104.234.251.160.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),104.234.251.160
11.in.ua,5000,Possible Remotely RMM Domain (Unverified),176.126.63.84
120435.ddns.net,443,Possible Tactical RMM Domain (Unverified),138.75.245.102
123-support.com,80,Possible SimpleHelp RMM Domain (Unverified),129.212.166.177
123.mollercen.com,6783,Possible Splashtop RMM Domain (Unverified),144.217.94.155
123.support,443,Possible SimpleHelp RMM Domain (Unverified),173.50.85.37
123.support,80,Possible SimpleHelp RMM Domain (Unverified),173.50.85.37
123vtg.com,443,Possible SimpleHelp RMM Domain (Unverified),172.104.219.68
123vtg.com,80,Possible SimpleHelp RMM Domain (Unverified),172.104.219.68
136-243-173-113.cprapid.com,6783,Possible Splashtop RMM Domain (Unverified),136.243.173.113
136.248.86.43.nip.io,8000,Possible MeshCentral RMM Domain (Unverified),136.248.86.43
136.248.86.43.nip.io,8080,Possible MeshCentral RMM Domain (Unverified),136.248.86.43
140.235.16.252.sslip.io,6783,Possible Splashtop RMM Domain (Unverified),140.235.16.252
144-172-101-235.cprapid.com,6783,Possible Splashtop RMM Domain (Unverified),144.172.101.235
144-172-98-51.cprapid.com,443,Possible SimpleHelp RMM Domain (Unverified),144.172.98.51
144-172-98-51.cprapid.com,80,Possible SimpleHelp RMM Domain (Unverified),144.172.98.51
144.31.137.177.nip.io,7443,Possible MeshCentral RMM Domain (Unverified),144.31.137.177
144.31.137.177.nip.io,80,Possible MeshCentral RMM Domain (Unverified),144.31.137.177
144.48.104.163.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),144.48.104.163
144.48.106.195.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),144.48.106.195
164.152.123.221.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),164.152.123.221
164.152.123.222.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),164.152.123.222
164.152.123.223.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),164.152.123.223
164.152.123.224.dyn.tcadmin.net,6783,Possible Splashtop RMM Domain (Unverified),164.152.123.224
