file_extension,metadata_description,metadata_category
*.!ut,,
*.0,,
*.000,,
*.001,,
*.002,,
*.003,,
*.004,,
*.005,,
*.006,,
*.007,,
*.008,,
*.078,,
*.1.ada,,
*.123,,
*.16svx,,
*.1st,,
*.2.ada,,
*.32x,,
*.3dm,,
*.3dmf,,
*.3dmlw,,
*.3ds,,
*.3dt,,
*.3dv,,
*.3dxml,,
*.3gp,,
*.3mf,,
*.4db,,
*.4dd,,
*.4dindx,,
*.4dindy,,
*.4dr,,
*.600,,
*.602,,
*.7z,,archive
*.8bf,,
*.8svx,,
*.a,,
*.a.out,,
*.a26,,
*.a52,,
*.a78,,
*.aac,,
*.aaf,,
*.ab1,,
*.ab2,,
*.ab3,,
*.abc,,
*.abf,,
*.abw,,
*.ac,,
*.ac3,,
*.accdb,,
*.accde,,
*.ace,,
*.acl,,
*.acp,,
*.acq,,
*.act,,
*.action,,executable
*.ada,,
*.adb,,
*.adf,,
*.adicht,,
*.adp,,
*.ads,,
*.adt,,
*.adz,,
*.aec,,
*.afm,,
*.afp,,
*.ahk,,
*.ai,,
*.aif,,
*.aifc,,
*.aiff,,
*.aimppl,,
*.air,,executable
*.alc,,
*.alias,,
*.alp,,
*.als,,
*.alz,,
*.amf,,
*.ami,,
*.amr,,
*.an8,,
*.ani,,
*.ans,,
*.aoi,,
*.ape,,
*.apk,,executable
*.app,,executable
*.applescript,,
*.application,,executable
*.appref-ms,,
*.appx,,executable
*.apr,,
*.ar,,
*.arc,,
*.arj,,
*.art,,
*.as,,
*.asc,,
*.asciidoc,,
*.ase,,
*.asf,,
*.asm,,
*.asn.1,,
*.asp,,
*.aspx,,
*.ast,,
*.asx,,
*.at3,,
*.atmos,,
*.atom,,
*.aty,,
*.au,,
*.au3,,
*.audio,,
*.aup,,
*.aup3,,
*.avchd,,
*.ave,,
*.avi,,
*.avro,,
*.aw,,
*.awg,,
*.awk,,
*.aws,,
*.aww,,
*.axd,,
*.axx,,
*.b,,
*.b3d,,
*.b5t,,
*.b6t,,
*.ba,,
*.bac,,
*.bak,,
*.bam,,
*.band,,
*.bas,,
*.bat,,executable
*.bb,,
*.bca,,
*.bcf,,
*.bci2000,,
*.bcsv,,
*.bcwav,,
*.bdf,,
*.bdl4,,
*.bed,,
*.bfres,,
*.bib,,
*.bik,,
*.bim,,
*.bin,,
*.bk,,
*.bkf,,
*.bkr,,
*.blend,,
*.block,,
*.block.gbx,,
*.blp,,
*.bmd3,,
*.bmf,,
*.bml,,
*.bmp,,
*.bmx,,
*.bol,,
*.box,,
*.bpl,,
