dest_ip,dest_port
70.80.75.236,5678
20.27.15.111,8561
5.172.24.165,1080
190.14.224.244,3629
217.76.243.2,999
47.176.213.210,39593
138.68.60.8,8080
65.2.181.188,3128
200.27.110.30,57702
31.42.6.125,5678
190.119.160.29,56160
92.255.190.64,4153
139.59.24.173,1080
190.90.132.204,1234
141.105.107.152,5678
104.236.70.10,8080
67.43.228.250,18347
45.79.203.254,48388
70.36.101.234,60015
46.10.71.235,4145
54.169.92.92,4983
91.247.92.63,5678
200.41.182.243,4145
47.93.12.128,12120
195.138.65.34,5678
16.24.143.111,8881
45.234.77.86,4153
178.215.163.218,4145
35.180.23.174,3128
50.250.205.21,32100
198.199.86.11,80
