dest_ip,dest_port,metadata_comment
208.65.90.21,4145,proxylist.txt
58.216.109.17,800,proxylist.txt
198.177.253.13,4145,proxylist.txt
198.177.252.24,4145,proxylist.txt
193.95.53.131,8077,proxylist.txt
216.68.128.121,4145,proxylist.txt
98.191.0.47,4145,proxylist.txt
138.68.60.8,80,proxylist.txt
72.207.33.64,4145,proxylist.txt
98.175.31.195,4145,proxylist.txt
188.114.96.33,80,proxylist.txt
213.143.113.82,80,proxylist.txt
172.67.134.75,80,proxylist.txt
188.114.96.39,80,proxylist.txt
172.67.177.200,80,proxylist.txt
101.255.107.85,1111,proxylist.txt
183.88.219.206,34676,proxylist.txt
104.200.135.46,4145,proxylist.txt
68.71.254.6,4145,proxylist.txt
70.166.167.38,57728,proxylist.txt
98.170.57.249,4145,proxylist.txt
217.218.242.75,5678,proxylist.txt
35.197.89.213,80,proxylist.txt
172.64.152.97,80,proxylist.txt
141.101.123.247,80,proxylist.txt
141.101.120.63,80,proxylist.txt
183.88.213.178,8080,proxylist.txt
68.71.240.210,4145,proxylist.txt
142.54.239.1,4145,proxylist.txt
151.232.18.66,5678,proxylist.txt
185.88.177.197,8080,proxylist.txt
46.249.100.124,80,proxylist.txt
177.68.149.141,1080,proxylist.txt
184.181.217.201,4145,proxylist.txt
142.54.237.34,4145,proxylist.txt
141.101.121.227,80,proxylist.txt
68.71.252.38,4145,proxylist.txt
199.102.104.70,4145,proxylist.txt
24.249.199.12,4145,proxylist.txt
98.188.47.150,4145,proxylist.txt
103.160.204.130,80,proxylist.txt
141.101.120.183,80,proxylist.txt
23.237.210.82,80,proxylist.txt
213.250.198.146,7777,proxylist.txt
208.65.90.3,4145,proxylist.txt
198.177.254.157,4145,proxylist.txt
23.249.27.167,10808,proxylist.txt
72.223.188.67,4145,proxylist.txt
185.149.240.155,1080,proxylist.txt
38.54.71.67,80,proxylist.txt
184.181.178.33,4145,proxylist.txt
184.170.251.30,11288,proxylist.txt
45.85.118.129,80,proxylist.txt
142.54.226.214,4145,proxylist.txt
190.58.248.86,80,proxylist.txt
85.228.42.230,4153,proxylist.txt
38.156.72.28,8080,proxylist.txt
190.94.212.82,999,proxylist.txt
213.149.154.213,5678,proxylist.txt
68.1.210.163,4145,proxylist.txt
68.71.249.153,48606,proxylist.txt
202.21.114.134,4153,proxylist.txt
68.71.242.118,4145,proxylist.txt
142.54.231.38,4145,proxylist.txt
72.195.114.169,4145,proxylist.txt
172.67.133.207,80,proxylist.txt
23.227.39.108,80,proxylist.txt
108.162.196.83,80,proxylist.txt
141.101.121.203,80,proxylist.txt
23.227.38.97,80,proxylist.txt
141.101.121.53,80,proxylist.txt
159.112.235.27,80,proxylist.txt
185.238.228.159,80,proxylist.txt
185.238.228.245,80,proxylist.txt
31.43.179.231,80,proxylist.txt
218.75.224.4,3309,proxylist.txt
221.231.13.198,1080,proxylist.txt
23.227.38.62,80,proxylist.txt
172.64.149.68,80,proxylist.txt
185.162.229.64,80,proxylist.txt
43.163.86.219,20000,proxylist.txt
199.102.106.94,4145,proxylist.txt
68.71.249.158,4145,proxylist.txt
199.102.107.145,4145,proxylist.txt
199.116.114.11,4145,proxylist.txt
68.71.251.134,4145,proxylist.txt
68.71.245.206,4145,proxylist.txt
142.54.232.6,4145,proxylist.txt
72.37.217.3,4145,proxylist.txt
68.71.243.14,4145,proxylist.txt
142.54.237.38,4145,proxylist.txt
67.201.59.70,4145,proxylist.txt
162.253.68.97,4145,proxylist.txt
142.54.236.97,4145,proxylist.txt
13.230.34.30,80,proxylist.txt
125.228.94.153,4145,proxylist.txt
172.64.78.193,80,proxylist.txt
172.64.78.198,80,proxylist.txt
172.65.90.1,80,proxylist.txt
141.101.120.131,80,proxylist.txt
141.101.120.54,80,proxylist.txt
172.64.78.71,80,proxylist.txt
185.238.228.58,80,proxylist.txt
27.254.217.116,8081,proxylist.txt
174.77.111.197,4145,proxylist.txt
199.58.185.9,4145,proxylist.txt
184.170.245.148,4145,proxylist.txt
72.223.188.92,4145,proxylist.txt
72.207.109.5,4145,proxylist.txt
98.170.57.241,4145,proxylist.txt
199.187.210.54,4145,proxylist.txt
198.8.84.3,4145,proxylist.txt
142.54.228.193,4145,proxylist.txt
199.229.254.129,4145,proxylist.txt
199.58.184.97,4145,proxylist.txt
184.170.249.65,4145,proxylist.txt
192.111.139.165,4145,proxylist.txt
98.182.147.97,4145,proxylist.txt
192.252.214.17,4145,proxylist.txt
98.190.239.3,4145,proxylist.txt
192.252.209.158,4145,proxylist.txt
67.201.39.14,4145,proxylist.txt
199.116.112.6,4145,proxylist.txt
192.252.220.89,4145,proxylist.txt
192.111.134.10,4145,proxylist.txt
184.170.248.5,4145,proxylist.txt
192.252.216.81,4145,proxylist.txt
192.111.137.35,4145,proxylist.txt
98.178.72.30,4145,proxylist.txt
192.252.216.86,4145,proxylist.txt
192.252.208.70,14282,proxylist.txt
192.252.208.67,14287,proxylist.txt
192.111.139.162,4145,proxylist.txt
98.188.47.132,4145,proxylist.txt
96.113.159.162,80,proxylist.txt
40.177.65.8,80,proxylist.txt
34.194.41.221,80,proxylist.txt
172.65.90.0,80,proxylist.txt
65.1.148.157,80,proxylist.txt
18.216.55.100,80,proxylist.txt
188.114.96.165,80,proxylist.txt
185.162.228.50,80,proxylist.txt
199.102.105.242,4145,proxylist.txt
206.220.175.2,4145,proxylist.txt
72.206.74.126,4145,proxylist.txt
98.182.171.161,4145,proxylist.txt
98.170.57.231,4145,proxylist.txt
72.195.34.59,4145,proxylist.txt
172.65.90.2,80,proxylist.txt
47.57.13.107,80,proxylist.txt
172.65.90.46,80,proxylist.txt
172.64.78.69,80,proxylist.txt
185.162.229.146,80,proxylist.txt
173.245.59.108,80,proxylist.txt
172.67.82.139,80,proxylist.txt
172.67.182.200,80,proxylist.txt
185.238.228.136,80,proxylist.txt
185.162.229.205,80,proxylist.txt
103.21.244.26,80,proxylist.txt
173.245.49.43,80,proxylist.txt
47.89.184.18,3128,proxylist.txt
172.65.90.1,80,proxylist.txt
185.170.166.21,80,proxylist.txt
172.67.191.247,80,proxylist.txt
173.245.49.32,80,proxylist.txt
173.245.49.98,80,proxylist.txt
173.245.49.227,80,proxylist.txt
23.227.38.232,80,proxylist.txt
66.235.200.95,80,proxylist.txt
23.227.39.56,80,proxylist.txt
23.227.39.30,80,proxylist.txt
23.227.39.66,80,proxylist.txt
103.239.201.49,58765,proxylist.txt
174.77.111.198,49547,proxylist.txt
103.82.27.24,10001,proxylist.txt
34.124.190.108,8080,proxylist.txt
221.202.27.194,10806,proxylist.txt
72.49.49.11,31034,proxylist.txt
192.252.220.92,17328,proxylist.txt
72.195.34.60,27391,proxylist.txt
192.111.137.34,18765,proxylist.txt
192.111.135.17,18302,proxylist.txt
192.111.137.37,18762,proxylist.txt
192.252.214.20,15864,proxylist.txt
192.252.211.197,14921,proxylist.txt
192.111.135.18,18301,proxylist.txt
192.111.129.145,16894,proxylist.txt
192.252.209.155,14455,proxylist.txt
192.252.215.5,16137,proxylist.txt
66.42.224.229,41679,proxylist.txt
176.119.36.76,1081,proxylist.txt
43.133.37.149,1080,proxylist.txt
159.203.61.169,1080,proxylist.txt
58.216.109.14,800,proxylist.txt
39.185.41.193,5911,proxylist.txt
110.242.70.68,443,proxylist.txt
34.41.115.197,3128,proxylist.txt
88.198.212.91,3128,proxylist.txt
103.189.218.83,6969,proxylist.txt
89.43.31.134,3128,proxylist.txt
107.181.168.145,4145,proxylist.txt
107.181.161.81,4145,proxylist.txt
104.200.152.30,4145,proxylist.txt
107.152.98.5,4145,proxylist.txt
104.37.135.145,4145,proxylist.txt
113.204.79.230,9091,proxylist.txt
172.64.155.76,80,proxylist.txt
45.12.31.135,80,proxylist.txt
172.64.78.34,80,proxylist.txt
188.114.99.80,80,proxylist.txt
172.67.79.163,80,proxylist.txt
172.64.84.228,80,proxylist.txt
45.12.31.57,80,proxylist.txt
45.12.30.114,80,proxylist.txt
174.77.111.196,4145,proxylist.txt
202.131.235.138,4153,proxylist.txt
198.8.94.174,39078,proxylist.txt
192.111.130.2,4145,proxylist.txt
72.195.34.41,4145,proxylist.txt
172.64.149.7,80,proxylist.txt
172.64.149.50,80,proxylist.txt
141.101.122.221,80,proxylist.txt
31.43.179.73,80,proxylist.txt
185.162.228.43,80,proxylist.txt
45.12.30.199,80,proxylist.txt
172.64.144.205,80,proxylist.txt
108.162.198.194,80,proxylist.txt
141.193.213.31,80,proxylist.txt
141.101.120.247,80,proxylist.txt
