dest_ip,dest_port,metadata_comment
148.251.154.233,"61337",proxy.txt
64.202.184.249,"23616",proxy.txt
64.202.184.249,"18087",proxy.txt
50.63.12.101,"1376",proxy.txt
50.63.12.101,"59998",proxy.txt
72.205.0.67,"4145",proxy.txt
68.71.242.118,"4145",proxy.txt
98.188.47.150,"4145",proxy.txt
72.195.34.41,"4145",proxy.txt
89.43.31.134,"3128",proxy.txt
20.206.106.192,"8123",proxy.txt
20.24.43.214,"8123",proxy.txt
20.205.61.143,"8123",proxy.txt
20.111.54.16,"8123",proxy.txt
98.188.47.132,"4145",proxy.txt
72.195.34.58,"4145",proxy.txt
68.1.210.189,"4145",proxy.txt
68.71.240.210,"4145",proxy.txt
51.15.205.29,"16379",proxy.txt
51.210.111.216,"56241",proxy.txt
64.202.184.249,"50615",proxy.txt
37.58.48.161,"5257",proxy.txt
68.71.252.38,"4145",proxy.txt
67.201.39.14,"4145",proxy.txt
70.166.167.55,"57745",proxy.txt
185.242.119.236,"1080",proxy.txt
51.210.111.216,"11926",proxy.txt
122.51.39.108,"20095",proxy.txt
81.143.236.200,"443",proxy.txt
36.103.167.209,"7890",proxy.txt
51.77.92.155,"55448",proxy.txt
212.47.240.97,"16379",proxy.txt
72.195.101.99,"4145",proxy.txt
72.195.114.184,"4145",proxy.txt
68.1.210.163,"4145",proxy.txt
64.202.184.249,"62162",proxy.txt
51.75.126.150,"54612",proxy.txt
51.75.126.150,"37863",proxy.txt
51.210.111.216,"16490",proxy.txt
51.75.126.150,"18788",proxy.txt
37.44.238.2,"53471",proxy.txt
51.210.111.216,"62160",proxy.txt
51.75.126.150,"19366",proxy.txt
51.210.111.216,"47878",proxy.txt
51.75.126.150,"19578",proxy.txt
51.75.126.150,"3307",proxy.txt
51.75.126.150,"8177",proxy.txt
51.68.160.105,"30863",proxy.txt
98.181.137.80,"4145",proxy.txt
74.119.147.209,"4145",proxy.txt
70.166.167.38,"57728",proxy.txt
67.201.59.70,"4145",proxy.txt
24.249.199.4,"4145",proxy.txt
74.119.144.60,"4145",proxy.txt
51.89.21.99,"14890",proxy.txt
188.165.133.80,"30863",proxy.txt
209.141.45.119,"56666",proxy.txt
24.249.199.12,"4145",proxy.txt
66.29.154.105,"1080",proxy.txt
98.152.200.61,"8081",proxy.txt
91.92.155.207,"1080",proxy.txt
84.247.135.52,"32768",proxy.txt
195.98.77.179,"1080",proxy.txt
185.46.97.75,"1080",proxy.txt
188.40.59.208,"1080",proxy.txt
185.142.33.10,"1080",proxy.txt
20.205.61.143,"80",proxy.txt
46.146.220.177,"1080",proxy.txt
184.168.121.153,"64744",proxy.txt
129.204.169.206,"8888",proxy.txt
46.105.105.223,"29267",proxy.txt
84.247.168.26,"60327",proxy.txt
64.202.184.249,"15986",proxy.txt
66.42.224.229,"41679",proxy.txt
67.201.33.10,"25283",proxy.txt
72.195.34.35,"27360",proxy.txt
50.63.12.101,"27071",proxy.txt
172.233.14.116,"1080",proxy.txt
45.33.89.116,"56956",proxy.txt
72.49.49.11,"31034",proxy.txt
128.199.165.63,"24005",proxy.txt
20.210.113.32,"8123",proxy.txt
46.105.105.223,"63462",proxy.txt
184.168.121.153,"29660",proxy.txt
184.168.121.153,"14013",proxy.txt
122.51.39.108,"20019",proxy.txt
50.63.12.101,"61120",proxy.txt
50.63.12.101,"46403",proxy.txt
50.63.12.101,"47544",proxy.txt
68.71.249.153,"48606",proxy.txt
64.202.184.249,"31239",proxy.txt
219.154.210.157,"9999",proxy.txt
64.202.184.249,"32102",proxy.txt
72.195.34.60,"27391",proxy.txt
46.146.210.123,"1080",proxy.txt
98.191.0.37,"4145",proxy.txt
66.42.224.229,"41679",proxy.txt
31.25.24.67,"1080",proxy.txt
88.198.212.91,"3128",proxy.txt
46.147.65.44,"61986",proxy.txt
46.101.118.157,"10040",proxy.txt
203.190.8.35,"42541",proxy.txt
51.89.21.99,"9537",proxy.txt
212.55.99.157,"1080",proxy.txt
176.117.237.132,"1080",proxy.txt
50.63.12.101,"54885",proxy.txt
98.170.57.249,"4145",proxy.txt
69.61.200.104,"36181",proxy.txt
208.65.90.3,"4145",proxy.txt
98.170.57.231,"4145",proxy.txt
98.178.72.21,"10919",proxy.txt
208.65.90.21,"4145",proxy.txt
98.170.57.241,"4145",proxy.txt
49.13.28.157,"5567",proxy.txt
72.195.34.42,"4145",proxy.txt
72.214.108.67,"4145",proxy.txt
72.195.114.169,"4145",proxy.txt
139.162.78.109,"1080",proxy.txt
178.178.2.177,"1080",proxy.txt
72.195.34.59,"4145",proxy.txt
67.201.33.10,"25283",proxy.txt
185.10.129.14,"3128",proxy.txt
84.247.168.26,64499,proxy.txt
1-0-0-1.esfand.itemdb.com,443,mtproto.json
1.font-bartar.ir,443,mtproto.json
1.magalevarzeshi.ir,443,mtproto.json
1.majalekari.ir,443,mtproto.json
100.120.130echolicense.sacony.com.just-do-it-unless-it-involves-exercise.adidas.com.impossible-is-nothing-except-getting-my-kids-to-eat-vegetables.underarmour.com.protecting-myself-from-the-elements-and-the-judgmental-from.vayasaze.ir,443,mtproto.json
103.126.50.25,443,mtproto.json
103.126.50.38,443,mtproto.json
103.158.74.21,21456,mtproto.json
103.158.74.24,41822,mtproto.json
103.161.35.17,443,mtproto.json
103.161.35.96,12,mtproto.json
103.3.60.129,443,mtproto.json
103.71.22.75,7143,mtproto.json
104.238.180.203,80,mtproto.json
104.248.26.196,443,mtproto.json
108.181.121.210,3443,mtproto.json
108.181.121.216,3443,mtproto.json
108.181.121.219,8443,mtproto.json
108.181.70.27,3443,mtproto.json
108.181.71.115,443,mtproto.json
108.181.71.97,465,mtproto.json
109.120.177.110,443,mtproto.json
109.176.203.122,2052,mtproto.json
109.205.195.213,443,mtproto.json
11.11.10.1.0me-ninja.nike.com.just-do-it-unless-it-involves-exercise.adidas.com.impossible-is-nothing-except-getting-my-kids-to-eat-vegetables.underarmour.com.protecting-myself-from-the-elements-and-the-judgmental-from.mr-pinkman.blue,443,mtproto.json
111.173.106.108,12501,mtproto.json
111.173.106.199,16208,mtproto.json
116.203.137.250,443,mtproto.json
116.203.149.201,443,mtproto.json
12.12.12.ads1.0me-ninja.nike.com.just-do-it-unless-it-involves-exercise.adidas.com.impossible-is-nothing-except-getting-my-kids-to-eat-vegetables.underarmour.com.protecting-myself-from-the-elements-and-the-judgmental-from.gustavofring.shop,443,mtproto.json
128.140.100.108,45,mtproto.json
128.140.44.219,443,mtproto.json
128.199.56.193,443,mtproto.json
13.250.47.198,8633,mtproto.json
13.59.126.0,443,mtproto.json
13.59.240.36,443,mtproto.json
130.0.239.75,443,mtproto.json
134.122.55.2,443,mtproto.json
134.209.90.136,443,mtproto.json
135.181.32.107,443,mtproto.json
137.184.11.122,443,mtproto.json
138.124.102.80,8888,mtproto.json
138.201.122.231,7943,mtproto.json
139.59.133.255,443,mtproto.json
139.59.141.67,443,mtproto.json
139.59.15.110,443,mtproto.json
14.102.10.105,85,mtproto.json
14.102.10.106,85,mtproto.json
14.102.10.107,85,mtproto.json
14.102.10.108,85,mtproto.json
14.102.10.109,85,mtproto.json
14.102.10.110,85,mtproto.json
14.102.10.111,85,mtproto.json
14.102.10.112,85,mtproto.json
14.102.10.113,85,mtproto.json
14.102.10.114,85,mtproto.json
14.102.10.115,85,mtproto.json
14.102.10.116,85,mtproto.json
14.102.10.118,85,mtproto.json
14.102.10.119,85,mtproto.json
14.102.10.120,85,mtproto.json
14.102.10.121,85,mtproto.json
14.102.10.122,85,mtproto.json
14.102.10.123,85,mtproto.json
14.102.10.124,85,mtproto.json
14.102.10.125,85,mtproto.json
14.102.10.127,85,mtproto.json
14.102.10.128,85,mtproto.json
14.102.10.130,85,mtproto.json
14.102.10.131,85,mtproto.json
14.102.10.132,85,mtproto.json
14.102.10.133,85,mtproto.json
14.102.10.134,85,mtproto.json
14.102.10.135,85,mtproto.json
14.102.10.136,85,mtproto.json
14.102.10.137,85,mtproto.json
14.102.10.138,85,mtproto.json
14.102.10.139,85,mtproto.json
14.102.10.52,65,mtproto.json
14.102.10.53,65,mtproto.json
140.233.187.58,12,mtproto.json
140.233.187.59,12,mtproto.json
140.233.187.60,12,mtproto.json
140.233.187.61,12,mtproto.json
142.132.183.19,443,mtproto.json
142.132.185.118,443,mtproto.json
142.132.189.136,443,mtproto.json
