dest_ip,dest_port,metadata_comment
45.140.143.77,18080,socks5
45.140.143.77,18080,http
173.249.33.122,7497,socks5
173.249.33.122,7497,socks4
51.68.160.105,30863,socks5
145.239.94.103,10084,socks5
145.239.94.103,10084,socks4
145.239.95.118,10084,socks5
91.92.78.207,4145,socks4
65.21.169.137,1080,socks5
185.132.1.221,4145,socks4
37.200.67.75,1080,socks5
45.65.65.18,4145,socks4
35.176.148.8,3128,http
89.46.249.254,60729,http
67.43.236.20,21055,http
92.53.75.196,3128,http
109.123.254.43,22963,socks5
47.252.50.153,3128,http
109.123.254.43,22963,socks4
199.48.129.114,3120,http
72.10.160.90,13859,http
154.236.177.105,1977,http
188.124.230.43,19445,http
46.29.116.83,80,socks5
188.166.197.129,3128,http
64.124.191.98,32688,socks4
72.10.164.178,21741,http
195.98.77.179,1080,socks5
54.39.41.20,62608,socks4
167.172.159.43,48264,socks5
72.10.160.90,26829,http
47.238.149.53,8888,http
47.238.67.96,8888,http
139.64.165.22,1080,socks4
132.148.158.188,45286,socks5
83.69.109.106,1080,socks5
172.212.68.37,3128,http
92.119.74.188,5678,socks4
64.202.184.249,62162,socks5
5.160.224.146,3128,http
141.94.190.221,39557,socks5
195.133.250.173,3128,socks4
89.46.249.170,12345,socks5
103.57.80.154,10888,socks4
77.242.98.39,8080,http
198.12.249.249,60093,socks5
64.202.184.249,32102,socks5
64.202.184.249,31239,socks5
72.10.160.91,29113,http
72.10.164.178,24089,http
64.202.184.249,60221,socks5
198.12.249.249,24929,socks5
198.12.249.249,30563,socks5
49.0.87.62,8088,http
72.10.164.178,23067,http
113.176.92.71,3128,http
154.90.48.10,9090,http
64.202.184.249,6282,socks5
72.10.164.178,31781,http
198.12.249.249,10705,socks5
43.135.78.162,30004,http
51.75.121.63,32534,socks5
94.159.106.252,1080,socks5
72.10.164.178,13655,http
198.12.249.249,26829,socks5
51.79.166.152,10084,socks5
198.12.249.249,59709,socks5
117.3.251.199,18141,socks4
117.3.250.95,18141,socks4
78.157.57.71,3128,http
198.12.249.249,14083,socks5
46.105.105.223,21130,socks5
177.234.209.80,999,http
120.25.199.3,10001,http
198.12.249.249,58711,socks5
198.44.190.44,7088,socks5
64.202.184.249,6282,socks4
198.44.189.201,60088,socks5
177.234.209.85,999,http
198.44.189.226,7088,socks5
51.75.126.150,7635,socks4
177.234.209.84,999,http
46.105.127.74,60170,socks5
198.44.191.97,7088,socks5
177.234.209.82,999,http
198.12.249.249,24929,socks4
198.12.249.249,14083,socks4
198.12.249.249,59709,socks4
64.202.184.249,62162,socks4
46.105.105.223,41448,socks4
67.43.236.22,2315,http
64.202.184.249,60221,socks4
193.70.32.184,54923,socks5
27.116.53.13,5678,socks4
67.43.227.226,25791,http
198.44.190.172,60088,socks5
198.12.249.249,30563,socks4
198.12.249.249,10705,socks4
198.12.249.249,60093,socks4
198.12.249.249,7971,socks5
120.136.129.162,12621,http
46.105.127.74,25489,socks5
178.32.202.54,23155,socks5
51.75.126.150,1964,socks4
149.78.186.176,32566,socks4
89.22.254.160,60606,socks4
203.115.98.194,60606,socks4
72.10.164.178,29547,http
198.44.189.18,7088,socks4
124.41.240.203,37704,socks4
198.44.171.170,7088,socks4
67.43.236.20,17101,http
67.43.236.19,21307,http
198.44.189.16,7088,socks4
190.153.121.2,4145,socks4
64.202.184.249,32102,socks4
198.44.190.6,60088,socks4
202.131.159.60,5678,socks4
54.37.78.53,27606,socks5
86.49.28.236,5678,socks4
91.108.130.18,3128,http
72.10.164.178,25793,http
45.142.193.6,7505,socks5
46.105.127.74,19755,socks5
67.43.228.252,9273,http
117.3.255.75,18141,socks4
117.3.253.218,18141,socks4
198.44.191.223,60088,socks5
200.192.236.242,1080,socks4
177.234.209.81,999,http
198.44.171.81,7088,socks5
217.197.151.182,5678,socks4
103.174.178.166,2017,socks5
222.68.42.176,2324,socks5
182.66.207.139,1888,socks4
67.43.236.20,23163,http
177.234.209.86,999,http
141.94.206.106,49548,socks5
117.3.248.52,18141,socks4
46.105.105.223,43470,socks5
67.210.146.50,11080,socks5
185.61.169.67,4145,socks4
91.192.2.100,60606,socks4
77.225.198.220,4673,socks4
72.10.160.91,26905,http
121.232.181.166,8089,http
103.74.107.215,49758,socks5
43.157.34.94,1777,socks5
72.10.164.178,24641,http
177.234.209.83,999,http
219.154.210.157,9999,socks5
125.87.91.198,2324,http
92.42.8.5,4145,socks4
198.12.249.249,26829,socks4
67.43.228.253,20857,http
67.43.227.226,9911,http
189.125.109.66,3128,http
171.41.130.232,2324,socks5
198.44.189.25,60088,socks4
67.43.236.18,31897,http
45.187.71.208,5678,socks4
213.21.53.119,4153,socks4
103.189.218.85,6969,socks5
197.164.101.20,1976,http
177.234.209.87,999,http
5.166.71.63,1080,socks4
67.43.236.20,14003,http
103.146.185.178,1083,socks4
51.89.21.99,37470,socks5
72.10.164.178,8231,http
58.147.171.110,10801,socks4
72.10.164.178,14179,http
51.89.21.99,41112,socks5
72.10.160.171,30011,http
35.73.28.87,3128,http
198.44.191.99,60088,socks4
124.121.2.185,8080,http
178.32.202.54,52638,socks5
72.10.160.90,23401,http
103.88.169.6,3629,socks4
15.204.240.177,3128,http
185.139.155.155,11813,socks5
195.133.250.173,3128,socks5
222.68.42.176,2324,http
162.19.60.219,36461,socks5
51.68.74.164,23035,socks5
188.165.227.67,37484,socks4
72.10.160.90,9113,http
67.43.236.19,29969,http
27.189.129.230,8089,http
67.43.236.18,17143,http
45.91.92.45,26421,socks4
117.3.254.193,18141,socks4
103.111.22.26,58563,socks4
208.89.96.187,1673,socks5
198.12.249.249,36988,socks4
125.87.88.168,2324,http
45.91.92.45,31756,socks5
117.80.188.249,8089,http
67.43.228.253,4301,http
198.44.171.238,60088,socks5
27.189.133.30,8089,http
163.172.134.29,16379,socks4
47.110.90.254,1080,socks5
37.186.66.36,3629,socks4
46.105.105.223,54030,socks4
171.248.217.182,1080,socks4
141.94.195.25,25043,socks5
103.74.107.215,49758,http
67.43.228.250,3995,http
103.83.252.61,1080,socks4
121.224.156.150,8089,http
72.10.160.93,12041,http
171.248.221.176,1080,socks4
