metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1776376851.7891,elite,76.103633361612,1765046158.1695,AS51436 IDEALAN Sp. z o.o.,IDEALAN-AS,Sokółka,Europe,EU,Poland,PL,,False,IDEALAN Spolka Jawna - Piekarski,53.4006,23.4997,False,IDEALAN Sp. z o.o,True,Podlasie,success,Europe/Warsaw,16-100,1775933346,1776442596.593,80,http,178.212.144.7:80,False,50.058841705322,236909,3169,98.680012329326,178.212.144.7
True,1776442147.9822,elite,6347.8357333583,1776088492.2041,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Manila,Asia,AS,Philippines,PH,,True,"Alibaba (US) Technology Co., Ltd.",14.5971,120.9798,False,Alibaba.com Singapore E-Commerce Private Limited,False,Metro Manila,success,Asia/Manila,1003,1776085599,1776442595.672,1080,socks4,8.220.143.77:1080,True,763.98396492004,6646,652,91.066045491916,8.220.143.77
True,1776419291.8649,elite,1514.8193653491,1721610935.5091,AS29256 STE PDN Internal AS,INT-PDN-STE-AS,Damascus,Asia,AS,Syria,SY,Al Mouhajrin,False,Syrian Telecom,33.5176,36.2904,False,Bitakat Company LTD,True,Damascus Governorate,success,Asia/Damascus,,1776080684,1776442595.5515,80,http,185.235.16.12:80,False,750.94723701477,174386,32865,84.142416683152,185.235.16.12
True,1776442189.3256,elite,747.19491256503,1776253545.0438,AS50340 JSC Selectel,SELECTEL-MSK,Moscow,Europe,EU,Russia,RU,,True,JSC Selectel,55.7487,37.6187,False,Selectel,False,Moscow,success,Europe/Moscow,102200,1776249494,1776442595.0342,1080,socks4,5.53.122.170:1080,True,286.42845153809,4663,115,97.593135203014,5.53.122.170
True,1776442106.3661,elite,995.21053322215,1696966773.6419,AS46562 Performive LLC,PERFORMIVE,Los Angeles,North America,,United States,US,,True,Performive LLC,34.0549,-118.243,False,Performive LLC,True,California,success,America/Los_Angeles,90009,1776039323,1776442594.8255,4145,socks4,142.54.236.97:4145,True,814.47887420654,184198,709220,20.617225083891,142.54.236.97
True,1776442542.3032,elite,3402.3370155921,1776103761.1379,AS4766 Korea Telecom,KIXS-AS-KR,Suwon,Asia,AS,South Korea,KR,,False,Korea Telecom,37.2872,127.0116,False,Kornet,False,Gyeonggi-do,success,Asia/Seoul,164,1776100514,1776442594.5044,1080,socks4,222.98.9.205:1080,True,1742.4416542053,195,764,20.333680917623,222.98.9.205
True,1776440893.4309,anonymous,2894.2621045946,1764060505.4494,AS4766 Korea Telecom,KIXS-AS-KR,Seongnam-si,Asia,AS,South Korea,KR,Buljeong-ro,False,Korea Telecom,37.3654,127.122,False,Kornet,True,Gyeonggi-do,success,Asia/Seoul,13606,1776158041,1776442593.6703,8091,http,183.110.216.159:8091,False,747.52974510193,112913,133549,45.813553407828,183.110.216.159
True,1776442575.0134,elite,6203.2828478144,1776086395.2491,AS17995 PT iForte Global Internet,SOLUSINET-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,False,PT iForte Global Internet,-6.2208,106.8403,False,,True,Jakarta,success,Asia/Jakarta,12850,1776083689,1776442593.106,1080,socks4,103.182.240.75:1080,True,1884.2098712921,5363,1153,82.305095150399,103.182.240.75
True,1776442592.9646,elite,17173.219070435,1776314583.6556,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Seoul,Asia,AS,South Korea,KR,,True,"Alibaba (US) Technology Co., Ltd.",37.5658,126.978,False,Alibaba.com Singapore E-Commerce Private Limited,True,Seoul,success,Asia/Seoul,04524,1776310241,1776442592.9646,2080,socks5,8.213.128.6:2080,True,2067.075252533,25,87,22.321428571429,8.213.128.6
True,1776436329.4298,elite,1310.7642209255,1750610002.7643,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Seoul,Asia,AS,South Korea,KR,,True,"Alibaba (US) Technology Co., Ltd.",37.5658,126.978,False,Alibaba.com Singapore E-Commerce Private Limited,True,Seoul,success,Asia/Seoul,04524,1776155894,1776442592.9631,3128,http,8.213.151.128:3128,False,665.17233848572,299766,38099,88.723602622349,8.213.151.128
True,1776442592.4667,elite,5360.3185207048,1740827185.2526,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Manila,Asia,AS,Philippines,PH,,True,"Alibaba (US) Technology Co., Ltd.",14.5971,120.9798,False,Alibaba.com Singapore E-Commerce Private Limited,True,Metro Manila,success,Asia/Manila,1003,1776366645,1776442592.4667,9002,http,8.220.136.174:9002,False,2393.3053016663,2484,331758,0.74317410738327,8.220.136.174
True,1776442508.2398,elite,14840.930243333,1776399305.9386,"AS3356 Level 3 Parent, LLC",LEVEL3,Monroe,North America,,United States,US,,False,"Level 3 Communications, Inc.",32.5891,-92.0664,False,"Level 3, LLC",False,Louisiana,success,America/Chicago,71203,1776396268,1776442592.426,21811,socks4,8.55.30.247:21811,True,3945.0888633728,12,87,12.121212121212,8.55.30.247
