fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,labanquepostale.fr,185.16.252.161,,rpi0i692.laposte.fr,ns2.laposte.net
addition,labanquepostale0.fr,,,,
addition,labanquepostale1.fr,,,,
addition,labanquepostale2.fr,,,,
addition,labanquepostale3.fr,,,,
addition,labanquepostale4.fr,,,,
addition,labanquepostale5.fr,,,,
addition,labanquepostale6.fr,,,,
addition,labanquepostale7.fr,,,,
addition,labanquepostale8.fr,,,,
addition,labanquepostale9.fr,,,,
addition,labanquepostalea.fr,,,,
addition,labanquepostaleb.fr,,,,
addition,labanquepostalec.fr,,,,
addition,labanquepostaled.fr,,,,
addition,labanquepostalee.fr,,,,
addition,labanquepostalef.fr,,,,
addition,labanquepostaleg.fr,,,,
addition,labanquepostaleh.fr,,,,
addition,labanquepostalei.fr,,,,
addition,labanquepostalej.fr,,,,
addition,labanquepostalek.fr,,,,
addition,labanquepostalel.fr,,,,
addition,labanquepostalem.fr,,,,
addition,labanquepostalen.fr,,,,
addition,labanquepostaleo.fr,,,,
addition,labanquepostalep.fr,,,,
addition,labanquepostaleq.fr,,,,
addition,labanquepostaler.fr,,,,
addition,labanquepostales.fr,,,,ns1.unknown-nameservers.com
addition,labanquepostalet.fr,,,,
addition,labanquepostaleu.fr,,,,
addition,labanquepostalev.fr,,,,
addition,labanquepostalew.fr,,,,
addition,labanquepostalex.fr,,,,
addition,labanquepostaley.fr,,,,
addition,labanquepostalez.fr,,,,
bitsquatting,dabanquepostale.fr,,,,
bitsquatting,habanquepostale.fr,,,,
bitsquatting,labafquepostale.fr,,,,
bitsquatting,labajquepostale.fr,,,,
bitsquatting,labalquepostale.fr,,,,
bitsquatting,laban1uepostale.fr,,,,
bitsquatting,labanauepostale.fr,,,,
bitsquatting,labanpuepostale.fr,,,,
bitsquatting,labanq5epostale.fr,,,,
bitsquatting,labanqeepostale.fr,,,,
bitsquatting,labanqqepostale.fr,,,,
bitsquatting,labanqtepostale.fr,,,,
bitsquatting,labanquapostale.fr,,,,
bitsquatting,labanqudpostale.fr,,,,
bitsquatting,labanque0ostale.fr,,,,
bitsquatting,labanquepgstale.fr,,,,
bitsquatting,labanquepkstale.fr,,,,
bitsquatting,labanquepmstale.fr,,,,
bitsquatting,labanquepnstale.fr,,,,
bitsquatting,labanquepo3tale.fr,,,,
bitsquatting,labanquepoctale.fr,,,,
bitsquatting,labanquepoqtale.fr,,,,
bitsquatting,labanqueportale.fr,,,,
bitsquatting,labanquepos4ale.fr,,,,
bitsquatting,labanqueposdale.fr,,,,
bitsquatting,labanquepospale.fr,,,,
bitsquatting,labanquepostade.fr,,,,
bitsquatting,labanquepostahe.fr,,,,
bitsquatting,labanquepostala.fr,,,,
bitsquatting,labanquepostald.fr,,,,
bitsquatting,labanquepostalg.fr,,,,
bitsquatting,labanquepostalm.fr,,,,
bitsquatting,labanquepostalu.fr,,,,
bitsquatting,labanquepostame.fr,,,,
bitsquatting,labanquepostane.fr,,,,
bitsquatting,labanquepostcle.fr,,,,
bitsquatting,labanquepostele.fr,,,,
bitsquatting,labanquepostile.fr,,,,
bitsquatting,labanquepostqle.fr,,,,
bitsquatting,labanqueposuale.fr,,,,
bitsquatting,labanqueposvale.fr,,,,
bitsquatting,labanquepowtale.fr,,,,
bitsquatting,labanqueqostale.fr,,,,
bitsquatting,labanquerostale.fr,,,,
bitsquatting,labanquetostale.fr,,,,
bitsquatting,labanquexostale.fr,,,,
bitsquatting,labanqugpostale.fr,,,,
bitsquatting,labanqumpostale.fr,,,,
bitsquatting,labanquupostale.fr,,,,
bitsquatting,labanqwepostale.fr,,,,
bitsquatting,labansuepostale.fr,,,,
bitsquatting,labanuuepostale.fr,,,,
bitsquatting,labanyuepostale.fr,,,,
bitsquatting,labaoquepostale.fr,,,,
bitsquatting,labcnquepostale.fr,,,,
bitsquatting,labenquepostale.fr,,,,
bitsquatting,labinquepostale.fr,,,,
bitsquatting,labqnquepostale.fr,,,,
bitsquatting,lacanquepostale.fr,,,,
bitsquatting,lafanquepostale.fr,,,,
bitsquatting,lajanquepostale.fr,,,,
bitsquatting,laranquepostale.fr,,,,
bitsquatting,lcbanquepostale.fr,,,,
bitsquatting,lebanquepostale.fr,,,,
bitsquatting,libanquepostale.fr,,,,
bitsquatting,lqbanquepostale.fr,,,,
bitsquatting,mabanquepostale.fr,,,,
bitsquatting,nabanquepostale.fr,,,,
homoglyph,1abamquepostale.fr,,,,
homoglyph,1abanguepostale.fr,,,,
homoglyph,1abanqucpostale.fr,,,,
homoglyph,1abanquep0stale.fr,,,,
homoglyph,1abanqueposta1e.fr,,,,
homoglyph,1abanquepostaie.fr,,,,
homoglyph,1abanquepostalc.fr,,,,
homoglyph,1abanquepostale.fr,,,,
homoglyph,1abanqvepostale.fr,,,,
homoglyph,1abarquepostale.fr,,,,
homoglyph,1adanquepostale.fr,,,,
homoglyph,1albanquepostale.fr,,,,
homoglyph,iabamquepostale.fr,,,,
homoglyph,iabanguepostale.fr,,,,
homoglyph,iabanqucpostale.fr,,,,
homoglyph,iabanquep0stale.fr,,,,
homoglyph,iabanqueposta1e.fr,,,,
homoglyph,iabanquepostaie.fr,195.110.124.154,,,suspended1.plaindns.net
homoglyph,iabanquepostalc.fr,,,,
homoglyph,iabanquepostale.fr,,,,
homoglyph,iabanqvepostale.fr,,,,
homoglyph,iabarquepostale.fr,,,,
homoglyph,iadanquepostale.fr,,,,
homoglyph,ialbanquepostale.fr,,,,
homoglyph,la1banquepostale.fr,,,,
homoglyph,labamguepostale.fr,,,,
homoglyph,labamqucpostale.fr,,,,
homoglyph,labamquep0stale.fr,,,,
homoglyph,labamqueposta1e.fr,,,,
homoglyph,labamquepostaie.fr,,,,
homoglyph,labamquepostalc.fr,,,,
homoglyph,labamquepostale.fr,,,,
homoglyph,labamqvepostale.fr,,,,
homoglyph,labangucpostale.fr,,,,
homoglyph,labanguep0stale.fr,,,,
homoglyph,labangueposta1e.fr,,,,
homoglyph,labanguepostaie.fr,,,,
homoglyph,labanguepostalc.fr,,,,
homoglyph,labanguepostale.fr,,,,
homoglyph,labangvepostale.fr,,,,
homoglyph,labannquepostale.fr,,,,
homoglyph,labanqucp0stale.fr,,,,
homoglyph,labanqucposta1e.fr,,,,
homoglyph,labanqucpostaie.fr,,,,
homoglyph,labanqucpostalc.fr,,,,
homoglyph,labanqucpostale.fr,,,,
homoglyph,labanquep0sta1e.fr,,,,
homoglyph,labanquep0staie.fr,,,,
homoglyph,labanquep0stalc.fr,,,,
homoglyph,labanquep0stale.fr,,,mx3.nameshield.com,ns2.observatoiredesmarques.fr
homoglyph,labanqueposta1c.fr,,,,
homoglyph,labanqueposta1e.fr,,,,
homoglyph,labanquepostaic.fr,,,,
homoglyph,labanquepostaie.fr,,,,
homoglyph,labanquepostalc.fr,,,,
homoglyph,labanqvcpostale.fr,,,,
homoglyph,labanqvep0stale.fr,,,,
homoglyph,labanqveposta1e.fr,,,,
homoglyph,labanqvepostaie.fr,,,,
homoglyph,labanqvepostalc.fr,,,,
homoglyph,labanqvepostale.fr,,,,
homoglyph,labarguepostale.fr,,,,
homoglyph,labarnquepostale.fr,,,,
homoglyph,labarqucpostale.fr,,,,
homoglyph,labarquep0stale.fr,,,,
homoglyph,labarqueposta1e.fr,,,,
homoglyph,labarquepostaie.fr,,,,
homoglyph,labarquepostalc.fr,,,,
homoglyph,labarquepostale.fr,,,,
homoglyph,labarqvepostale.fr,,,,
homoglyph,laclanquepostale.fr,,,,
homoglyph,ladamquepostale.fr,,,,
homoglyph,ladanguepostale.fr,,,,
homoglyph,ladanqucpostale.fr,,,,
homoglyph,ladanquep0stale.fr,,,,
homoglyph,ladanqueposta1e.fr,,,,
homoglyph,ladanquepostaie.fr,,,,
homoglyph,ladanquepostalc.fr,,,,
homoglyph,ladanquepostale.fr,,,,
homoglyph,ladanqvepostale.fr,,,,
homoglyph,ladarquepostale.fr,,,,
homoglyph,ladlanquepostale.fr,,,,
homoglyph,laibanquepostale.fr,,,,
homoglyph,lalbamquepostale.fr,,,,
homoglyph,lalbanguepostale.fr,,,,
homoglyph,lalbanqucpostale.fr,,,,
homoglyph,lalbanquep0stale.fr,,,,
