fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,service-public.fr,160.92.168.33,,relay1-c.dila.fr,ns1.dila.fr
addition,service-public0.fr,,,,
addition,service-public1.fr,,,,
addition,service-public2.fr,,,,
addition,service-public3.fr,,,,
addition,service-public4.fr,,,,
addition,service-public5.fr,,,,
addition,service-public6.fr,,,,
addition,service-public7.fr,,,,
addition,service-public8.fr,,,,
addition,service-public9.fr,,,,
addition,service-publica.fr,,,,
addition,service-publicb.fr,,,,
addition,service-publicc.fr,,,,
addition,service-publicd.fr,,,,
addition,service-publice.fr,,,,
addition,service-publicf.fr,,,,
addition,service-publicg.fr,,,,
addition,service-publich.fr,,,,
addition,service-publici.fr,,,,
addition,service-publicj.fr,,,,
addition,service-publick.fr,,,,
addition,service-publicl.fr,,,,
addition,service-publicm.fr,,,,
addition,service-publicn.fr,,,,
addition,service-publico.fr,,,,
addition,service-publicp.fr,,,,
addition,service-publicq.fr,,,,
addition,service-publicr.fr,,,,
addition,service-publics.fr,104.247.81.99,!ServFail,mail.h-email.net,ns1.parkingcrew.net
addition,service-publict.fr,,,,
addition,service-publicu.fr,,,,
addition,service-publicv.fr,,,,
addition,service-publicw.fr,,,,
addition,service-publicx.fr,,,,
addition,service-publicy.fr,,,,
addition,service-publicz.fr,,,,
addition,service0-public.fr,,,,
addition,service1-public.fr,,,,
addition,service2-public.fr,,,,
addition,service3-public.fr,,,,
addition,service4-public.fr,,,,
addition,service5-public.fr,,,,
addition,service6-public.fr,,,,
addition,service7-public.fr,,,,
addition,service8-public.fr,,,,
addition,service9-public.fr,,,,
addition,servicea-public.fr,,,,
addition,serviceb-public.fr,,,,
addition,servicec-public.fr,,,,
addition,serviced-public.fr,,,,
addition,servicee-public.fr,,,,
addition,servicef-public.fr,,,,
addition,serviceg-public.fr,,,,
addition,serviceh-public.fr,,,,
addition,servicei-public.fr,,,,
addition,servicej-public.fr,,,,
addition,servicek-public.fr,,,,
addition,servicel-public.fr,,,,
addition,servicem-public.fr,,,,
addition,servicen-public.fr,,,,
addition,serviceo-public.fr,,,,
addition,servicep-public.fr,,,,
addition,serviceq-public.fr,,,,
addition,servicer-public.fr,,,,
addition,services-public.fr,217.70.184.38,,fb.mail.gandi.net,a.dns.gandi.net
addition,servicet-public.fr,,,,
addition,serviceu-public.fr,,,,
addition,servicev-public.fr,,,,
addition,servicew-public.fr,,,,
addition,servicex-public.fr,,,,
addition,servicey-public.fr,,,,
addition,servicez-public.fr,,,,
bitsquatting,3ervice-public.fr,,,,
bitsquatting,cervice-public.fr,,,,
bitsquatting,qervice-public.fr,,,,
bitsquatting,rervice-public.fr,,,,
bitsquatting,sarvice-public.fr,,,,
bitsquatting,sdrvice-public.fr,,,,
bitsquatting,se2vice-public.fr,,,,
bitsquatting,sebvice-public.fr,,,,
bitsquatting,sepvice-public.fr,,,,
bitsquatting,ser6ice-public.fr,,,,
bitsquatting,serfice-public.fr,,,,
bitsquatting,serrice-public.fr,,,,
bitsquatting,sertice-public.fr,,,,
bitsquatting,servace-public.fr,,,,
bitsquatting,servhce-public.fr,,,,
bitsquatting,serviae-public.fr,,,,
bitsquatting,servibe-public.fr,,,,
bitsquatting,servica-public.fr,,,,
bitsquatting,servicd-public.fr,,,,
bitsquatting,service-0ublic.fr,,,,
bitsquatting,service-p5blic.fr,,,,
bitsquatting,service-peblic.fr,,,,
bitsquatting,service-pqblic.fr,,,,
