keyword,metadata_keyword_regex,metadata_keyword_type,metadata_tool,metadata_description,metadata_tool_techniques,metadata_tool_tactics,metadata_malwares_name,metadata_groups_name,metadata_category,metadata_link,metadata_enable_endpoint_detection,metadata_enable_proxy_detection,metadata_tags,metadata_comment,metadata_severity_score,metadata_popularity_score,metadata_github_stars,metadata_github_forks,metadata_github_updated_at,metadata_github_created_at,metadata_entry_id
*as-tk.aweray.com*,".{0,1000}as\-tk\.aweray\.com.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,34161
*Aweray_Remote.exe*,".{0,1000}Aweray_Remote\.exe.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,34370
*awerayimg.com*,".{0,1000}awerayimg\.com.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,34371
*client-api.aweray.com*,".{0,1000}client\-api\.aweray\.com.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,38333
*/Aweray_Remote_*.exe*,".{0,1000}\/Aweray_Remote_.{0,1000}\.exe.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,5505
*https://sun.aweray.com/*/download*,".{0,1000}https\:\/\/sun\.aweray\.com\/.{0,1000}\/download.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,47943
*\AweSun.exe*,".{0,1000}\\AweSun\.exe.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,14179
*>AweRay Limited<*,".{0,1000}\>AweRay\sLimited\<.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,20336
*\Aweray_Remote_*.zip*,".{0,1000}\\Aweray_Remote_.{0,1000}\.zip.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,14178
*>AweRay Pte. Ltd.<*,".{0,1000}\>AweRay\sPte\.\sLtd\.\<.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,20337
*\Aweray_Remote_*.exe*,".{0,1000}\\Aweray_Remote_.{0,1000}\.exe.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,14177
*\Aweray Remote.lnk*,".{0,1000}\\Aweray\sRemote\.lnk.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,14176
*>AweSun.exe<*,".{0,1000}\>AweSun\.exe\<.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,20338
*.aweray.net*,".{0,1000}\.aweray\.net.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,4252
*>AweSun<*,".{0,1000}\>AweSun\<.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,20339
*install.bat AweSun*,".{0,1000}install\.bat\sAweSun.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,48635
*\Program Files\Aweray*,".{0,1000}\\Program\sFiles\\Aweray.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,17513
*/Aweray_Remote_*.zip*,".{0,1000}\/Aweray_Remote_.{0,1000}\.zip.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,5506
"*netsh  advfirewall firewall * rule name=""AweSun*",".{0,1000}netsh\s\sadvfirewall\sfirewall\s.{0,1000}\srule\sname\=\""AweSun.{0,1000}",greyware_tool_keyword,aweray,all-in-one secure remote access control and support solution,T1021 - T1071 - T1090,TA0003 - TA0008 - TA0011,N/A,N/A,RMM,sun.aweray.com,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,53182
