keyword,metadata_keyword_regex,metadata_keyword_type,metadata_tool,metadata_description,metadata_tool_techniques,metadata_tool_tactics,metadata_malwares_name,metadata_groups_name,metadata_category,metadata_link,metadata_enable_endpoint_detection,metadata_enable_proxy_detection,metadata_tags,metadata_comment,metadata_severity_score,metadata_popularity_score,metadata_github_stars,metadata_github_forks,metadata_github_updated_at,metadata_github_created_at
*https://*.tacticalrmm.com/*,".{0,1000}https\:\/\/.{0,1000}\.tacticalrmm\.com\/.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,1,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*systemctl * rmm.service*,".{0,1000}systemctl\s.{0,1000}\srmm\.service.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,0,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*RMM.WebRemote.exe*,".{0,1000}RMM\.WebRemote\.exe.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,1,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*net stop tacticalrmm*,".{0,1000}net\sstop\stacticalrmm.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,0,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*\tacticalagent-v*-linux-arm.exe*,".{0,1000}\\tacticalagent\-v.{0,1000}\-linux\-arm\.exe.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,0,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*/amidaware/rmmagent/releases/download/*,".{0,1000}\/amidaware\/rmmagent\/releases\/download\/.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,1,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*Tactical RMM Agent*,".{0,1000}Tactical\sRMM\sAgent.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,0,N/A,registry,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*tacticalrmm.utils*,".{0,1000}tacticalrmm\.utils.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,0,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*tacticalrmm-develop*,".{0,1000}tacticalrmm\-develop.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,1,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
*\tacticalrmm\*,".{0,1000}\\tacticalrmm\\.{0,1000}",greyware_tool_keyword,tacticalrmm,A remote monitoring & management tool,T1021.001 - T1219 - T1076 - T1563.002,TA0008 - TA0009 - TA0010 - TA0011,N/A,N/A,RMM,https://github.com/amidaware/tacticalrmm,1,0,N/A,N/A,10,10,2995,426,2024-08-01T05:38:17Z,2019-10-22T22:19:12Z
