keyword,metadata_keyword_regex,metadata_keyword_type,metadata_tool,metadata_description,metadata_tool_techniques,metadata_tool_tactics,metadata_malwares_name,metadata_groups_name,metadata_category,metadata_link,metadata_enable_endpoint_detection,metadata_enable_proxy_detection,metadata_tags,metadata_comment,metadata_severity_score,metadata_popularity_score,metadata_github_stars,metadata_github_forks,metadata_github_updated_at,metadata_github_created_at,metadata_entry_id
*https://portal.xeox.com/*,".{0,1000}https\:\/\/portal\.xeox\.com\/.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,47871
*ProgramFiles\xeox\*,".{0,1000}ProgramFiles\\xeox\\.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,55601
*ProgramFiles(x86)\xeox\*,".{0,1000}ProgramFiles\(x86\)\\xeox\\.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,55600
*xeox-agent_x64.exe*,".{0,1000}xeox\-agent_x64\.exe.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,63215
*echo Installing XEOX Agent*,".{0,1000}echo\sInstalling\sXEOX\sAgent.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,42722
*ui/rest/download/xeoxagentgeneric/*,".{0,1000}ui\/rest\/download\/xeoxagentgeneric\/.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,1,N/A,N/A,10,10,N/A,N/A,N/A,N/A,61804
*\Temp\XEOX*,".{0,1000}\\Temp\\XEOX.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,19310
*\XEOX\Agent Watchdog on Boot*,".{0,1000}\\XEOX\\Agent\sWatchdog\son\sBoot.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,#scheduledtask,N/A,10,10,N/A,N/A,N/A,N/A,19900
*\XEOX\Agent Watchdog on Wakeup*,".{0,1000}\\XEOX\\Agent\sWatchdog\son\sWakeup.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,#scheduledtask,N/A,10,10,N/A,N/A,N/A,N/A,19901
*\XEOX_cloud_agent_install.bat*,".{0,1000}\\XEOX_cloud_agent_install\.bat.{0,1000}",greyware_tool_keyword,xeox,Easily access and manage Windows devices remotely within XEOX - RMM abused by threat actors,T1021 - T1078 - T1219 - T1105 - T1046,TA0011 - TA0010 - TA0003 - TA0005,N/A,Dispossessor,RMM,https://xeox.com/remote-access/,1,0,N/A,N/A,10,10,N/A,N/A,N/A,N/A,19903
