src_ip,service,scope,metadata_reference
8.34.208.0/23,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
8.34.210.0/24,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
8.34.211.0/24,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
8.34.212.0/22,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
8.34.216.0/22,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
8.34.220.0/22,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
8.35.192.0/21,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
8.228.0.0/19,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
8.228.32.0/19,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
8.228.64.0/18,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
8.228.128.0/18,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
23.236.48.0/20,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
23.251.128.0/20,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
23.251.144.0/20,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.0.0.0/20,Google Cloud,asia-south2,https://www.gstatic.com/ipranges/cloud.json
34.0.16.0/20,Google Cloud,australia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.0.32.0/20,Google Cloud,northamerica-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.0.48.0/20,Google Cloud,southamerica-west1,https://www.gstatic.com/ipranges/cloud.json
34.0.64.0/19,Google Cloud,me-west1,https://www.gstatic.com/ipranges/cloud.json
34.0.96.0/19,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.0.128.0/19,Google Cloud,us-south1,https://www.gstatic.com/ipranges/cloud.json
34.0.160.0/19,Google Cloud,europe-west8,https://www.gstatic.com/ipranges/cloud.json
34.0.192.0/19,Google Cloud,europe-southwest1,https://www.gstatic.com/ipranges/cloud.json
34.0.224.0/24,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.0.225.0/24,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.0.226.0/24,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.0.227.0/24,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.0.240.0/20,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.1.0.0/20,Google Cloud,europe-west9,https://www.gstatic.com/ipranges/cloud.json
34.1.16.0/20,Google Cloud,us-east5,https://www.gstatic.com/ipranges/cloud.json
34.1.32.0/20,Google Cloud,me-central1,https://www.gstatic.com/ipranges/cloud.json
34.1.48.0/20,Google Cloud,me-central2,https://www.gstatic.com/ipranges/cloud.json
34.1.128.0/20,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.1.144.0/20,Google Cloud,europe-west12,https://www.gstatic.com/ipranges/cloud.json
34.1.160.0/20,Google Cloud,europe-west10,https://www.gstatic.com/ipranges/cloud.json
34.1.176.0/20,Google Cloud,australia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.1.192.0/20,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.1.208.0/20,Google Cloud,africa-south1,https://www.gstatic.com/ipranges/cloud.json
34.1.224.0/19,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.2.0.0/20,Google Cloud,northamerica-south1,https://www.gstatic.com/ipranges/cloud.json
34.2.16.0/20,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.2.32.0/20,Google Cloud,us-west8,https://www.gstatic.com/ipranges/cloud.json
34.2.48.0/20,Google Cloud,europe-north2,https://www.gstatic.com/ipranges/cloud.json
34.2.76.0/23,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.2.96.0/20,Google Cloud,europe-west15,https://www.gstatic.com/ipranges/cloud.json
34.2.128.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.3.2.0/27,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.3.32.0/20,Google Cloud,asia-southeast3,https://www.gstatic.com/ipranges/cloud.json
34.3.76.0/22,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.3.80.0/20,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.3.96.0/20,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.4.16.0/22,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.4.24.0/22,Google Cloud,asia-south2,https://www.gstatic.com/ipranges/cloud.json
34.4.28.0/22,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.4.32.0/20,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.4.48.0/20,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.4.64.0/20,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.4.80.0/20,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.4.96.0/22,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.4.128.0/18,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.6.0.0/15,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.8.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.9.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.10.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.11.0.0/17,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.11.128.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.12.0.0/16,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.13.0.0/18,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.13.68.0/22,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.13.72.0/21,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.13.112.0/20,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.13.128.0/17,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.14.0.0/17,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.14.128.0/18,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.14.192.0/19,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.15.0.0/17,Google Cloud,europe-west15,https://www.gstatic.com/ipranges/cloud.json
34.15.128.0/17,Google Cloud,asia-southeast3,https://www.gstatic.com/ipranges/cloud.json
34.16.0.0/17,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.16.128.0/17,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.17.0.0/16,Google Cloud,europe-west12,https://www.gstatic.com/ipranges/cloud.json
34.18.0.0/16,Google Cloud,me-central1,https://www.gstatic.com/ipranges/cloud.json
34.19.0.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.19.128.0/17,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.20.0.0/17,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.20.128.0/17,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.21.0.0/17,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.21.128.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.22.0.0/19,Google Cloud,us-central2,https://www.gstatic.com/ipranges/cloud.json
34.22.32.0/19,Google Cloud,us-west3,https://www.gstatic.com/ipranges/cloud.json
34.22.64.0/19,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.22.96.0/20,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.22.112.0/20,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.22.128.0/17,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.23.0.0/16,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.24.0.0/15,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.26.0.0/16,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.27.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.28.0.0/14,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.32.0.0/17,Google Cloud,europe-west10,https://www.gstatic.com/ipranges/cloud.json
