src_ip,metadata_reference
3.64.118.208/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
3.75.125.128/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
3.76.233.226/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
3.127.11.54/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
18.153.164.184/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
18.158.109.52/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
18.184.72.235/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
18.198.133.200/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
35.83.131.170/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
35.161.89.114/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
35.162.178.46/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
35.163.105.95/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
44.224.13.10/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
44.231.207.147/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
44.239.165.162/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
52.25.45.243/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
52.28.29.48/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
54.184.247.227/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
54.188.183.19/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
54.189.40.226/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
54.212.233.107/32,https://docs.gitguardian.com/internal-monitoring/integrate-sources/monitored-perimeter#allowing-incoming-connections-from-gitguardians-ip-addresses
