dest_ip,metadata_comment
23.215.130.0/23,AS20940 IPv4
23.52.2.0/24,AS20940 IPv4
104.116.16.0/22,AS16625 IPv4
184.27.47.0/24,AS35994 IPv4
2606:6c00:20e::/48,AS32787 IPv6
2a02:26f7:ce88::/48,AS36183
104.110.248.0/22,AS20940
23.32.236.0/24,AS24319 IPv4
2001:4878:4031::/48,AS12222 IPv6
2a02:26f7:c1c4::/48,AS36183
2a02:26f7:b203::/48,AS36183 IPv6
2a02:26f7:fb04::/48,AS36183
23.222.239.0/24,AS20940 IPv4
184.24.240.0/20,AS16625 IPv4
2a02:26f7:b079::/48,AS36183
172.225.186.0/24,AS36183 IPv4
104.71.128.0/23,AS20940 IPv4
2.23.185.0/24,AS20940 IPv4
95.100.86.0/24,AS20940 IPv4
2600:140b:c00::/48,AS31109 IPv6
23.44.230.0/24,AS20940 IPv4
23.202.184.0/22,AS16625 IPv4
2.21.0.0/24,AS20940 IPv4
2a02:26f7:b283::/48,AS36183 IPv6
2a0b:35c3::/32,AS200005
23.206.112.0/22,AS16625 IPv4
104.87.84.0/22,AS16625 IPv4
2a02:26f7:d4::/48,AS36183
23.38.64.0/22,AS20940 IPv4
2.19.51.0/24,AS20940
96.17.179.0/24,AS20940 IPv4
2a02:26f7:d088::/48,AS36183 IPv6
23.33.140.0/24,AS20940 IPv4
2600:1418:1000::/48,AS20940 IPv6
2a02:26f7:da84::/48,AS36183
184.28.176.0/24,AS20940
2001:4878:2347::/48,AS12222 IPv6
2a02:26f7:e88c::/48,AS20940
2a02:26f7:d8c6::/48,AS36183
84.53.156.0/22,AS16625
2a02:26f7:117::/48,AS20940
172.224.185.0/24,AS36183 IPv4
23.217.130.0/23,AS16625 IPv4
104.94.220.0/24,AS33905 IPv4
2a02:26f7:bfcc::/48,AS20940
2.23.8.0/22,AS16625
2.16.237.0/24,AS20940
184.87.192.0/24,AS24319 IPv4
96.7.160.0/22,AS16625 IPv4
2.16.206.0/24,AS20940
95.100.98.0/24,AS20940 IPv4
2a02:26f7:c644::/48,AS36183 IPv6
23.43.104.0/22,AS20940 IPv4
2600:1480:5801::/48,AS21342
2a02:26f7:c040::/48,AS36183
23.218.95.0/24,AS20940 IPv4
2404:4e00:104::/48,AS32787
162.216.16.0/22,AS63949 IPv4
95.100.40.0/22,AS16625
104.76.22.0/23,AS16625 IPv4
88.221.248.0/22,AS16625
2a02:26f7:ee08::/48,AS36183 IPv6
2a02:26f7:e8::/48,AS36183
2606:6c00:4::/48,AS32787 IPv6
2.16.184.0/23,AS16625 IPv4
2a02:26f0:7400::/48,AS20940 IPv6
2a02:26f7:d15c::/48,AS36183 IPv6
2.19.161.0/24,AS20940 IPv4
2a02:26f7:f244::/48,AS36183
23.203.249.0/24,AS20940 IPv4
2600:1410:6000::/48,AS20940 IPv6
2600:140b:7000::/48,AS20940 IPv6
2600:1408:5000::/48,AS20940
172.224.9.0/24,AS36183 IPv4
96.7.245.0/24,AS20940 IPv4
23.39.164.0/24,AS35994 IPv4
