dest_ip,metadata_comment
143.244.176.0/20,AS14061
152.42.148.0/22,AS14061 IPv4
157.230.96.0/20,AS14061
24.144.64.0/22,AS14061
207.154.240.0/20,AS14061
69.55.60.0/22,AS14061 IPv4
45.55.64.0/19,AS14061 IPv4
144.126.244.0/22,AS14061 IPv4
167.99.96.0/20,AS14061 IPv4
165.22.0.0/20,AS14061 IPv4
159.89.212.0/22,AS14061
64.227.96.0/20,AS14061
139.59.204.0/22,AS14061
138.68.112.0/22,AS14061 IPv4
134.122.80.0/20,AS14061
138.197.64.0/20,AS62567 IPv4
146.190.204.0/22,AS14061 IPv4
46.101.128.0/17,AS14061
95.85.0.0/18,AS14061
159.65.212.0/22,AS14061
144.126.224.0/20,AS14061
198.199.124.0/22,AS14061
104.236.128.0/18,AS14061
157.230.196.0/22,AS14061 IPv4
143.198.192.0/20,AS14061
138.68.240.0/20,AS14061 IPv4
24.199.64.0/22,AS14061
134.199.140.0/22,AS14061
159.89.244.0/22,AS62567 IPv4
146.190.224.0/20,AS14061
206.189.0.0/16,ASN not found
138.197.32.0/20,AS62567 IPv4
159.89.59.0/24,AS14061
67.205.128.0/20,AS62567 IPv4
198.211.96.0/20,AS14061 IPv4
134.209.32.0/20,AS14061 IPv4
167.71.160.0/20,AS14061 IPv4
45.55.116.0/22,AS62567 IPv4
159.203.176.0/20,AS14061 IPv4
64.225.80.0/22,AS14061
209.38.164.0/22,AS14061 IPv4
68.183.240.0/22,AS14061
167.99.16.0/22,AS14061 IPv4
67.205.160.0/20,AS14061 IPv4
159.89.32.0/20,AS62567 IPv4
164.90.192.0/20,AS14061 IPv4
209.38.8.0/21,AS14061 IPv4
165.22.160.0/20,AS14061 IPv4
188.166.192.0/22,AS14061 IPv4
188.166.0.0/18,AS14061 IPv4
188.166.240.0/20,AS14061
165.227.192.0/20,AS14061 IPv4
209.38.64.0/20,AS14061 IPv4
209.38.176.0/20,AS14061 IPv4
143.244.200.0/22,AS14061
138.68.160.0/20,AS14061 IPv4
143.198.0.0/20,AS14061
159.203.160.0/20,AS62567 IPv4
206.189.160.0/20,AS14061 IPv4
139.59.216.0/22,AS14061
157.230.16.0/20,AS14061 IPv4
134.209.112.0/20,AS14061 IPv4
64.225.112.0/20,AS14061
157.230.48.0/20,AS14061 IPv4
104.131.192.0/19,AS14061
161.35.96.0/20,AS14061 IPv4
159.223.160.0/19,AS14061
129.212.168.0/22,AS14061 IPv4
143.110.128.0/20,AS14061
159.203.128.0/20,AS14061 IPv4
64.227.176.0/20,AS14061 IPv4
198.199.96.0/20,AS14061 IPv4
192.241.240.0/20,AS14061 IPv4
138.68.16.0/20,AS14061 IPv4
165.227.80.0/20,AS62567 IPv4
24.144.76.0/22,AS14061
174.138.108.0/22,AS62567 IPv4
24.199.68.0/22,AS14061 IPv4
164.92.192.0/20,AS14061 IPv4
138.68.34.0/24,AS14061 IPv4
178.62.64.0/18,AS14061 IPv4
134.209.16.0/20,AS14061
165.227.64.0/20,AS62567 IPv4
2604:a880:1::/48,AS14061 IPv6
147.182.240.0/20,AS14061 IPv4
198.211.116.0/23,AS62567 IPv4
159.65.176.0/20,AS14061 IPv4
209.38.116.0/22,AS14061 IPv4
