dest_ip,metadata_comment
137.83.157.0/24,AS22616
2a03:eec0:1900::/40,AS62044
2400:7aa0:1f00::/40,AS53813 IPv6
2605:4300:2500::/40,AS22616
147.161.238.0/23,AS62044
2605:4300:1d00::/40,AS22616
209.55.149.0/24,AS22616
165.225.90.0/24,AS62044
199.168.148.0/24,AS53444
147.161.148.0/23,AS62044 IPv4
2a03:eec0:1f00::/40,AS62044
2605:4300:1800::/40,AS22616
137.83.165.0/24,AS22616
2a03:eec0:2b00::/40,AS62044 IPv6
136.226.230.0/23,AS53813 IPv4
2605:4300:ff00::/40,AS62907 IPv6
2605:4300:1a00::/40,AS22616
2605:4300:e200::/40,AS22616
137.83.183.0/24,AS22616
165.225.76.0/24,AS62044
137.83.187.0/24,AS62044 IPv4
165.225.206.0/23,AS62044 IPv4
167.103.32.0/23,AS53813 IPv4
147.161.176.0/23,AS62044 IPv4
72.5.190.0/24,AS40384 IPv4
147.161.214.0/23,AS53813 IPv4
2a03:eec0:1f00::/40,AS62044 IPv6
165.225.198.0/23,AS62044 IPv4
147.161.144.0/23,AS62044 IPv4
165.225.46.0/24,AS22616
128.177.136.0/24,AS22616
167.103.38.0/24,AS53813 IPv4
147.161.172.0/23,AS62044 IPv4
147.161.198.0/23,AS53813
194.9.98.0/23,AS62044 IPv4
147.161.164.0/23,AS62044
2605:4300:e300::/40,AS22616
170.85.42.0/24,AS62044 IPv4
167.103.58.0/23,AS53813 IPv4
167.103.40.0/24,AS53813
137.83.166.0/24,AS22616
137.83.163.0/24,AS62044
209.55.128.0/24,AS62044
165.225.41.0/24,AS22616
170.85.38.0/24,AS22616
165.225.120.0/24,AS53813
136.226.196.0/23,AS62044 IPv4
147.161.232.0/23,AS62044 IPv4
170.85.44.0/24,AS62044
147.161.162.0/24,AS62044 IPv4
209.55.157.0/24,AS53813 IPv4
136.226.42.0/24,AS22616
167.103.56.0/23,AS53813 IPv4
8.35.35.0/24,AS62044 IPv4
137.83.179.0/24,AS62044
165.225.70.0/24,AS62044 IPv4
209.55.140.0/24,AS53813
167.103.24.0/23,AS53813
2605:4300:1e00::/40,AS22616
87.58.64.0/24,AS16509
147.161.226.0/23,AS62044
165.225.104.0/24,AS53813
136.226.161.0/24,AS62044 IPv4
137.83.134.0/24,AS62044 IPv4
2400:7aa0:1800::/40,AS53813 IPv6
147.161.208.0/23,AS53813
137.83.140.0/24,AS62044
165.225.116.0/23,AS53813 IPv4
2a03:eec0:2500::/40,AS62044 IPv6
165.225.114.0/24,AS53813
165.225.192.0/23,AS62044 IPv4
137.83.173.0/24,AS22616
147.161.150.0/23,AS62044
2605:4300:1300::/40,AS22616
167.103.46.0/23,AS53813 IPv4
147.161.218.0/23,AS53813 IPv4
136.226.228.0/23,AS53813 IPv4
147.161.134.0/23,AS62044
137.83.170.0/24,AS22616
137.83.130.0/24,AS62044
170.85.34.0/23,AS62044 IPv4
165.225.112.0/23,AS53813 IPv4
209.55.159.0/24,AS22616
147.161.252.0/23,AS62044
165.225.90.0/23,AS62044 IPv4
209.55.142.0/24,AS22616
137.83.135.0/24,AS62044 IPv4
165.225.107.0/24,AS53813
137.83.162.0/24,AS62044
137.83.156.0/24,AS62044 IPv4
165.225.194.0/23,AS62044 IPv4
137.83.149.0/24,AS53813 IPv4
137.83.137.0/24,AS53813 IPv4
167.103.37.0/24,AS53813
147.161.182.0/23,AS62044 IPv4
209.55.176.0/24,AS62044 IPv4
2605:4300:1600::/40,AS22616
137.83.164.0/24,AS62044 IPv4
209.55.153.0/24,AS62044 IPv4
209.55.154.0/24,AS62044
167.103.26.0/23,AS53813 IPv4
2a03:eec0:2800::/40,AS62044 IPv6
137.83.167.0/24,AS22616
147.161.148.0/23,AS62044
165.225.54.0/24,AS22616
167.103.110.0/24,AS53813 IPv4
167.103.34.0/23,AS53813
167.103.111.0/24,AS53813 IPv4
147.161.176.0/23,AS62044
2a03:eec0:1d00::/40,AS62044
199.168.149.0/24,AS55242 IPv4
137.83.185.0/24,AS53813 IPv4
104.129.205.0/24,AS22616
167.103.86.0/24,AS53813 IPv4
147.161.228.0/23,AS62044 IPv4
147.161.144.0/23,AS62044
165.225.76.0/24,AS62044 IPv4
165.225.118.0/24,AS53813 IPv4
136.226.198.0/23,AS62044 IPv4
170.85.45.0/24,AS62044 IPv4
165.225.48.0/24,AS22616
147.161.234.0/23,AS62044 IPv4
147.161.180.0/23,AS62044 IPv4
194.9.96.0/23,AS62044 IPv4
2605:4300:1500::/40,AS22616
136.226.88.0/24,AS22616
128.177.129.0/24,AS22616
147.161.154.0/23,AS62044
167.103.18.0/23,AS53813
136.226.194.0/23,AS62044 IPv4
147.161.178.0/23,AS62044 IPv4
2a03:eec0:2300::/40,AS62044 IPv6
147.161.236.0/23,AS62044
170.85.42.0/24,AS62044
137.83.178.0/24,AS53813 IPv4
147.161.216.0/23,AS53813
170.85.78.0/23,AS62044 IPv4
137.83.191.0/24,AS22616
137.83.188.0/24,AS53813
165.225.240.0/23,AS62044 IPv4
147.161.232.0/23,AS62044
147.161.162.0/24,AS62044
2a03:eec0:1300::/40,AS62044
209.55.167.0/24,AS53813
209.55.166.0/24,AS53813 IPv4
2400:7aa0:1b00::/40,AS53813
137.83.190.0/24,AS62044 IPv4
2400:7aa0:1600::/40,AS53813 IPv6
2400:7aa0:1500::/40,AS53813
2400:7aa0:1a00::/40,AS53813 IPv6
2605:4300:2400::/40,AS22616
199.168.148.0/24,AS53444 IPv4
2400:7aa0:1300::/40,AS53813 IPv6
8.35.35.0/24,AS62044
170.85.41.0/24,AS22616
165.225.19.0/24,AS22616
136.226.180.0/23,AS62044 IPv4
170.85.28.0/23,AS62044 IPv4
170.85.44.0/24,AS62044 IPv4
209.55.172.0/24,AS62044 IPv4
147.161.194.0/23,AS53813 IPv4
2a03:eec0:2600::/40,AS62044 IPv6
165.225.5.0/24,AS22616
165.225.78.0/24,AS62044 IPv4
136.226.161.0/24,AS62044
2a03:eec0:2d00::/40,AS62044 IPv6
104.129.195.0/24,AS22616
167.103.10.0/23,AS53813
170.85.2.0/23,AS62044 IPv4
137.83.144.0/24,AS53813
167.103.49.0/24,AS53813 IPv4
147.161.244.0/23,AS62044
87.58.65.0/24,AS16509
165.225.106.0/24,AS53813 IPv4
165.225.228.0/23,AS53813 IPv4
2a03:eec0:1c00::/40,AS62044 IPv6
2a03:eec0:1b00::/40,AS62044
147.161.128.0/23,AS22616
136.226.232.0/23,AS53813 IPv4
147.161.168.0/23,AS62044 IPv4
137.83.180.0/24,AS62044
147.161.166.0/23,AS62044 IPv4
185.46.214.0/23,AS62044 IPv4
137.83.175.0/24,AS22616
209.55.133.0/24,AS53813
137.83.148.0/24,AS62044
137.83.135.0/24,AS62044
147.161.134.0/23,AS62044 IPv4
2400:7aa0:1c00::/40,AS53813 IPv6
147.161.146.0/23,AS62044
2400:7aa0:1700::/40,AS53813 IPv6
137.83.130.0/24,AS62044 IPv4
147.161.184.0/23,AS62044 IPv4
137.83.150.0/24,AS53813
147.161.186.0/23,AS62044 IPv4
170.85.43.0/24,AS62044 IPv4
2a03:eec0:1a00::/40,AS62044
2605:4300:5::/48,AS53813 IPv6
209.55.137.0/24,AS53813
147.161.216.0/24,AS53813 IPv4
147.161.182.0/23,AS62044
209.55.153.0/24,AS62044
137.83.164.0/24,AS62044
167.103.87.0/24,AS53813
137.83.147.0/24,AS53813
2a03:eec0:2b00::/40,AS62044
165.225.30.0/24,AS62044 IPv4
167.103.85.0/24,AS53813 IPv4
2400:7aa0:1200::/40,AS53813
209.55.163.0/24,AS22616
8.34.34.0/24,AS62044 IPv4
167.103.48.0/24,AS53813 IPv4
209.55.138.0/24,AS62044 IPv4
165.225.55.0/24,AS22616
147.161.146.0/24,AS62044 IPv4
165.225.75.0/24,AS62044 IPv4
147.161.220.0/23,AS53813 IPv4
147.161.130.0/23,AS62044 IPv4
2605:4300:1400::/40,AS22616
136.226.254.0/24,AS53813
128.177.135.0/24,AS22616
147.161.228.0/23,AS62044
136.226.160.0/24,AS62044 IPv4
136.226.224.0/23,AS53813 IPv4
170.85.45.0/24,AS62044
147.161.200.0/23,AS53813 IPv4
147.161.234.0/23,AS62044
147.161.180.0/23,AS62044
136.226.252.0/23,AS53813 IPv4
165.225.49.0/24,AS22616
136.226.182.0/23,AS62044 IPv4
8.35.35.0/24,AS53444 IPv4
70.39.159.0/24,AS22616
167.103.12.0/23,AS53813 IPv4
209.55.129.0/24,AS53813
2605:4300:1b00::/40,AS22616
2a03:eec0:2400::/40,AS62044 IPv6
147.161.178.0/23,AS62044
2400:7aa0:2200::/40,AS53813
167.103.6.0/23,AS53813
165.225.245.0/24,AS22616
165.225.105.0/24,AS53813 IPv4
199.168.151.0/24,AS32921 IPv4
165.225.76.0/22,AS62044
137.83.168.0/24,AS22616
209.55.170.0/24,AS53813 IPv4
147.161.154.0/23,AS62044 IPv4
136.226.214.0/23,AS62044 IPv4
147.161.236.0/23,AS62044 IPv4
136.226.244.0/23,AS53813 IPv4
165.225.80.0/23,AS62044
167.103.32.0/23,AS53813
167.103.94.0/24,AS16509
165.225.72.0/23,AS62044 IPv4
8.25.203.0/24,AS53444 IPv4
2400:7aa0:1f00::/40,AS53813
137.83.190.0/24,AS62044
147.161.152.0/23,AS62044 IPv4
147.161.190.0/23,AS62044 IPv4
147.161.198.0/23,AS53813 IPv4
147.161.214.0/23,AS53813
165.225.102.0/24,AS53813 IPv4
165.225.28.0/23,AS62044 IPv4
2605:4300:1f00::/40,AS22616
137.83.141.0/24,AS22616
167.103.42.0/23,AS53813
147.161.248.0/23,AS62044 IPv4
137.83.161.0/24,AS22616
209.55.136.0/24,AS53813 IPv4
167.103.40.0/24,AS53813 IPv4
2a03:eec0:1400::/40,AS62044
2605:4300:ff00::/48,AS62907 IPv6
64.215.22.0/24,AS22616
147.161.212.0/23,AS53813
194.9.104.0/23,AS62044 IPv4
147.161.192.0/23,AS53813 IPv4
2a03:eec0:2500::/40,AS62044
170.85.37.0/24,AS22616
167.103.38.0/24,AS53813
165.225.31.0/24,AS62044
137.83.160.0/24,AS53813
165.225.18.0/24,AS22616
209.55.171.0/24,AS62044 IPv4
137.83.176.0/24,AS22616
137.83.151.0/24,AS53813 IPv4
167.103.2.0/23,AS53813 IPv4
170.85.36.0/24,AS22616
2a03:eec0:1400::/40,AS62044 IPv6
137.83.174.0/24,AS22616
167.103.58.0/23,AS53813
2605:4300:2700::/40,AS22616
209.55.155.0/24,AS22616
2a03:eec0:1500::/40,AS62044 IPv6
147.161.142.0/23,AS62044 IPv4
147.161.168.0/23,AS62044
147.161.166.0/23,AS62044
165.225.94.0/23,AS62044 IPv4
185.46.214.0/23,AS62044
165.225.104.0/24,AS53813 IPv4
147.161.244.0/23,AS62044 IPv4
147.161.208.0/23,AS53813 IPv4
137.83.136.0/24,AS22616
137.83.184.0/24,AS53813 IPv4
165.225.106.0/23,AS53813 IPv4
147.161.184.0/23,AS62044
167.103.39.0/24,AS53813
170.85.43.0/24,AS62044
147.161.186.0/23,AS62044
199.168.150.0/24,AS62907 IPv4
137.83.180.0/24,AS62044 IPv4
137.83.148.0/24,AS62044 IPv4
147.161.146.0/23,AS62044 IPv4
2605:4300:fe00::/48,AS62907 IPv6
165.225.202.0/23,AS62044 IPv4
147.161.204.0/23,AS53813 IPv4
136.226.184.0/23,AS62044 IPv4
2a03:eec0:2800::/40,AS62044
136.226.168.0/23,AS62044 IPv4
136.226.190.0/23,AS62044 IPv4
165.225.30.0/24,AS62044
165.225.3.0/24,AS22616
165.225.116.0/23,AS53813
2400:7aa0:1900::/40,AS53813 IPv6
8.34.34.0/24,AS62044
209.55.138.0/24,AS62044
194.9.116.0/24,AS16509
137.83.159.0/24,AS62044 IPv4
209.55.158.0/24,AS22616
165.225.75.0/24,AS62044
147.161.136.0/23,AS62044 IPv4
147.161.130.0/23,AS62044
2400:7aa0:1800::/40,AS53813
137.83.171.0/24,AS22616
2a03:eec0:1800::/40,AS62044 IPv6
136.226.234.0/23,AS53813 IPv4
165.225.82.0/24,AS62044 IPv4
167.103.22.0/23,AS53813 IPv4
2605:4300:1700::/40,AS22616
167.103.95.0/24,AS16509
137.83.158.0/24,AS62044 IPv4
165.225.200.0/23,AS62044 IPv4
2a03:eec0:1e00::/40,AS62044 IPv6
136.226.157.0/24,AS62044 IPv4
136.226.160.0/24,AS62044
165.225.72.0/22,AS62044 IPv4
137.83.145.0/24,AS53813 IPv4
165.225.124.0/23,AS53813 IPv4
137.83.149.0/24,AS53813
147.161.188.0/23,AS62044 IPv4
213.152.228.0/24,AS62044 IPv4
137.83.137.0/24,AS53813
2605:4300:1c00::/40,AS22616
167.103.30.0/23,AS53813
167.103.41.0/24,AS53813 IPv4
2a03:eec0:2300::/40,AS62044
147.161.250.0/23,AS62044 IPv4
209.55.144.0/24,AS62044
147.161.230.0/23,AS62044 IPv4
170.85.47.0/24,AS62044 IPv4
87.58.64.0/18,AS22616
167.103.110.0/24,AS53813
167.103.96.0/23,AS53813 IPv4
167.103.111.0/24,AS53813
64.62.169.0/24,AS53813 IPv4
167.103.88.0/23,AS53813 IPv4
165.225.76.0/22,AS62044 IPv4
104.129.194.0/24,AS22616
167.103.54.0/23,AS53813 IPv4
147.161.190.0/23,AS62044
147.161.152.0/23,AS62044
2605:4300:1200::/40,AS22616
2605:4300:fe01::/48,AS62907 IPv6
137.83.139.0/24,AS62044 IPv4
165.225.4.0/24,AS22616
2a03:eec0:2600::/40,AS62044
167.103.20.0/23,AS53813 IPv4
2400:7aa0:1e00::/40,AS53813 IPv6
165.225.45.0/24,AS22616
165.225.118.0/24,AS53813
147.161.248.0/23,AS62044
2a03:eec0:1200::/40,AS62044 IPv6
2400:7aa0:1500::/40,AS53813 IPv6
165.225.80.0/23,AS62044 IPv4
2a03:eec0:2c00::/40,AS62044 IPv6
137.83.186.0/24,AS62044 IPv4
165.225.226.0/23,AS53813 IPv4
209.55.130.0/24,AS53813
167.103.14.0/23,AS53813
2605:4300:2800::/40,AS22616
147.161.196.0/23,AS53813
165.225.232.0/23,AS53813 IPv4
170.85.39.0/24,AS22616
165.225.96.0/23,AS53813 IPv4
199.168.149.0/24,AS62907 IPv4
2a03:eec0:1c00::/40,AS62044
87.58.66.0/23,AS62044 IPv4
136.226.216.0/23,AS62044 IPv4
137.83.178.0/24,AS53813
165.225.31.0/24,AS62044 IPv4
8.34.34.0/24,AS53444 IPv4
147.161.142.0/23,AS62044
209.55.151.0/24,AS53813
165.225.244.0/24,AS22616
136.226.192.0/23,AS62044 IPv4
137.83.189.0/24,AS53813 IPv4
147.161.224.0/23,AS62044 IPv4
167.103.10.0/23,AS53813 IPv4
147.161.132.0/23,AS62044
165.225.44.0/24,AS22616
165.225.26.0/23,AS62044 IPv4
136.226.156.0/24,AS62044 IPv4
209.55.134.0/24,AS53813 IPv4
136.226.158.0/24,AS62044 IPv4
194.9.102.0/23,AS62044 IPv4
2a03:eec0:1600::/40,AS62044 IPv6
2400:7aa0:1600::/40,AS53813
165.225.76.0/23,AS62044 IPv4
2400:7aa0:1a00::/40,AS53813
2400:7aa0:1300::/40,AS53813
137.83.159.0/24,AS62044
147.161.136.0/23,AS62044
137.83.129.0/24,AS62044 IPv4
165.225.42.0/24,AS22616
136.226.236.0/23,AS53813 IPv4
167.103.28.0/23,AS53813 IPv4
209.55.137.0/24,AS53813 IPv4
165.225.82.0/24,AS62044
137.83.152.0/24,AS53813 IPv4
137.83.158.0/24,AS62044
147.161.246.0/23,AS62044 IPv4
165.225.196.0/23,AS62044 IPv4
137.83.181.0/24,AS22616
136.226.157.0/24,AS62044
2605:4300:2600::/40,AS22616
165.225.104.0/23,AS53813 IPv4
137.83.154.0/24,AS22616
194.9.100.0/23,AS62044 IPv4
170.85.40.0/24,AS22616
147.161.188.0/23,AS62044
213.152.228.0/24,AS62044
2605:4300:2b00::/40,AS22616
147.161.140.0/23,AS62044
167.103.44.0/23,AS53813 IPv4
147.161.216.0/24,AS53813
136.226.22.0/24,AS22616
2a03:eec0:2400::/40,AS62044
137.83.153.0/24,AS62044 IPv4
136.226.254.0/24,AS53813 IPv4
209.55.150.0/24,AS53813 IPv4
165.225.92.0/23,AS62044 IPv4
147.161.160.0/23,AS62044
2400:7aa0:1700::/40,AS53813
167.103.85.0/24,AS53813
136.226.172.0/23,AS62044 IPv4
209.55.148.0/24,AS22616
147.161.250.0/23,AS62044
170.85.58.0/23,AS62044 IPv4
209.55.169.0/24,AS53813 IPv4
147.161.230.0/23,AS62044
170.85.47.0/24,AS62044
137.83.155.0/24,AS22616
165.225.20.0/23,AS62044 IPv4
137.83.142.0/24,AS62044 IPv4
209.55.144.0/24,AS62044 IPv4
137.83.132.0/24,AS22616
137.83.139.0/24,AS62044
137.83.128.0/24,AS62044 IPv4
2605:4300:2900::/40,AS22616
209.55.156.0/24,AS62044 IPv4
2a03:eec0:2200::/40,AS62044 IPv6
136.226.222.0/23,AS53813 IPv4
165.225.114.0/23,AS53813 IPv4
167.103.6.0/23,AS53813 IPv4
89.167.131.0/24,AS62044 IPv4
137.83.186.0/24,AS62044
170.85.30.0/23,AS62044 IPv4
147.161.200.0/23,AS53813
165.225.2.0/24,AS22616
209.55.139.0/24,AS62044
167.103.92.0/24,AS16509
167.103.12.0/23,AS53813
147.161.170.0/23,AS62044
2a03:eec0:1900::/40,AS62044 IPv6
209.55.152.0/24,AS62044 IPv4
165.225.228.0/24,AS53813 IPv4
165.225.120.0/23,AS53813 IPv4
165.225.120.0/24,AS53813 IPv4
165.225.105.0/24,AS53813
2a03:eec0:1500::/40,AS62044
199.168.150.0/24,AS62907
