dest_ip,metadata_comment
52.122.252.0/24,AS8069 IPv4
2606:e540:c01::/48,AS8075 IPv6
2602:fdbb:b::/48,AS17144 IPv6
20.0.0.0/11,AS8075
20.143.0.0/16,AS8075
20.157.108.0/24,AS8069
52.122.248.0/22,AS8069
84.223.0.0/16,AS8075
20.47.56.0/24,AS8069
164.75.132.0/24,AS8075 IPv4
204.152.95.0/24,AS8075 IPv4
20.33.77.0/24,AS8069
193.17.124.0/23,AS8075 IPv4
2620:1ec:24::/48,AS8068 IPv6
20.157.252.0/24,AS8069 IPv4
204.13.122.0/24,AS17345 IPv4
2602:fdeb:63::/48,AS8075 IPv6
158.158.0.0/16,AS8075 IPv4
155.231.209.0/24,AS8075 IPv4
199.0.184.0/24,AS8075 IPv4
52.122.248.0/22,AS8069 IPv4
20.33.72.0/24,AS8069 IPv4
193.135.41.0/24,AS8075 IPv4
192.0.59.0/24,AS8075 IPv4
51.51.0.0/16,AS8075 IPv4
86.38.164.0/24,AS8075 IPv4
128.85.0.0/16,AS8075
202.22.173.0/24,AS8075 IPv4
216.220.204.0/24,AS8075 IPv4
141.193.248.0/24,AS8075 IPv4
13.107.22.0/24,AS8068 IPv4
151.207.40.0/22,AS12076 IPv4
40.95.86.0/23,AS8075
2a14:d300:3::/48,AS8075 IPv6
103.36.96.0/22,AS8072 IPv4
20.47.13.0/24,AS8069 IPv4
62.132.26.0/23,AS8075 IPv4
20.157.192.0/24,AS8069 IPv4
20.157.140.0/24,AS8069
20.157.114.0/24,AS8069 IPv4
104.47.19.0/24,AS8075
20.157.32.0/24,AS8069 IPv4
20.157.167.0/24,AS8069
63.116.158.0/24,AS8075 IPv4
52.113.197.0/24,AS8068 IPv4
20.33.134.0/24,AS8069 IPv4
2a07:54c4:1756::/48,AS8075 IPv6
20.157.195.0/24,AS8069 IPv4
185.154.82.0/24,AS8075 IPv4
40.108.128.0/17,AS8075 IPv4
20.157.202.0/24,AS8069
2001:506:28::/48,ASN not found
31.56.106.0/24,AS8075 IPv4
20.33.181.0/24,AS8069 IPv4
145.190.37.0/24,AS8069 IPv4
2608:1c1:8::/48,AS12076 IPv6
2620:1ec:7::/48,AS8068
20.33.60.0/24,AS8069 IPv4
20.33.40.0/24,AS8069
192.135.255.0/24,AS395524 IPv4
20.157.116.0/24,AS8069 IPv4
20.33.57.0/24,AS8069 IPv4
103.155.245.0/24,AS8075 IPv4
165.17.0.0/16,AS8075 IPv4
199.103.122.0/24,AS8075 IPv4
20.47.53.0/24,AS8069 IPv4
2601:9200:c003::/48,AS8070 IPv6
50.21.32.0/19,ASN not found
20.33.5.0/24,AS8069
20.153.216.0/22,AS8069 IPv4
2603:1061:6::/48,AS8075 IPv6
20.33.144.0/24,AS8069
2602:fdeb:50::/48,AS8075 IPv6
20.33.245.0/24,AS8069 IPv4
52.146.0.0/15,AS8075 IPv4
185.154.80.0/24,AS8075 IPv4
20.33.158.0/24,AS8069 IPv4
20.153.60.0/24,AS8069 IPv4
20.157.246.0/24,AS8069 IPv4
20.47.31.0/24,AS8069
2602:fd5e:4::/48,ASN not found
52.122.200.0/22,AS8069
109.246.0.0/16,AS8075
9.143.0.0/16,ASN not found
23.103.160.0/20,AS8075 IPv4
2a01:110:e052::/48,AS395851 IPv6
209.143.212.0/24,AS8075 IPv4
20.157.146.0/24,AS8069 IPv4
2404:f801::/32,AS3598
2620:1ec:c::/48,AS8068 IPv6
51.120.0.0/16,AS8075 IPv4
20.153.39.0/24,AS8069 IPv4
193.149.64.0/19,AS8075 IPv4
195.88.21.0/24,AS8075 IPv4
52.122.16.0/22,AS8069 IPv4
170.39.85.0/24,AS8075 IPv4
2620:1ec:8fb::/48,AS8068
20.153.191.0/24,AS8069 IPv4
130.33.0.0/16,AS8075 IPv4
20.157.200.0/24,AS8069 IPv4
20.33.136.0/24,AS8069
20.33.164.0/24,AS8069 IPv4
2620:1ec:34::/48,AS8068 IPv6
185.12.10.0/24,AS8075 IPv4
203.84.134.0/24,AS8075 IPv4
20.33.243.0/24,AS8069 IPv4
52.122.160.0/22,AS8069 IPv4
20.33.141.0/24,AS8069
20.196.0.0/18,AS8075
