src_ip_entry,src_ip_exit,src_country_entry,src_country_exit
185.159.156.56,45.14.71.15,SE,JP
185.159.156.37,103.125.235.27,SE,JP
185.159.156.93,185.246.211.194,SE,FR
185.159.156.94,185.246.211.73,SE,FR
185.159.156.68,45.128.134.197,SE,FR
185.159.158.148,185.76.11.19,IS,ES
185.159.158.149,185.76.11.24,IS,ES
185.159.158.55,62.112.9.167,IS,NL
185.159.158.119,217.138.216.99,IS,DE
185.159.158.178,194.126.177.16,IS,DE
185.159.158.179,194.126.177.32,IS,DE
185.159.158.180,194.126.177.48,IS,DE
185.159.157.177,178.249.214.65,CH,CA
185.159.157.189,169.150.204.45,CH,CA
185.159.157.231,146.70.198.51,CH,CA
185.159.157.230,146.70.198.19,CH,CA
185.159.157.88,107.181.177.12,CH,CA
185.159.157.90,107.181.177.3,CH,CA
185.159.157.89,172.98.82.147,CH,CA
79.135.104.36,149.88.97.98,CH,CA
79.135.104.42,176.113.74.83,CH,CA
79.135.104.54,178.249.214.82,CH,CA
79.135.104.53,149.88.97.111,CH,CA
79.135.104.59,139.28.218.131,CH,CA
79.135.104.58,139.28.218.3,CH,CA
79.135.104.74,149.22.82.56,CH,CA
79.135.104.75,149.22.82.29,CH,CA
79.135.104.76,149.22.82.2,CH,CA
79.135.104.77,149.22.81.2,CH,CA
79.135.104.78,149.22.81.29,CH,CA
185.159.157.188,169.150.204.36,CH,CA
79.135.104.88,79.127.254.93,CH,CA
79.135.104.89,149.22.95.194,CH,CA
79.135.104.43,149.40.48.66,CH,UK
79.135.104.44,149.40.63.130,CH,UK
185.159.157.133,146.70.181.35,CH,UK
79.135.104.87,149.40.48.226,CH,UK
185.159.157.229,146.70.179.99,CH,UK
185.159.157.228,146.70.179.19,CH,UK
79.135.104.90,149.50.209.129,CH,UK
79.135.104.91,149.50.209.161,CH,UK
185.159.158.188,138.199.35.98,IS,US
185.159.158.210,146.70.45.227,IS,US
185.159.158.227,146.70.202.163,IS,US
185.159.158.146,104.234.212.27,IS,US
185.159.158.186,185.156.46.37,IS,US
185.159.158.235,163.5.171.57,IS,US
185.159.158.236,163.5.171.84,IS,US
185.159.158.229,154.47.22.66,IS,US
185.159.158.150,89.187.164.243,IS,US
185.159.158.192,89.187.180.31,IS,US
185.159.158.151,89.187.164.248,IS,US
185.159.158.226,149.102.226.194,IS,US
185.159.158.231,169.150.254.161,IS,US
185.159.158.222,149.36.48.142,IS,US
185.159.158.214,146.70.51.211,IS,US
185.159.158.213,45.87.214.19,IS,US
185.159.158.185,146.70.72.135,IS,US
185.159.158.190,193.37.254.68,IS,US
185.159.158.212,146.70.45.115,IS,US
185.159.158.228,146.70.202.19,IS,US
185.159.158.189,156.146.51.66,IS,US
185.159.158.230,193.37.254.179,IS,US
185.159.158.219,146.70.198.35,IS,CA
185.159.158.218,146.70.198.3,IS,CA
185.159.158.197,79.127.254.66,IS,CA
185.159.157.237,146.70.182.35,CH,IT
185.159.157.235,146.70.182.19,CH,IT
185.159.157.234,146.70.182.3,CH,IT
79.135.104.33,149.102.237.130,CH,IT
194.34.132.55,194.34.132.56,FI,FI
194.34.132.55,194.34.132.57,FI,FI
194.34.132.55,194.34.132.58,FI,FI
194.34.132.55,194.34.132.59,FI,FI
5.157.13.2,5.157.13.3,IE,IE
5.157.13.2,5.157.13.4,IE,IE
5.157.13.2,5.157.13.5,IE,IE
5.157.13.2,5.157.13.6,IE,IE
79.135.104.50,91.132.139.3,CH,AT
185.159.157.190,154.47.19.194,CH,AT
185.159.157.191,87.249.133.98,CH,AT
185.159.158.118,5.157.13.4,IS,IE
185.159.158.120,5.157.13.4,IS,IE
185.159.158.221,146.70.48.3,IS,IE
185.159.157.243,146.70.161.179,CH,PL
185.159.157.214,149.102.244.18,CH,PL
185.159.157.187,37.19.201.133,CH,SG
79.135.104.21,149.34.253.241,CH,SG
79.135.104.41,146.70.29.195,CH,SG
185.159.158.145,84.247.50.180,IS,NO
185.159.157.82,146.70.142.19,CH,IN
185.159.157.56,146.70.142.83,CH,IN
185.159.156.27,194.34.132.57,SE,FI
185.159.156.28,194.34.132.57,SE,FI
185.159.156.92,196.244.192.226,SE,FI
185.159.157.37,193.29.107.246,CH,DK
185.159.157.239,193.29.107.163,CH,DK
185.159.157.238,193.29.107.99,CH,DK
79.135.104.93,185.111.109.2,CH,DK
185.159.157.217,149.102.235.34,CH,CZ
185.159.158.217,91.90.123.51,IS,BE
185.159.158.138,45.128.133.230,IS,BE
79.135.104.48,5.253.204.163,CH,LU
185.159.157.66,92.223.89.148,CH,LU
185.159.156.58,195.158.248.230,SE,PT
185.159.158.194,185.185.134.147,IS,IL
185.159.158.233,176.96.226.227,IS,RU
45.14.71.5,45.14.71.8,JP,JP
45.14.71.5,45.14.71.9,JP,JP
45.14.71.5,45.14.71.10,JP,JP
45.14.71.5,45.14.71.11,JP,JP
185.159.156.127,176.96.226.243,SE,RU
69.10.63.242,69.10.63.243,US,US
69.10.63.242,69.10.63.244,US,US
69.10.63.242,69.10.63.245,US,US
69.10.63.242,69.10.63.246,US,US
185.159.157.252,103.214.20.211,CH,AU
79.135.104.60,103.108.231.163,CH,AU
185.159.157.192,138.199.33.237,CH,AU
185.159.157.212,103.108.229.19,CH,AU
185.159.157.211,103.214.20.99,CH,AU
185.159.157.253,103.216.220.99,CH,AU
165.231.178.10,165.231.178.18,EE,EE
165.231.178.10,165.231.178.19,EE,EE
165.231.178.10,165.231.178.20,EE,EE
165.231.178.10,165.231.178.21,EE,EE
165.231.178.10,165.231.178.22,EE,EE
165.231.178.10,165.231.178.23,EE,EE
165.231.178.10,165.231.178.24,EE,EE
165.231.178.10,165.231.178.25,EE,EE
185.159.156.49,165.231.178.21,SE,EE
79.135.104.45,149.88.110.34,CH,UA
185.159.157.60,156.146.50.4,CH,UA
196.240.54.114,196.240.54.115,LV,LV
196.240.54.114,196.240.54.116,LV,LV
196.240.54.114,196.240.54.117,LV,LV
196.240.54.114,196.240.54.118,LV,LV
196.240.54.114,196.240.54.119,LV,LV
196.240.54.114,196.240.54.120,LV,LV
196.240.54.114,196.240.54.121,LV,LV
196.240.54.114,196.240.54.122,LV,LV
196.245.151.210,196.245.151.211,SK,SK
196.245.151.210,196.245.151.212,SK,SK
196.245.151.210,196.245.151.213,SK,SK
196.245.151.210,196.245.151.214,SK,SK
196.245.151.210,196.245.151.215,SK,SK
196.245.151.210,196.245.151.216,SK,SK
196.245.151.210,196.245.151.217,SK,SK
196.245.151.210,196.245.151.218,SK,SK
185.159.157.61,196.240.54.118,CH,LV
185.159.157.81,196.240.54.118,CH,LV
79.135.104.27,85.203.39.227,CH,LV
185.159.157.62,196.245.151.214,CH,SK
185.159.157.85,196.245.151.214,CH,SK
79.135.104.57,185.245.85.131,CH,SK
37.46.115.5,37.46.115.6,RS,RS
37.46.115.5,37.46.115.7,RS,RS
37.46.115.5,37.46.115.8,RS,RS
37.46.115.5,37.46.115.9,RS,RS
37.46.115.5,37.46.115.10,RS,RS
37.46.115.5,37.46.115.11,RS,RS
37.46.115.5,37.46.115.12,RS,RS
37.46.115.5,37.46.115.13,RS,RS
185.159.157.27,37.46.115.9,CH,RS
79.135.104.34,45.146.222.227,CH,RS
185.51.134.194,185.51.134.195,GR,GR
185.51.134.194,185.51.134.196,GR,GR
185.51.134.194,185.51.134.197,GR,GR
185.51.134.194,185.51.134.198,GR,GR
185.51.134.194,185.51.134.199,GR,GR
185.51.134.194,185.51.134.200,GR,GR
185.51.134.194,185.51.134.201,GR,GR
185.51.134.194,185.51.134.202,GR,GR
185.159.157.65,185.51.134.198,CH,GR
85.206.170.148,85.206.170.154,LT,LT
85.206.170.148,85.206.170.155,LT,LT
85.206.170.148,85.206.170.156,LT,LT
85.206.170.148,85.206.170.149,LT,LT
85.206.170.148,85.206.170.150,LT,LT
85.206.170.148,85.206.170.151,LT,LT
85.206.170.148,85.206.170.152,LT,LT
85.206.170.148,85.206.170.153,LT,LT
185.159.156.43,85.206.170.149,SE,LT
185.159.157.103,185.107.44.202,CH,NL
185.159.157.101,185.107.44.8,CH,NL
185.159.157.100,185.107.44.228,CH,NL
185.159.157.98,185.107.44.97,CH,NL
185.159.157.96,185.107.44.111,CH,NL
185.159.157.236,77.247.178.58,CH,NL
185.159.157.197,212.92.104.194,CH,NL
185.159.157.198,212.92.104.210,CH,NL
185.159.157.199,212.92.104.242,CH,NL
185.159.157.91,212.92.104.226,CH,NL
185.159.157.43,195.181.167.197,CH,ES
79.135.104.85,130.195.250.67,CH,ES
79.135.104.86,130.195.250.99,CH,ES
185.159.157.104,217.138.193.102,CH,AE
79.135.104.30,149.88.102.47,CH,DE
79.135.104.31,149.88.102.34,CH,DE
