extension_id,metadata_comment,metadata_severity,metadata_category,metadata_reference
chvancooten.code-needle,offensive security tool - covert HTTP JSON-RPC code execution backdoor for VS Code with full Node.js privileges,critical,malware,https://github.com/chvancooten/code-needle
outsidestormcommand.monochromator-theme,confirmed malicious - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
keyacrosslaud.auto-loop-for-antigravity,confirmed malicious - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
krundoven.ironplc-fast-hub,confirmed malicious - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
boulderzitunnel.vscode-buddies,confirmed malicious - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
cubedivervolt.html-code-validate,confirmed malicious - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
winnerdomain17.version-lens-tool,confirmed malicious - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
peldravix.rpgiv2free-live-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
forkelbat.supersigil-rich-hub,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
fyltroven.gitchat-fast-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
syndakove.todo4vcode-quick-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
vendrakos.rumdl-pro-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
stadiumgripier.vscode-onedark-theme,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
wildlightregain.oxc-lint-format,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
haelthorn.fractal-fast-studio,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
gastholve.shell-pro-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
tossbers.browser-open-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
pranlokev.topmodel-fast-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
weldforick.brightscript-pro-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
stelbavik.hledger-fast-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
brixmundo.eca-easy-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
shinypy.pycode-formatter,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
carveltstone.chatbuddy-auto-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
thunderprosecutor.autopep8-formatter,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
spikearshock.csv-rainbow,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
countrepresent49.code-image-preview,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
lairinspectortrek70.todo-highlighter,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
superneentrance.peacock-colors,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
epichipporedeem.prettier-eslint-formatter,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
archchainturn.twinny-ai-assist,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
spacesalamanderhook.italian-language-pack,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
closedtierenchant.vscode-awesome-icons,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
emotionkyoseparate.turkish-language-pack,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
sremuven.beautify-super-lens,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
goltikov.auto-rich-forge,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
karnikov.better-rich-studio,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
trenarin.autodocstring-auto-studio,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
meldarin.biome-live-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
gronarin.auto-super-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
keltarin.android-deep-hub,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
tralaven.c-easy-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
meltovik.bookmark-rich-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
seldovik.cmake-smart-pilot,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
veldekov.csv-pro-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
brenaven.cursor-rich-helper,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
karnenko.cursorless-pro-pilot,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
faldenko.explorer-auto-hub,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
vornovin.ionic-easy-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
tormekov.htmlmustache-fast-craft,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
dalsoven.intellij-live-pilot,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
krosarin.npm-fast-studio,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
meltuven.graphql-pro-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
veltarik.duplicate-fast-helper,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
tralarin.firefox-rich-lens,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
brixovik.es7-quick-hub,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
krosovik.laravel-quick-pilot,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
grisaven.markdown-live-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
dranaven.flask-live-craft,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
drovenko.data-live-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
krosaven.dot-live-forge,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
sremekov.javascriptsnippets-rich-craft,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
breluven.html-smart-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
trikarin.database-super-tool,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
sremovik.dendron-deep-hub,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
dalsovik.dbclient-quick-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
frelovin.gitpod-deep-helper,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
mrekelid.manpages-fast-kit,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
kuldaran.search-smart-forge,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
prednovik.php-super-pilot,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
tagovich.zener-pro-craft,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
grozdarov.jinjahtml-easy-studio,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
shiverov.open-smart-suite,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
draconzal.phpstan-easy-hub,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
marabenov.graphql-super-craft,sleeper extension - glassworm supply chain,critical,malware,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
checkmarx.cx-dev-assist,compromised - Malicious Checkmarx Artifacts Found in Official KICS Docker Repository and Code Extensions,critical,malware,https://socket.dev/blog/checkmarx-supply-chain-compromise
checkmarx.ast-results,compromised - Malicious Checkmarx Artifacts Found in Official KICS Docker Repository and Code Extensions,critical,malware,https://socket.dev/blog/checkmarx-supply-chain-compromise
aadarkcode.one-dark-material,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
aligntool.extension-align-professional-tool,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
angular-studio.ng-angular-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
awesome-codebase.codebase-dart-pro,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
awesomeco.wonder-for-vscode-icons,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
bhbpbarn.vsce-python-indent-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
blockstoks.easily-gitignore-manage,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
brategmaqendaalar-studio.pro-prettyxml-formatter,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
codbroks.compile-runnner-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
codevunmis.csv-sql-tsv-rainbow,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
codwayexten.code-way-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
cosmic-themes.sql-formatter,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
craz2team.vscode-todo-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
crotoapp.vscode-xml-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
cudra-production.vsce-prettier-pro,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
daeumer-web.es-linter-for-vs-code,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
dark-code-studio.flutter-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
densy-little-studio.wonder-for-vscode-icons,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
dep-labs-studio.dep-proffesinal-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
dev-studio-sense.php-comp-tools-vscode,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
devmidu-studio.svg-better-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
dopbop-studio.vscode-tailwindcss-extension-toolkit,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
errlenscre.error-lens-finder-ex,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
exss-studio.yaml-professional-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
federicanc.dotenv-syntax-highlighting,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
flutxvs.vscode-kuberntes-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
gvotcha.claude-code-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
gvotcha.claude-code-extensions,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
intellipro.extension-json-intelligence,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
kharizma.vscode-extension-wakatime,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
ko-zu-gun-studio.synchronization-settings-vscode,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
kwitch-studio.auto-run-command-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
lavender-studio.theme-lavender-dreams,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
littensy-studio.magical-icons,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
lyu-wen-studio-web-han.better-formatter-vscode,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
markvalid.vscode-mdvalidator-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
mecreation-studio.pyrefly-pro-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
mswincx.antigravity-cockpit,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
mswincx.antigravity-cockpit-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
namopins.prettier-pro-vscode-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
oigotm.my-command-palette-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
otoboss.autoimport-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
ovixcode.vscode-better-comments,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
pessa07tm.my-js-ts-auto-commands,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
potstok.dotnet-runtime-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
pretty-studio-advisor.prettyxml-formatter,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
prismapp.prisma-vs-code-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
projmanager.your-project-manager-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
pubruncode.ccoderunner,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
pyflowpyr.py-flowpyright-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
pyscopexte.pyscope-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
redcapcollective.vscode-quarkus-elite-suite,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
rubyideext.ruby-ide-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
runnerpost.runner-your-code,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
shinypy.shiny-extension-for-vscode,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
sol-studio.solidity-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
ssgwysc.volar-vscode,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
studio-jjalaire-team.professional-quarto-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
studio-velte-distributor.pro-svelte-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
sun-shine-studio.shiny-extension-for-vscode,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
sxatvo.jinja-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
thing-mn.your-flow-extension-for-icons,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
tima-web-wang.shell-check-utils,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
tokcodes.import-cost-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
toowespace.worksets-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
treedotree.tree-do-todoextension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
tucyzirille-studio.angular-pro-tools-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
twilkbilk.color-highlight-css,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
yamaprolas.revature-labs-extension,compromised - glassworm supply chain attack,critical,malware,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
tamokill12.foundry-pdf-extension,compromised - glassworm supply chain attack,critical,malware,https://thehackernews.com/2026/03/glassworm-supply-chain-attack-abuses-72.html
turbobase.sql-turbo-tool,compromised - glassworm supply chain attack,critical,malware,https://thehackernews.com/2026/03/glassworm-supply-chain-attack-abuses-72.html
vce-brendan-studio-eich.js-debuger-vscode,compromised - glassworm supply chain attack,critical,malware,https://thehackernews.com/2026/03/glassworm-supply-chain-attack-abuses-72.html
floktokbok.autoimport,compromised - New Zig dropper infects every IDE on your machine,critical,malware,https://www.aikido.dev/blog/glassworm-zig-dropper-infects-every-ide-on-your-machine
ms-vscode.remote-server,"Remote - Tunnels: creates secure tunnels to remote machines via Microsoft dev tunnels - enables full remote control of any machine running VS Code without SSH - bypasses corporate firewalls and network segmentation",high,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode.remote-server
ms-vscode-remote.remote-ssh,"Remote - SSH: opens folders on remote machines via SSH with full VS Code capabilities - installs VS Code Server on remote hosts - enables full filesystem access and command execution",high,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-ssh
ms-vscode-remote.remote-ssh-edit,"Remote - SSH: Editing Configuration Files: edits SSH configuration files directly - modifies SSH host configurations",low,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-ssh-edit
ms-vscode-remote.vscode-remote-extensionpack,"Remote Development Extension Pack: bundle of Remote SSH + Dev Containers + WSL + Tunnels - all remote access capabilities in one install",high,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.vscode-remote-extensionpack
ms-vscode-remote.remote-containers,"Dev Containers: opens folders inside Docker containers with full VS Code capabilities - can mount host filesystem into containers - container escape risks",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-containers
ms-vscode-remote.remote-wsl,"WSL: opens folders in Windows Subsystem for Linux - WSL environments may have different security policies than Windows host - accesses Windows filesystem from Linux context",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-wsl
ms-vscode.remote-explorer,"Remote Explorer: unified view of all remote machines accessible via SSH and Tunnels - enumerates and provides quick access to all configured remote targets",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode.remote-explorer
mandrup.remote-rdp,"Remote - RDP: manages and launches Remote Desktop sessions from VS Code - stored RDP credentials - can be used for lateral movement to Windows machines",high,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=mandrup.remote-rdp
eliostruyf.vscode-remote-control,"Remote Control: allows remote control of VS Code via HTTP API - run commands from anywhere on the network - can be exploited for unauthorized command execution",high,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=eliostruyf.vscode-remote-control
priyankark.AirCodum-app,"AirCodum: smartphone-based remote control for VS Code - control IDE actions and send files from phone - out-of-band remote control channel",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=priyankark.AirCodum-app
cursor-remote.cursor-remote,"CursorRemote: remote control local Cursor AI agent from phone or Telegram - monitor approve and send tasks remotely - out-of-band control channel via Telegram bot",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=cursor-remote.cursor-remote
GitHub.codespaces,"GitHub Codespaces: cloud-hosted development environments with full terminal and network access - code and secrets accessible from cloud VMs outside corporate network",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=GitHub.codespaces
gitpod.gitpod-desktop,"Gitpod: cloud-hosted development environments outside corporate control - source code accessed from external cloud VMs",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=gitpod.gitpod-desktop
MS-vsliveshare.vsliveshare,"Live Share: real-time collaborative editing with shared terminals - servers and debugging sessions - guests can see and edit files - run terminals and access forwarded ports - sessions joinable by anyone with link",high,risky-collaboration,https://marketplace.visualstudio.com/items?itemName=MS-vsliveshare.vsliveshare
tailscale.vscode-tailscale,"Tailscale: connects to Tailscale mesh VPN network - access remote file systems - Tailscale Funnel can expose local services to the public internet - bypasses corporate network controls",high,risky-tunnel,https://marketplace.visualstudio.com/items?itemName=tailscale.vscode-tailscale
philnash.ngrok-for-vscode,"ngrok for VSCode: creates ngrok tunnels exposing local ports to the public internet - bypasses firewalls via reverse tunnels - can be used for data exfiltration or unauthorized remote access",high,risky-tunnel,https://marketplace.visualstudio.com/items?itemName=philnash.ngrok-for-vscode
IvanArjona.cloudflaretunnel,"Cloudflare Tunnel: exposes local services through Cloudflare network - bypasses corporate firewalls - local services become accessible via Cloudflare URLs without opening inbound ports",high,risky-tunnel,https://marketplace.visualstudio.com/items?itemName=IvanArjona.cloudflaretunnel
nicobao.localtunnel,"LocalTunnel: exposes local server to the internet via localtunnel.me - instant public URL for any local port - bypasses firewall without configuration",high,risky-tunnel,https://marketplace.visualstudio.com/items?itemName=nicobao.localtunnel
kanin-020.vscode-proxy-manager,"VSCode Proxy Manager: manage proxy settings - can redirect VS Code network traffic through arbitrary proxies - may bypass corporate proxy controls",medium,risky-tunnel,https://marketplace.visualstudio.com/items?itemName=kanin-020.vscode-proxy-manager
1Password.op-vscode,"1Password: integrates 1Password vault into VS Code - retrieve generate and inject secrets - vault access from Node.js process - secrets accessible to all extensions via VS Code API",medium,risky-credential-access,https://marketplace.visualstudio.com/items?itemName=1Password.op-vscode
