process_name,original_file_name,ProductName,InternalName,Description,Company,potential_process_path,potential_parent_process_path,priority,comment
AppHostRegistrationVerifier.exe,AppHostNameRegistrationVerifier.exe,,,App Uri Handlers Registration Verifier,Microsoft Corporation,C:\Windows\System32\AppHostRegistrationVerifier.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
AppInstallerBackgroundUpdate.exe,-,,,-,-,C:\Windows\System32\AppInstallerBackgroundUpdate.exe,C:\Windows\UUS\Packages\Preview\*\MoUsoCoreWorker.exe,info,FYI default process_name and associated original_file_name
BdeUISrv.exe,BDEUISRV.DLL,,,BDE UI Launcher,Microsoft Corporation,C:\Windows\System32\BdeUISrv.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
Code.exe,electron.exe,,,Visual Studio Code,Microsoft Corporation,C:\Users\*\AppData\Local\Programs\Microsoft VS Code\Code.exe,C:\Users\*\AppData\Local\Programs\Microsoft VS Code\Code.exe,info,FYI default process_name and associated original_file_name
DAX3API.exe,DAXAPI.exe,,,DAX API,Dolby Laboratories,C:\Windows\System32\DriverStore\FileRepository\*\DAX3API.exe,C:\Windows\System32\DriverStore\FileRepository\*\DAX3API.exe;C:\Windows\System32\services.exe,info,FYI default process_name and associated original_file_name
GoogleCrashHandler.exe,GoogleUpdate.exe,,,Google Crash Handler,Google LLC,C:\Program Files (x86)\Google\Update\*\GoogleCrashHandler.exe,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,info,FYI default process_name and associated original_file_name
GoogleCrashHandler64.exe,GoogleUpdate.exe,,,Google Crash Handler,Google LLC,C:\Program Files (x86)\Google\Update\*\GoogleCrashHandler64.exe,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,info,FYI default process_name and associated original_file_name
KeePassXC.exe,KeePassXC,,,KeePassXC,KeePassXC Team,C:\Program Files\KeePassXC\KeePassXC.exe,C:\Windows\explorer.exe,info,FYI default process_name and associated original_file_name
MicrosoftEdgeUpdate.exe,msedgeupdate.dll,,,Microsoft Edge Update,Microsoft Corporation,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe;C:\Windows\System32\services.exe;C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
MicrosoftEdge_X64_*.exe,mini_installer.exe,,,Microsoft Edge Installer,Microsoft Corporation,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\*\MicrosoftEdge_X64_*.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,info,FYI default process_name and associated original_file_name
Notepad.exe,-,,,-,-,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_*\Notepad\Notepad.exe,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_*\Notepad\Notepad.exe,info,FYI default process_name and associated original_file_name
OpenConsole.exe,-,,,-,-,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_*\OpenConsole.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
PhoneExperienceHost.exe,PhoneExperienceHost.dll,,,Microsoft Phone Link,Microsoft Corporation,C:\Program Files\WindowsApps\Microsoft.YourPhone_*\PhoneExperienceHost.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
PhotosApp.exe,-,,,-,-,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_*\PhotosApp.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
PhotosService.exe,-,,,-,-,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_*\PhotosService\PhotosService.exe,C:\Windows\System32\sihost.exe,info,FYI default process_name and associated original_file_name
PowerToys.Awake.exe,PowerToys.Awake.dll,,,PowerToys.Awake,Microsoft Corporation,C:\Users\*\AppData\Local\PowerToys\PowerToys.Awake.exe,C:\Users\*\AppData\Local\PowerToys\PowerToys.exe,info,FYI default process_name and associated original_file_name
PowerToys.ColorPickerUI.exe,PowerToys.ColorPickerUI.dll,,,PowerToys.ColorPickerUI,Microsoft Corporation,C:\Users\*\AppData\Local\PowerToys\PowerToys.ColorPickerUI.exe,C:\Users\*\AppData\Local\PowerToys\PowerToys.exe,info,FYI default process_name and associated original_file_name
PowerToys.Peek.UI.exe,PowerToys.Peek.UI.dll,,,PowerToys.Peek.UI,Microsoft Corporation,C:\Users\*\AppData\Local\PowerToys\WinUI3Apps\PowerToys.Peek.UI.exe,C:\Users\*\AppData\Local\PowerToys\PowerToys.exe,info,FYI default process_name and associated original_file_name
PowerToys.PowerLauncher.exe,PowerToys.PowerLauncher.dll,,,PowerToys.Run,Microsoft Corporation,C:\Users\*\AppData\Local\PowerToys\PowerToys.PowerLauncher.exe,C:\Users\*\AppData\Local\PowerToys\PowerToys.exe,info,FYI default process_name and associated original_file_name
PowerToys.PowerOCR.exe,PowerToys.PowerOCR.dll,,,PowerToys.PowerOCR,Microsoft Corporation,C:\Users\*\AppData\Local\PowerToys\PowerToys.PowerOCR.exe,C:\Users\*\AppData\Local\PowerToys\PowerToys.exe,info,FYI default process_name and associated original_file_name
RtkAudUService64.exe,RtkAudUService.exe,,,Realtek HD Audio Universal Service,Realtek Semiconductor,C:\Windows\System32\DriverStore\FileRepository\*\RtkAudUService64.exe,C:\Windows\System32\services.exe;C:\Windows\explorer.exe,info,FYI default process_name and associated original_file_name
SpatialAudioLicenseSrv.exe,SpatialLicenseSrv.exe,,,Spatial License AppService Broker,Microsoft Corporation,C:\Windows\System32\SpatialAudioLicenseSrv.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
SteamServiceTmp.exe,SteamService.exe,,,Steam Client Service,Valve Corporation,C:\Program Files (x86)\Common Files\Steam\SteamServiceTmp.exe,C:\Program Files (x86)\Common Files\Steam\steamservice.exe,info,FYI default process_name and associated original_file_name
SurfaceMLService.exe,SurfaceMLService.dll,,,SurfaceMLService,Microsoft,C:\Windows\System32\DriverStore\FileRepository\*\SurfaceMLService.exe,C:\Windows\System32\services.exe,info,FYI default process_name and associated original_file_name
Update.exe,-,,,-,-,C:\Users\*\AppData\Local\GitHubDesktop\Update.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\GitHubDesktop.exe,info,FYI default process_name and associated original_file_name
UsoClient.exe,UsoClient,,,UsoClient,Microsoft Corporation,C:\Windows\System32\UsoClient.exe,C:\Windows\System32\svchost.exe;C:\Windows\UUS\Packages\Preview\*\MoUsoCoreWorker.exe,info,FYI default process_name and associated original_file_name
WMIADAP.exe,wmicookr.dll,,,WMI Reverse Performance Adapter Maintenance Utility,Microsoft Corporation,C:\Windows\System32\wbem\WMIADAP.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
WhatsApp.exe,-,,,-,-,C:\Program Files\WindowsApps\*.WhatsAppDesktop_*\WhatsApp.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
WidgetService.exe,-,,,-,-,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_*\Dashboard\WidgetService.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
Windows.Media.BackgroundPlayback.exe,Windows.Media.Playback.exe,,,Windows Media Playback EXE,Microsoft Corporation,C:\Windows\System32\Windows.Media.BackgroundPlayback.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
WindowsTerminal.exe,-,,,-,-,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_*\WindowsTerminal.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
XboxGameBarSpotify.exe,-,,,-,-,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_*\XboxGameBarSpotify.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
audiodg.exe,audioadg.exe,,,Windows Audio Device Graph Isolation,Microsoft Corporation,C:\Windows\System32\audiodg.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
basename.exe,-,,,-,-,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\basename.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\sh.exe,info,FYI default process_name and associated original_file_name
cleanmgr.exe,CLEANMGR.DLL,,,Disk Space Cleanup Manager for Windows,Microsoft Corporation,C:\Windows\System32\cleanmgr.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
gamingservicesnet.exe,GamingServices.exe,,,GamingServices,Microsoft Corporation,C:\Program Files\WindowsApps\Microsoft.GamingServices_*\gamingservicesnet.exe,C:\Windows\System32\services.exe,info,FYI default process_name and associated original_file_name
git-remote-https.exe,git.exe,,,Git for Windows,The Git Development Community,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\mingw64\bin\git-remote-https.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\mingw64\bin\git.exe,info,FYI default process_name and associated original_file_name
git-sh-i18n--envsubst.exe,git.exe,,,Git for Windows,The Git Development Community,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\mingw64\bin\git-sh-i18n--envsubst.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\mingw64\bin\git.exe,info,FYI default process_name and associated original_file_name
gldriverquery.exe,-,,,-,-,C:\Program Files (x86)\Steam\bin\gldriverquery.exe,C:\Program Files (x86)\Steam\steam.exe,info,FYI default process_name and associated original_file_name
gldriverquery64.exe,-,,,-,-,C:\Program Files (x86)\Steam\bin\gldriverquery64.exe,C:\Program Files (x86)\Steam\steam.exe,info,FYI default process_name and associated original_file_name
maintenanceservice_tmp.exe,maintenanceservice.exe,,,-,Mozilla Foundation,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice_tmp.exe,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,info,FYI default process_name and associated original_file_name
python3.11.exe,python.exe,,,Python,Python Software Foundation,C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.*\python3.11.exe,C:\Users\*\AppData\Local\Programs\Microsoft VS Code\Code.exe*,info,FYI default process_name and associated original_file_name
sed.exe,-,,,-,-,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\sed.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\sh.exe,info,FYI default process_name and associated original_file_name
sh.exe,-,,,-,-,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\sh.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\mingw64\bin\git.exe;C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\sh.exe,info,FYI default process_name and associated original_file_name
sysmon.exe,-,,,System activity monitor,Sysinternals - www.sysinternals.com,C:\Windows\sysmon.exe,C:\Windows\System32\services.exe;C:\Windows\sysmon.exe,info,FYI default process_name and associated original_file_name
uname.exe,-,,,-,-,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\uname.exe,C:\Users\*\AppData\Local\GitHubDesktop\app-*\resources\app\git\usr\bin\sh.exe,info,FYI default process_name and associated original_file_name
unsecapp.exe,unsecapp.dll,,,Sink to receive asynchronous callbacks for WMI client application,Microsoft Corporation,C:\Windows\System32\wbem\unsecapp.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
vmware-usbarbitrator64.exe,vmware-usbarbitrator.exe,,,VMware USB Arbitration Service,"VMware, Inc.",C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe,C:\Windows\System32\services.exe,info,FYI default process_name and associated original_file_name
vulkandriverquery.exe,-,,,-,-,C:\Program Files (x86)\Steam\bin\vulkandriverquery.exe,C:\Program Files (x86)\Steam\steam.exe,info,FYI default process_name and associated original_file_name
vulkandriverquery64.exe,-,,,-,-,C:\Program Files (x86)\Steam\bin\vulkandriverquery64.exe,C:\Program Files (x86)\Steam\steam.exe,info,FYI default process_name and associated original_file_name
wermgr.exe,WerMgr,,,Windows Problem Reporting,Microsoft Corporation,C:\Windows\System32\wermgr.exe;C:\Program Files\Splunk\bin\splunk.exe;C:\Program Files\Splunk\bin\splunkd.exe;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;C:\Windows\System32\cmd.exe;C:\Windows\System32\runonce.exe;C:\Windows\System32\svchost.exe;C:\Windows\explorer.exe,C:\Windows\System32\svchost.exe,info,FYI default process_name and associated original_file_name
cmd.exe,Cmd.Exe,,,Windows Command Processor,Microsoft Corporation,C:\Windows\System32\cmd.exe,C:\Windows\System32\wermgr.exe;C:\Program Files\Splunk\bin\splunk.exe;C:\Program Files\Splunk\bin\splunkd.exe;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe;C:\Windows\System32\cmd.exe;C:\Windows\System32\runonce.exe;C:\Windows\System32\svchost.exe;C:\Windows\explorer.exe,high,FYI
