file_path,metadata_comment
*.smukx,Encryfer ransomware https://github.com/Whitecat18/Rust-for-Malware-Development/blob/f26246e5fd76a096bc5e3800f7163e6766eb16f8/Malware-Samples/Encryfer - https://app.any.run/tasks/565206b9-a4a0-4e1c-827c-4301364fadaa
*.MyChemicalRomance4EVER,LambdaLocker ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.carone,TargetCompany ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.architek,TargetCompany ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.exploit,TargetCompany + Globe ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.mallox,TargetCompany ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.61gutq,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.uo8bpy,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.9ten0p,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.BRINKS_PWNED,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.CRYSTAL,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.y9sx7x,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.reofgv,Prometheus ransomware https://www.avast.com/en-us/ransomware-decryption-tools#pc
*.frozen,Globe ransomware
*.knight_l,Knight Ransomware https://tria.ge/230901-c2fbqacb36
*.hardbit2,Hardbit ransomware https://www.varonis.com/blog/hardbit-2.0-ransomware
*.hardbit,Hardbit ransomware https://www.varonis.com/blog/hardbit-2.0-ransomware
*.play,Play ransomware https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a
*.akira,Akira Ransomware https://blog.checkpoint.com/research/june-2024s-most-wanted-malware-ransomhub-takes-top-spot-as-most-prevalent-ransomware-group-in-wake-of-lockbit3-decline/
*.flocked,Fog ransomware https://x.com/MsftSecIntel/status/1812932766431904038
*.564ba1,EMBARGO Ransomware https://cyble.com/blog/the-rust-revolution-new-embargo-ransomware-steps-in/
*.Lime,Lime-RAT ransomware extension
*.0x0,
*.1999,
*.1btc,
*.1cbu1,
*.1txt,
*.2ed2,
*.31392E30362E32303136_*_LSBJ1,
*.725,
*.726,
*.73i87A,
*.777,
*.7h9r,
*.7z.encrypted,
*.7zipper,
*.8c7f,
*.911,
*.AES,
*.AES256,
*.AESIR,
*.AFD,
*.Aleta,Aleta ransomware
*.AngleWare,
*.AreYouLoveMyRansFile,
*.B6E1,
*.BarRax,
*.CCCRRRPPP,
*.CHIP,CHIP ransomware
*.CRRRT,CRRRT ransomware
*.CRYPTOSHIEL,
*.CRYPTOSHIELD,Cryptoshield ransomware
*.CTB2,CTB-Locker ransomware
*.CTBL,CTB-Locker ransomware
*.CrySiS,CrySiS ransomware
*.CryptoTorLocker2015!,
*.Dexter,Dexter ransomware
*.ENC,
*.ENCR,
*.ENCRYPTED,
*.EnCiPhErEd,
*.EnCrYpTeD,
*.FenixIloveyou!!,
*.FuckYourData,
*.Fuck_You,
*.GSupport*,Globe ransomware
*.GSupport,Globe ransomware
*.blackblock,Globe ransomware
*.duhust,Globe ransomware
*.dll555,Globe ransomware
*.GWS,
*.H3LL,
*.HA3,
*.JLQUF,
*.JUST,
*.KEYH0LES,
*.KEYHOLES,
*.KEYZ,
*.KKK,Jigsaw ransomware
*.l0ck,
*.L0CKED,
*.L0cked,
*.LOL!,
*.LeChiffre,LeChiffre ransomware
*.Lock,
*.Locked-by-Mafia,
*.MERRY,Merry ransomware
*.MRCR1,
*.MTXLOCK,
*.NotStonks,
*.OMG!,
*.PEGS1,
*.PoAr2w,
*.R.i.P,
*.R16M01D05,
*.R16m01d05,
*.R4A,
*.R5A,
*.RAD,
*.RADAMANT,Radamant ransomware
*.RARE1,
*.RDM,
*.RGNR_ESXI,
*.RMCM1,
*.RRK,
*.RSNSlocked,
*.RSplited,
*.SUPERCRYPT,
*.SecureCrypted,
*.Silent,
