"file_name","url","metadata_description","metadata_category","metadata_reference"
"*.doc.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.doc.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.docx.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.jpg.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.jpg.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.jpg.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
