url_domain,metadata_tld,metadata_category,metadata_popularity,metadata_severity,metadata_comment,metadata_link
*.icu,icu,Malware,Medium,Critical,Often abused by malicious actors  particularly for phishing and malware distribution.,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.ml,ml,Phishing - Malware - C2,Low,Critical,Frequently abused TLD,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.py,py,Suspicious,Low,Critical,Country code TLD for Paraguay - can also be associated with Python scripts - used for phishing and abused by attackers,https://trends.netcraft.com/cybercrime/tlds
*.tk,tk,Phishing - C2,Low,Critical,Notorious for being used in phishing campaigns because of free registration.,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.xn--2scrj9c,xn--2scrj9c,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,https://www.spamhaus.org/statistics/tlds/
*.xn--5tzm5g,xn--5tzm5g,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xn--6frz82g,xn--6frz82g,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xn--czrs0t,xn--czrs0t,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xn--fjq720a,xn--fjq720a,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xn--s9brj9c,xn--s9brj9c,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,https://www.spamhaus.org/statistics/tlds/
*.xn--unup4y,xn--unup4y,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xn--vhquv,xn--vhquv,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xn--xhq521b,xn--xhq521b,Phishing,Low,Critical,Non-Latin script TLD - potential for phishing and targeted scams,www.cybercrimeinfocenter.org
*.xyz,xyz,Phishing - Malware,High,Critical,Historically abused due to its inexpensive registration costs.,https://trends.netcraft.com/cybercrime/tlds
*.am,am,Malware,Medium,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.bd,bd,Malware,Low,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.best,best,C2,Low,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.bid,bid,Suspicious,Low,High,Frequently used in auction frauds.,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.cd,cd,Malware,Low,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.cfd,cfd,Phishing,Low,High,Abused by attackers,www.cybercrimeinfocenter.org
*.cf,cf,C2,Low,High,Abused by attackers,www.cybercrimeinfocenter.org
*.click,click,Suspicious,High,High,Abused by attackers,https://trends.netcraft.com/cybercrime/tlds
*.cyou,cyou,C2,High,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.date,date,Malware,Low,High,Often associated with spam and phishing.,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.download,download,Suspicious,Low,High,Commonly used for distributing malware.,www.cybercrimeinfocenter.org
*.faith,faith,Suspicious,Low,High,Often used in religious scams.,www.cybercrimeinfocenter.org
*.ga,ga,C2,Low,High,Abused by attackers,www.cybercrimeinfocenter.org
*.gq,gq,C2,Low,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.help,help,Phishing,Low,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.info,info,C2,High,High,Frequently abused TLD - High volume,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.ke,ke,Malware,Low,High,Abused by attackers,https://unit42.paloaltonetworks.com/top-level-domains-cybercrime/
*.loan,loan,Suspicious,Low,High,Often associated with financial scams.,www.cybercrimeinfocenter.org
